Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,7,0,100,1.1,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3,3,12,0.90,0.00,0.90,0.90,0.90,0.13,0.00,0.13,0.13,0.13
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,27,21,"1,850",20.6,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,27,113,70,0.05,0.05,0.10,0.05,0.10,0.07,0.04,0.11,0.07,0.11
Felix Agu,de GER,DF,Werder Bremen,20,1999,15,8,701,7.8,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,7,9,33,0.13,0.00,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,6,3,252,2.8,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.3,8,11,3,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,17,14,"1,299",14.4,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,8,55,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Nadiem Amiri,de GER,MF,Leverkusen,23,1996,29,20,"1,890",21.0,2,6,8,2,0,0,5,0,2.2,2.2,3.1,5.3,45,113,82,0.10,0.29,0.38,0.10,0.38,0.10,0.15,0.25,0.10,0.25
Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,26,24,"2,161",24.0,4,4,8,4,0,0,2,0,4.2,4.2,5.5,9.7,47,93,242,0.17,0.17,0.33,0.17,0.33,0.17,0.23,0.40,0.17,0.40
Tolu Arokodare,ng NGA,"FW,MF",Köln,19,2000,10,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,1,4,11,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.40,0.20,0.40
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,13,8,762,8.5,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,7,31,8,0.12,0.00,0.12,0.12,0.12,0.03,0.03,0.07,0.03,0.07
Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,21,16,"1,359",15.1,5,2,7,5,0,0,0,0,6.1,6.1,1.3,7.4,19,16,108,0.33,0.13,0.46,0.33,0.46,0.40,0.08,0.49,0.40,0.49
Mehmet Aydin,de GER,DF,Schalke 04,18,2002,6,6,500,5.6,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6,7,10,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,30,25,"2,141",23.8,9,8,17,9,0,0,6,0,6.2,6.2,6.0,12.2,112,63,254,0.38,0.34,0.71,0.38,0.71,0.26,0.25,0.51,0.26,0.51
Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,32,31,"2,678",29.8,6,7,13,6,0,0,1,0,3.4,3.4,4.1,7.6,69,104,243,0.20,0.24,0.44,0.20,0.44,0.12,0.14,0.25,0.12,0.25
Ridle Baku,de GER,DF,Mainz 05,22,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,11,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,26,9,977,10.9,2,3,5,2,0,0,5,0,1.9,1.9,3.2,5.0,30,46,76,0.18,0.28,0.46,0.18,0.46,0.17,0.29,0.47,0.17,0.47
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,29,27,"2,303",25.6,2,2,4,2,0,0,5,0,4.5,4.5,2.7,7.1,11,76,42,0.08,0.08,0.16,0.08,0.16,0.17,0.10,0.28,0.17,0.28
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,31,28,"2,369",26.3,6,3,9,6,0,0,6,0,5.9,5.9,3.5,9.4,68,110,133,0.23,0.11,0.34,0.23,0.34,0.23,0.13,0.36,0.23,0.36
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,5,0,36,0.4,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,1,0,4,0.00,2.50,2.50,0.00,2.50,0.00,1.85,1.85,0.00,1.85
Timo Becker,de GER,DF,Schalke 04,23,1997,20,18,"1,640",18.2,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,21,44,48,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,3,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,29,19,"1,697",18.9,1,3,4,1,0,0,6,1,2.5,2.5,3.2,5.8,28,93,80,0.05,0.16,0.21,0.05,0.21,0.13,0.17,0.31,0.13,0.31
László Bénes,sk SVK,MF,Augsburg,22,1997,12,9,660,7.3,1,1,2,1,0,0,3,0,0.5,0.5,0.9,1.3,7,19,20,0.14,0.14,0.27,0.14,0.27,0.07,0.12,0.18,0.07,0.18
László Bénes,sk SVK,MF,Gladbach,22,1997,7,1,150,1.7,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,7,6,0.00,0.60,0.60,0.00,0.60,0.03,0.14,0.17,0.03,0.17
Jordan Beyer,de GER,DF,Gladbach,20,2000,4,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bartosz Białek,pl POL,"FW,MF",Wolfsburg,18,2001,19,1,270,3.0,2,0,2,2,0,0,1,0,1.9,1.9,0.2,2.1,3,12,15,0.67,0.00,0.67,0.67,0.67,0.64,0.07,0.71,0.64,0.71
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,9,2,277,3.1,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,5,18,9,0.00,0.32,0.32,0.00,0.32,0.05,0.08,0.13,0.05,0.13
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dennis Borkowski,de GER,"MF,FW",RB Leipzig,18,2002,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,24,23,"2,083",23.1,1,1,2,1,0,0,3,0,1.5,1.5,0.0,1.5,4,43,4,0.04,0.04,0.09,0.04,0.09,0.07,0.00,0.07,0.06,0.06
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,12,6,605,6.7,1,0,1,1,0,0,2,0,1.6,1.6,0.2,1.8,9,22,29,0.15,0.00,0.15,0.15,0.15,0.23,0.03,0.26,0.23,0.26
Can Bozdogan,de GER,"MF,FW",Schalke 04,19,2001,14,5,651,7.2,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.2,9,16,18,0.00,0.28,0.28,0.00,0.28,0.07,0.09,0.17,0.07,0.17
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,29,22,"1,814",20.2,7,3,10,7,0,0,1,0,3.6,3.6,3.8,7.4,69,82,155,0.35,0.15,0.50,0.35,0.50,0.18,0.19,0.37,0.18,0.37
Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,21,1998,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,20,2000,29,16,"1,373",15.3,2,0,2,2,0,0,0,0,3.7,3.7,1.9,5.6,39,33,97,0.13,0.00,0.13,0.13,0.13,0.24,0.13,0.37,0.24,0.37
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,4,4,296,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,13,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Sava Cestic,rs SRB,DF,Köln,19,2001,11,11,899,10.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,3,19,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Tahith Chong,nl NED,"MF,FW",Werder Bremen,20,1999,13,4,386,4.3,0,1,1,0,0,0,1,0,0.3,0.3,0.6,1.0,12,12,26,0.00,0.23,0.23,0.00,0.23,0.08,0.15,0.23,0.08,0.23
Darko Churlinov,mk MKD,"DF,MF",Stuttgart,20,2000,14,0,216,2.4,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,10,6,23,0.00,0.42,0.42,0.00,0.42,0.05,0.30,0.34,0.05,0.34
Tim Civeja,al ALB,MF,Augsburg,18,2002,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,23,13,"1,090",12.1,2,1,3,2,0,0,0,0,3.5,3.5,0.9,4.4,17,21,77,0.17,0.08,0.25,0.17,0.25,0.29,0.08,0.36,0.29,0.36
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19,2001,31,17,"1,506",16.7,2,1,3,2,0,0,2,0,2.8,2.8,2.6,5.4,46,29,149,0.12,0.06,0.18,0.12,0.18,0.16,0.16,0.32,0.16,0.32
Mickaël Cuisance,fr FRA,FW,Bayern Munich,20,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21,1999,27,25,"2,149",23.9,7,4,11,5,2,3,9,0,8.4,6.1,4.5,10.6,91,85,137,0.29,0.17,0.46,0.21,0.38,0.35,0.19,0.54,0.25,0.44
Finn Dahmen,de GER,GK,Mainz 05,22,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Leon Dajaku,de GER,FW,Union Berlin,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
