Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Suleiman Abdullahi,ng NGA,"FW,MF",Braunschweig,23,1996,16,8,718,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25
Dickson Abiama,ng NGA,FW,Greuther Fürth,21,1998,29,3,652,7.2,7,2,9,7,0,0,7,0,0.97,0.28,1.24,0.97,1.24
Aremu Afeez,ng NGA,"MF,DF",St. Pauli,20,1999,16,4,541,6.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Xavier Amaechi,eng ENG,MF,Hamburger SV,19,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Xavier Amaechi,eng ENG,MF,Karlsruher,19,2001,7,1,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Stephan Ambrosius,gh GHA,DF,Hamburger SV,21,1998,26,26,"2,332",25.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Etienne Amenyido,tg TOG,"MF,FW",Osnabrück,22,1998,25,19,"1,603",17.8,2,2,4,2,0,0,7,0,0.11,0.11,0.22,0.11,0.22
Frederic Ananou,tg TOG,DF,Paderborn 07,22,1997,15,12,962,10.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Shinta Appelkamp,de GER,MF,Düsseldorf,19,2000,21,13,"1,107",12.3,6,1,7,6,0,0,1,0,0.49,0.08,0.57,0.49,0.57
Ensar Arslan,de GER,FW,Darmstadt 98,18,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Simon Asta,de GER,"MF,DF",Greuther Fürth,19,2001,5,2,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tom Baack,de GER,"DF,MF",Jahn R'burg,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Matthias Bader,de GER,"DF,MF",Darmstadt 98,23,1997,17,14,"1,162",12.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Ulrich Bapoh,de GER,MF,Osnabrück,21,1999,10,4,331,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Abdourahmane Barry,gn GUI,DF,Greuther Fürth,20,2000,9,6,612,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Malik Batmaz,de GER,"MF,FW",Karlsruher,20,2000,30,6,798,8.9,1,4,5,1,0,0,2,0,0.11,0.45,0.56,0.11,0.56
Maximilian Bauer,de GER,"DF,MF",Greuther Fürth,20,2000,29,25,"2,284",25.4,2,0,2,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08
Noah Baumann,de GER,MF,Erzgebirge Aue,18,2002,1,0,3,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tom Baumgart,de GER,MF,Erzgebirge Aue,22,1997,15,3,416,4.6,1,2,3,1,0,0,2,1,0.22,0.43,0.65,0.22,0.65
Armel Bella Kotchap,de GER,DF,Bochum,18,2001,28,26,"2,406",26.7,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04
Jan-Niklas Beste,de GER,"DF,MF",Jahn R'burg,21,1999,16,8,801,8.9,2,1,3,2,0,0,1,1,0.22,0.11,0.34,0.22,0.34
Max Besuschkow,de GER,MF,Jahn R'burg,23,1997,32,31,"2,744",30.5,3,1,4,2,1,3,4,0,0.10,0.03,0.13,0.07,0.10
Jaka Bijol,si SVN,"MF,DF",Hannover 96,21,1999,30,25,"2,339",26.0,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00
Tarsis Bonga,de GER,MF,Bochum,23,1997,10,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dennis Borkowski,de GER,FW,Nürnberg,18,2002,13,7,653,7.3,3,0,3,3,0,0,2,0,0.41,0.00,0.41,0.41,0.41
