Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Max Aarons,eng ENG,DF,Norwich City,20,2000,45,45,"4,046",45.0,2,2,4,2,0,0,5,0,2.4,2.4,5.4,7.8,147,155,288,0.04,0.04,0.09,0.04,0.09,0.05,0.12,0.17,0.05,0.17
Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,18,15,"1,294",14.4,5,1,6,4,1,1,0,0,5.9,5.2,1.5,6.6,27,18,108,0.35,0.07,0.42,0.28,0.35,0.41,0.10,0.51,0.36,0.46
Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,32,9,"1,213",13.5,2,0,2,2,0,0,0,0,1.9,1.9,0.2,2.1,26,20,94,0.15,0.00,0.15,0.15,0.15,0.14,0.01,0.15,0.14,0.15
Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,21,18,"1,478",16.4,0,1,1,0,0,0,2,0,0.5,0.5,0.3,0.8,17,47,12,0.00,0.06,0.06,0.00,0.06,0.03,0.02,0.05,0.03,0.05
Luke Amos,eng ENG,MF,QPR,23,1997,5,5,397,4.4,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,3,11,15,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28
Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,20,1999,5,0,71,0.8,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,5,1,15,0.00,1.27,1.27,0.00,1.27,0.16,0.46,0.61,0.16,0.61
Adam Armstrong,eng ENG,FW,Blackburn,23,1997,40,40,"3,459",38.4,28,5,33,23,5,8,3,0,29.3,23.0,4.8,27.8,104,83,307,0.73,0.13,0.86,0.60,0.73,0.76,0.12,0.89,0.60,0.72
Femi Azeez,eng ENG,MF,Reading,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juninho Bacuna,cw CUW,"MF,FW",Huddersfield,22,1997,43,37,"3,314",36.8,5,4,9,5,0,1,5,0,4.9,4.1,3.2,7.4,55,160,123,0.14,0.11,0.24,0.14,0.24,0.13,0.09,0.22,0.11,0.20
Joel Bagan,ie IRL,DF,Cardiff City,20,2000,7,5,464,5.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,19,9,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Tyreeq Bakinson,eng ENG,MF,Bristol City,21,1998,34,20,"2,065",22.9,4,1,5,4,0,0,2,0,1.2,1.2,0.8,2.0,13,138,28,0.17,0.04,0.22,0.17,0.22,0.05,0.04,0.09,0.05,0.09
Beni Baningime,cd COD,MF,Derby County,21,1998,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
Will Bapaga,eng ENG,"MF,FW",Coventry City,17,2002,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shandon Baptiste,gd GRN,MF,Brentford,22,1998,1,0,10,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,9.00,9.00,0.00,9.00,0.00,0.68,0.68,0.00,0.68
Daniel Barden,wls WAL,GK,Norwich City,19,2001,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Barlaser,tr TUR,MF,Rotherham Utd,23,1997,33,29,"2,394",26.6,3,4,7,0,3,3,3,0,3.2,0.8,5.5,6.3,8,120,24,0.11,0.15,0.26,0.00,0.15,0.12,0.21,0.33,0.03,0.24
Tom Bayliss,eng ENG,"MF,FW",Preston,21,1999,11,2,257,2.9,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.2,2,11,6,0.35,0.00,0.35,0.35,0.35,0.39,0.03,0.42,0.39,0.42
Mads Bech Sørensen,dk DEN,DF,Brentford,21,1999,32,29,"2,679",29.8,2,0,2,2,0,0,2,0,0.6,0.6,0.6,1.2,22,77,13,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04
Sam Bell,eng ENG,"MF,FW",Bristol City,18,2002,4,1,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,3,4,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.29,0.15,0.29
Steven Benda,de GER,GK,Swansea City,21,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Filip Benković,hr CRO,DF,Cardiff City,23,1997,1,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Faysal Bettache,eng ENG,MF,QPR,20,2000,6,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,7,5,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Mads Bidstrup,dk DEN,"MF,FW",Brentford,19,2001,4,1,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,7,2,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12
Krystian Bielik,pl POL,MF,Derby County,22,1998,13,13,"1,091",12.1,2,0,2,2,0,0,4,0,0.7,0.7,1.4,2.1,21,93,8,0.16,0.00,0.16,0.16,0.16,0.06,0.12,0.18,0.06,0.18
Max Bird,eng ENG,MF,Derby County,19,2000,33,21,"2,071",23.0,0,0,0,0,0,0,2,0,1.3,1.3,1.5,2.8,16,94,28,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12
Marc Bola,eng ENG,"DF,FW",Middlesbrough,22,1997,41,41,"3,606",40.1,1,1,2,1,0,0,7,0,0.8,0.8,3.3,4.1,66,140,90,0.02,0.02,0.05,0.02,0.05,0.02,0.08,0.10,0.02,0.10
Caolan Boyd-Munce,nir NIR,DF,Birmingham City,20,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Jarrad Branthwaite,eng ENG,DF,Blackburn,18,2002,10,10,900,10.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,24,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
James Bree,eng ENG,DF,Luton Town,22,1997,24,16,"1,603",17.8,1,0,1,1,0,0,0,0,0.4,0.4,2.4,2.8,35,80,86,0.06,0.00,0.06,0.06,0.06,0.02,0.13,0.16,0.02,0.16
Luke Brennan,eng ENG,FW,Blackburn,18,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ben Brereton,cl CHI,FW,Blackburn,21,1999,40,30,"2,430",27.0,7,4,11,7,0,0,1,0,6.7,6.7,4.8,11.5,73,54,222,0.26,0.15,0.41,0.26,0.41,0.25,0.18,0.43,0.25,0.43
Callum Brittain,eng ENG,"DF,MF",Barnsley,22,1998,40,40,"3,547",39.4,0,4,4,0,0,0,3,0,2.2,2.2,4.4,6.6,75,144,187,0.00,0.10,0.10,0.00,0.10,0.06,0.11,0.17,0.06,0.17
Louis Britton,eng ENG,FW,Bristol City,19,2001,1,0,19,0.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,0,1,4.74,0.00,4.74,4.74,4.74,1.45,0.00,1.45,1.45,1.45
David Brooks,wls WAL,"FW,MF",Bournemouth,23,1997,32,25,"2,146",23.8,5,5,10,5,0,0,3,0,4.8,4.8,5.0,9.8,61,104,156,0.21,0.21,0.42,0.21,0.42,0.20,0.21,0.41,0.20,0.41
Ciaron Brown,nir NIR,DF,Cardiff City,22,1998,12,11,"1,043",11.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,5,42,11,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
Izzy Brown,eng ENG,MF,Sheffield Weds,23,1997,19,4,542,6.0,0,1,1,0,0,0,1,0,0.2,0.2,1.1,1.3,15,32,29,0.00,0.17,0.17,0.00,0.17,0.04,0.18,0.21,0.04,0.21
Jacob Brown,sct SCO,FW,Stoke City,22,1998,41,27,"2,425",26.9,5,0,5,5,0,0,8,0,4.3,4.3,1.8,6.2,43,42,205,0.19,0.00,0.19,0.19,0.19,0.16,0.07,0.23,0.16,0.23
Jaden Brown,eng ENG,"DF,FW",Huddersfield,21,1999,13,1,245,2.7,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,4,5,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Marcus Browne,eng ENG,FW,Middlesbrough,22,1997,5,1,142,1.6,2,1,3,2,0,0,0,0,0.8,0.8,0.5,1.3,5,4,9,1.27,0.63,1.90,1.27,1.90,0.54,0.32,0.86,0.54,0.86
Lee Buchanan,eng ENG,"DF,MF",Derby County,19,2001,35,28,"2,579",28.7,0,3,3,0,0,0,7,0,1.3,1.3,3.2,4.5,69,92,110,0.00,0.10,0.10,0.00,0.10,0.05,0.11,0.16,0.05,0.16
John Buckley,eng ENG,"MF,FW",Blackburn,20,1999,28,7,997,11.1,1,1,2,1,0,0,1,0,1.7,1.7,2.3,3.9,23,75,40,0.09,0.09,0.18,0.09,0.18,0.15,0.21,0.35,0.15,0.35
