Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Haitam Abaida,ma MAR,FW,Málaga,18,2002,3,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sergio Akieme,es ESP,DF,Almería,22,1997,34,31,"2,806",31.2,2,3,5,2,0,0,7,2,0.06,0.10,0.16,0.06,0.16
Diego Alende,es ESP,DF,Lugo,22,1997,30,27,"2,401",26.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Javier Alonso,es ESP,MF,Tenerife,21,1998,24,17,"1,506",16.7,0,1,1,0,0,0,5,2,0.00,0.06,0.06,0.00,0.06
David Amigo,es ESP,FW,Fuenlabrada,17,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jose Amo,es ESP,DF,Ponferradina,22,1998,32,28,"2,543",28.3,1,0,1,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04
Miguel Ángel,es ESP,FW,Albacete,22,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Emmanuel Apeh,ng NGA,FW,Tenerife,23,1996,31,13,"1,223",13.6,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Arvin Appiah,eng ENG,MF,Almería,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arvin Appiah,eng ENG,"FW,MF",Lugo,19,2001,13,7,588,6.5,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15
Óscar Arribas,ph PHI,"MF,FW",Alcorcón,21,1998,38,21,"2,035",22.6,3,1,4,3,0,0,3,0,0.13,0.04,0.18,0.13,0.18
David Astals,,,Sabadell,18,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Javier Avilés,es ESP,MF,Leganés,22,1997,19,11,935,10.4,0,3,3,0,0,0,3,0,0.00,0.29,0.29,0.00,0.29
Tahiru Awudu,gh GHA,FW,Fuenlabrada,20,2000,8,2,222,2.5,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41
Ivan Azón,es ESP,FW,Zaragoza,17,2002,30,10,"1,066",11.8,3,0,3,3,0,0,2,0,0.25,0.00,0.25,0.25,0.25
Barbero,es ESP,FW,Alcorcón,21,1998,32,10,"1,129",12.5,2,0,2,2,0,0,2,0,0.16,0.00,0.16,0.16,0.16
Keidi Bare,al ALB,MF,Espanyol,22,1997,27,20,"1,725",19.2,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
Liberto Beltrán,es ESP,"MF,FW",Albacete,23,1996,8,4,322,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28
Alejandro Benítez Palomero,es ESP,DF,Málaga,20,2000,9,8,721,8.0,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12
Álex Bermejo,es ESP,"MF,FW",Tenerife,21,1998,22,14,"1,124",12.5,3,1,4,3,0,0,3,1,0.24,0.08,0.32,0.24,0.32
Sergio Bermejo,es ESP,"MF,FW",Zaragoza,22,1997,37,26,"2,434",27.0,1,4,5,1,0,0,4,0,0.04,0.15,0.18,0.04,0.18
Juan Berrocal,es ESP,DF,CD Mirandés,21,1999,38,35,"3,160",35.1,2,0,2,2,0,0,9,0,0.06,0.00,0.06,0.06,0.06
Pablo Bobadilla,es ESP,DF,UD Logroñés,23,1996,29,20,"1,884",20.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Mateusz Bogusz,pl POL,"MF,FW",UD Logroñés,18,2001,23,9,991,11.0,1,1,2,0,1,1,4,0,0.09,0.09,0.18,0.00,0.09
Edward Bolaños,co COL,FW,Ponferradina,21,1998,2,0,12,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Hicham Boussefiane,ma MAR,FW,Málaga,22,1998,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Enzo Boyomo,cm CMR,DF,Albacete,18,2001,31,28,"2,478",27.5,1,0,1,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04
Ivan Bravo,es ESP,DF,Mallorca,19,2001,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Juanma Bravo,es ESP,MF,Alcorcón,22,1998,35,18,"1,624",18.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Gabriel Brazão,br BRA,GK,Oviedo,19,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Santiago Bueno,uy URU,DF,Girona,21,1998,36,34,"3,062",34.0,2,0,2,2,0,0,7,1,0.06,0.00,0.06,0.06,0.06
Aitor Buñuel,es ESP,DF,Almería,22,1998,15,12,"1,116",12.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Nahuel Bustos,ar ARG,FW,Girona,22,1998,30,9,910,10.1,2,1,3,2,0,0,5,1,0.20,0.10,0.30,0.20,0.30
Marcin Bułka,pl POL,GK,Cartagena,20,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
José Javier Belman Calvo,es ESP,GK,Fuenlabrada,21,1998,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gaspar Campos,es ESP,MF,Sporting Gijón,20,2000,34,17,"1,538",17.1,3,2,5,3,0,0,3,1,0.18,0.12,0.29,0.18,0.29
Víctor Campuzano,es ESP,FW,Espanyol,23,1997,4,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Víctor Campuzano,es ESP,"FW,MF",Sporting Gijón,23,1997,8,4,370,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luis Carbonell Artajona,es ESP,FW,Zaragoza,17,2003,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sergi Cardona,es ESP,DF,Las Palmas,21,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Andrés Caro,es ESP,DF,Málaga,16,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adalberto Carrasquilla,pa PAN,MF,Cartagena,21,1998,28,20,"1,821",20.2,1,1,2,1,0,0,8,0,0.05,0.05,0.10,0.05,0.10
Carrillo,es ESP,MF,Castellón,21,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
João Carvalho,pt POR,MF,Almería,23,1997,32,19,"1,817",20.2,0,3,3,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15
Ismael Casas Casado,es ESP,DF,Málaga,19,2001,19,19,"1,516",16.8,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06
Javier Castro,es ESP,DF,Alcorcón,19,2000,15,13,"1,127",12.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Luis Castro Lois,es ESP,DF,Lugo,18,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Berto Cayarga,es ESP,MF,Cartagena,23,1996,37,17,"1,474",16.4,2,0,2,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12
Álex Centelles,es ESP,DF,Almería,22,1997,13,11,905,10.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Pep Chavarría,es ESP,"DF,MF",Zaragoza,22,1998,36,31,"2,720",30.2,1,1,2,1,0,0,8,0,0.03,0.03,0.07,0.03,0.07
Chumi,es ESP,DF,Almería,21,1999,10,9,813,9.0,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11
Enrique Clemente,es ESP,DF,UD Logroñés,21,1999,21,18,"1,615",17.9,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06
Óscar Clemente,es ESP,"MF,FW",Las Palmas,21,1999,26,13,"1,113",12.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Saúl Coco,gq EQG,DF,Las Palmas,21,1999,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Santi Comesaña,es ESP,MF,Rayo Vallecano,23,1996,35,24,"2,252",25.0,3,0,3,3,0,0,7,0,0.12,0.00,0.12,0.12,0.12
Diego Conde,es ESP,GK,Leganés,21,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pierre Cornud,fr FRA,"MF,DF",Sabadell,23,1996,29,25,"2,191",24.3,0,5,5,0,0,0,11,2,0.00,0.21,0.21,0.00,0.21
Antonio Cortés,es ESP,"FW,MF",Rayo Vallecano,20,2000,27,16,"1,359",15.1,6,0,6,6,0,0,2,0,0.40,0.00,0.40,0.40,0.40
Diego Cortés,es ESP,FW,Albacete,22,1998,6,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Samu Costa,pt POR,MF,Almería,19,2000,35,32,"2,479",27.5,2,1,3,2,0,0,15,0,0.07,0.04,0.11,0.07,0.11
Yan Couto,br BRA,"MF,DF",Girona,18,2002,22,17,"1,661",18.5,1,4,5,1,0,0,4,0,0.05,0.22,0.27,0.05,0.27
Cristo,es ESP,"DF,MF",Málaga,20,2000,18,9,"1,021",11.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Juan Cruz,es ESP,MF,Málaga,20,2000,3,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jorge Cuenca,es ESP,DF,Almería,20,1999,35,30,"2,809",31.2,3,0,3,3,0,0,4,0,0.10,0.00,0.10,0.10,0.10
Javier Cueto,es ESP,FW,Oviedo,19,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Braian Cufré,ar ARG,"DF,MF",Mallorca,23,1996,29,20,"1,768",19.6,1,2,3,1,0,0,8,1,0.05,0.10,0.15,0.05,0.15
Nikola Čumić,rs SRB,MF,Sporting Gijón,21,1998,28,14,"1,167",13.0,1,2,3,1,0,0,4,0,0.08,0.15,0.23,0.08,0.23
Álvaro De La Torre,es ESP,MF,Alcorcón,20,1999,9,5,412,4.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
David Del Pozo,es ESP,MF,Albacete,23,1997,4,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ibrahim Diabaté,ci CIV,FW,Mallorca,20,1999,1,0,16,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Pedro Díaz,es ESP,MF,Sporting Gijón,22,1998,37,27,"2,325",25.8,3,6,9,2,1,1,5,0,0.12,0.23,0.35,0.08,0.31
Diego,es ESP,FW,Leganés,20,2000,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Landry Dimata,be BEL,FW,Espanyol,22,1997,19,14,"1,099",12.2,5,1,6,5,0,0,3,0,0.41,0.08,0.49,0.41,0.49
Yacouba Diori,ne NIG,DF,Ponferradina,22,1997,5,4,373,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Naïs Djouahra,fr FRA,"MF,FW",CD Mirandés,20,1999,27,13,"1,290",14.3,4,1,5,4,0,0,2,0,0.28,0.07,0.35,0.28,0.35
Álex Domínguez,es ESP,GK,Las Palmas,22,1998,17,17,"1,472",16.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
Carlos Doncel,es ESP,MF,Ponferradina,23,1996,36,20,"1,846",20.5,1,2,3,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15
Iñaki Elejalde,es ESP,FW,Las Palmas,21,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Juergen Elitim,co COL,MF,Ponferradina,21,1999,41,17,"1,908",21.2,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05
Ramón Enríquez,es ESP,MF,Málaga,19,2001,28,21,"1,814",20.2,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15
Álex Escardó,es ESP,FW,Alcorcón,22,1998,6,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antón Escobar,es ESP,FW,Lugo,22,1998,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mohamed Ezzarfani,ma MAR,"MF,FW",CD Mirandés,22,1997,26,14,"1,147",12.7,2,0,2,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16
Felix,es ESP,MF,Tenerife,19,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joan Femenías,es ESP,GK,Oviedo,23,1996,40,40,"3,600",40.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
