Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Abdel Abdallah,km COM,DF,Grenoble,22,1997,27,12,"1,247",13.9,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Himad Abdelli,dz ALG,"FW,MF",Le Havre,20,1999,25,17,"1,387",15.4,2,1,3,1,1,1,2,1,0.13,0.06,0.19,0.06,0.13
Salis Abdul Samed,gh GHA,MF,Clermont Foot,20,2000,6,0,123,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aly Abeid,mr MTN,"DF,MF",Valenciennes,22,1997,25,23,"1,869",20.8,0,1,1,0,0,0,7,1,0.00,0.05,0.05,0.00,0.05
Amine Adli,ma MAR,"FW,MF",Toulouse,20,2000,33,29,"2,507",27.9,8,7,15,8,0,0,5,1,0.29,0.25,0.54,0.29,0.54
Alexis Alegue,fr FRA,"FW,MF",Rodez Aveyron,23,1996,11,5,440,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nabil Alioui,fr FRA,"MF,FW",Le Havre,21,1999,24,12,"1,236",13.7,3,2,5,3,0,0,3,0,0.22,0.15,0.36,0.22,0.36
Steve Ambri,gw GNB,MF,Sochaux,22,1997,28,18,"1,610",17.9,3,1,4,3,0,0,9,0,0.17,0.06,0.22,0.17,0.22
Kelvin Amian,fr FRA,DF,Toulouse,22,1998,33,33,"2,970",33.0,4,1,5,4,0,0,6,0,0.12,0.03,0.15,0.12,0.15
Janis Antiste,fr FRA,FW,Toulouse,17,2002,30,12,"1,147",12.7,7,1,8,7,0,0,2,1,0.55,0.08,0.63,0.55,0.63
Said Arab,fr FRA,"MF,FW",Paris FC,20,2000,27,4,633,7.0,3,1,4,3,0,0,1,0,0.43,0.14,0.57,0.43,0.57
Taïryk Arconte,fr FRA,MF,Ajaccio,16,2003,4,1,105,1.2,1,0,1,1,0,0,0,0,0.86,0.00,0.86,0.86,0.86
Yoël Armougom,fr FRA,DF,Caen,22,1998,24,20,"1,825",20.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Youssouf Assogba,bj BEN,"MF,DF",Amiens,18,2001,9,6,572,6.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Louis Autchanga,ga GAB,MF,Niort,23,1996,15,2,269,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Abdoullah Ba,fr FRA,MF,Le Havre,17,2003,3,2,194,2.2,1,0,1,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46
Pape Ba,sn SEN,FW,Troyes,23,1997,11,1,263,2.9,2,0,2,2,0,0,1,0,0.68,0.00,0.68,0.68,0.68
Melvin Bachelet,fr FRA,DF,Le Havre,17,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aliou Badara Traore,ml MLI,MF,Caen,19,2001,19,6,672,7.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Bastian Badu,fr FRA,"FW,MF",Chambly Oise,20,2000,17,6,581,6.5,2,0,2,2,0,0,0,0,0.31,0.00,0.31,0.31,0.31
Axel Bamba,fr FRA,DF,Paris FC,21,1999,33,33,"2,861",31.8,1,0,1,1,0,0,2,2,0.03,0.00,0.03,0.03,0.03
Rafael Bandeira,pt POR,"MF,DF",Amiens,19,2001,2,2,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mamady Bangré,bf BFA,MF,Toulouse,19,2001,2,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Yanis Barka,dz ALG,"MF,FW",Nancy,22,1998,22,3,545,6.1,2,2,4,2,0,0,1,0,0.33,0.33,0.66,0.33,0.66
Imani Barker,fr FRA,DF,Le Havre,17,2002,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Antoine Baroan,fr FRA,FW,Niort,20,2000,9,0,129,1.4,1,0,1,1,0,0,2,0,0.70,0.00,0.70,0.70,0.70
Amine Bassi,fr FRA,"MF,FW",Nancy,22,1997,19,17,"1,475",16.4,7,3,10,5,2,2,2,0,0.43,0.18,0.61,0.31,0.49
Terence Baya,fr FRA,DF,Troyes,22,1998,6,0,193,2.1,1,0,1,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47
