Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22,12,"1,040",11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12,11,66,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,33,33,"2,953",32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,5,75,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Ola Aina,ng NGA,DF,Fulham,23,1996,31,31,"2,664",29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8,63,106,50,0.07,0.03,0.10,0.07,0.10,0.04,0.05,0.09,0.04,0.09
Rayan Aït-Nouri,dz ALG,DF,Wolves,19,2001,21,16,"1,404",15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,47,54,85,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,36,34,"3,031",33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98,251,249,0.06,0.21,0.27,0.06,0.27,0.08,0.26,0.33,0.08,0.33
Steven Alzate,co COL,MF,Brighton,21,1998,15,10,896,10.0,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16,39,16,0.10,0.00,0.10,0.10,0.10,0.08,0.06,0.14,0.08,0.14
Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,19,2000,25,23,"2,089",23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25,100,23,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07
Elliot Anderson,eng ENG,MF,Newcastle Utd,17,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harvey Barnes,eng ENG,"FW,MF",Leicester City,22,1997,25,22,"1,945",21.6,9,4,13,9,0,0,0,0,5.9,5.9,1.6,7.5,105,56,163,0.42,0.19,0.60,0.42,0.60,0.27,0.07,0.35,0.27,0.35
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23,1997,19,4,524,5.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,7,16,39,0.17,0.17,0.34,0.17,0.34,0.06,0.16,0.22,0.06,0.22
Josh Benson,eng ENG,MF,Burnley,20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,6,8,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Sander Berge,no NOR,MF,Sheffield Utd,22,1998,15,13,"1,120",12.4,1,1,2,0,1,1,4,0,1.2,0.4,1.1,1.6,39,39,33,0.08,0.08,0.16,0.00,0.08,0.10,0.09,0.19,0.04,0.13
Steven Bergwijn,nl NED,"FW,MF",Tottenham,22,1997,21,13,"1,208",13.4,1,3,4,1,0,0,3,0,2.0,2.0,0.9,2.9,32,25,83,0.07,0.22,0.30,0.07,0.30,0.15,0.06,0.21,0.15,0.21
Yves Bissouma,ml MLI,MF,Brighton,23,1996,36,35,"3,111",34.6,1,0,1,1,0,0,8,1,1.4,1.4,0.9,2.3,55,146,26,0.03,0.00,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07
Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20,2000,16,12,"1,110",12.3,2,0,2,2,0,0,2,0,1.9,1.9,0.2,2.2,11,24,61,0.16,0.00,0.16,0.16,0.16,0.16,0.02,0.17,0.16,0.17
Jarrod Bowen,eng ENG,"FW,MF",West Ham,23,1996,38,30,"2,562",28.5,8,5,13,8,0,0,0,0,7.1,7.1,5.0,12.0,83,44,165,0.28,0.18,0.46,0.28,0.46,0.25,0.17,0.42,0.25,0.42
Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,20,2000,27,12,"1,128",12.5,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,11,20,48,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.27,0.14,0.27
Nathan Broadhead,wls WAL,FW,Everton,22,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,13,12,"1,004",11.2,1,0,1,1,0,0,1,0,0.9,0.9,0.6,1.5,7,22,18,0.09,0.00,0.09,0.09,0.09,0.08,0.05,0.14,0.08,0.14
Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,25,14,"1,269",14.1,1,1,2,1,0,0,2,0,2.1,2.1,2.2,4.3,30,19,108,0.07,0.07,0.14,0.07,0.14,0.15,0.16,0.31,0.15,0.31
Oskar Buur,dk DEN,DF,Wolves,22,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,33,32,"2,871",31.9,16,0,16,16,0,0,3,0,16.3,16.3,2.0,18.3,36,46,160,0.50,0.00,0.50,0.50,0.50,0.51,0.06,0.57,0.51,0.57
Fabio Carvalho,pt POR,"MF,FW",Fulham,17,2002,4,3,255,2.8,1,0,1,1,0,0,0,0,1.2,1.2,0.4,1.6,10,6,14,0.35,0.00,0.35,0.35,0.35,0.41,0.15,0.56,0.41,0.56
Matty Cash,pl POL,DF,Aston Villa,22,1997,28,28,"2,372",26.4,0,2,2,0,0,0,8,1,0.3,0.3,1.7,2.0,43,76,62,0.00,0.08,0.08,0.00,0.08,0.01,0.07,0.08,0.01,0.08
Dani Ceballos,es ESP,MF,Arsenal,23,1996,25,17,"1,615",17.9,0,3,3,0,0,0,4,0,0.6,0.6,2.6,3.3,54,150,52,0.00,0.17,0.17,0.00,0.17,0.04,0.15,0.18,0.04,0.18
Ben Chilwell,eng ENG,DF,Chelsea,23,1996,27,27,"2,286",25.4,3,5,8,3,0,0,3,0,2.4,2.4,2.4,4.9,94,111,186,0.12,0.20,0.31,0.12,0.31,0.10,0.10,0.19,0.10,0.19
Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,10,4,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,15,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,16,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
Aaron Connolly,ie IRL,FW,Brighton,20,2000,17,9,791,8.8,2,1,3,2,0,0,0,0,4.0,4.0,0.2,4.2,12,4,58,0.23,0.11,0.34,0.23,0.34,0.45,0.02,0.48,0.45,0.48
Theo Corbeanu,ca CAN,FW,Wolves,18,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42
Patrick Cutrone,it ITA,FW,Wolves,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30
Tom Davies,eng ENG,MF,Everton,22,1998,25,17,"1,423",15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1,11,49,17,0.00,0.06,0.06,0.00,0.06,0.01,0.06,0.07,0.01,0.07
