Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Emmanuel Agbadou,ci CIV,"DF,MF",Eupen,23,1997,22.0,,24,,,,,,,,,,,61,,,,BelgianProLeague
Saad Agouzoul,ma MAR,DF,Excel Mouscron,22,1997,33.0,,37,,,,,,,,,,,50,,,,BelgianProLeague
Reda Akbib,be BEL,DF,Charleroi,19,2001,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Alessandro Albanese,be BEL,"MF,FW",Waasland-Bev,20,2000,13.8,,7,,,,,,,,,,,8,,,,BelgianProLeague
Arthur Allemeersch,be BEL,FW,OH Leuven,19,2001,0.7,,1,,,,,,,,,,,0,,,,BelgianProLeague
Selim Amallah,ma MAR,"MF,FW",Standard Liège,23,1996,20.5,,50,,,,,,,,,,,25,,,,BelgianProLeague
Francis Amuzu,be BEL,"MF,FW",Anderlecht,20,1999,19.5,,12,,,,,,,,,,,14,,,,BelgianProLeague
Panos Armenakas,au AUS,MF,Zulte Waregem,21,1998,2.3,,3,,,,,,,,,,,4,,,,BelgianProLeague
Kristian Arnstad,no NOR,MF,Anderlecht,16,2003,1.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Gerardo Arteaga,mx MEX,"DF,MF",Genk,21,1998,15.2,,18,,,,,,,,,,,18,,,,BelgianProLeague
Isaac Asante,gh GHA,MF,OH Leuven,17,2002,2.2,,0,,,,,,,,,,,3,,,,BelgianProLeague
Majeed Ashimeru,gh GHA,MF,Anderlecht,22,1997,3.6,,4,,,,,,,,,,,3,,,,BelgianProLeague
Marciano Aziz,be BEL,MF,Eupen,19,2001,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Muhammed Badamosi,gm GAM,FW,Kortrijk,21,1998,2.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Youssouph Badji,sn SEN,FW,Club Brugge,18,2001,10.5,,4,,,,,,,,,,,2,,,,BelgianProLeague
Michel-Ange Balikwisha,be BEL,"MF,FW",Standard Liège,19,2001,18.0,,32,,,,,,,,,,,9,,,,BelgianProLeague
William Balikwisha,cd COD,MF,Standard Liège,21,1999,0.4,,1,,,,,,,,,,,1,,,,BelgianProLeague
Nelson Balongo,,FW,Sint-Truiden,21,1999,0.8,,0,,,,,,,,,,,0,,,,BelgianProLeague
Eike Bansen,de GER,GK,Zulte Waregem,22,1998,6.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Samuel Bastien,cd COD,MF,Standard Liège,23,1996,23.8,,19,,,,,,,,,,,27,,,,BelgianProLeague
Jelle Bataille,be BEL,"MF,DF",Oostende,21,1999,28.5,,45,,,,,,,,,,,42,,,,BelgianProLeague
David Bates,sct SCO,DF,Cercle Brugge,23,1996,18.9,,13,,,,,,,,,,,23,,,,BelgianProLeague
Nick Bätzner,de GER,MF,Oostende,20,2000,9.8,,10,,,,,,,,,,,4,,,,BelgianProLeague
Amine Benchaib,ma MAR,MF,Charleroi,22,1998,8.6,,11,,,,,,,,,,,8,,,,BelgianProLeague
Giulian Biancone,fr FRA,"DF,MF",Cercle Brugge,20,2000,17.2,,37,,,,,,,,,,,22,,,,BelgianProLeague
William Bianda,fr FRA,DF,Zulte Waregem,20,2000,5.4,,5,,,,,,,,,,,5,,,,BelgianProLeague
Djihad Bizimana,rw RWA,MF,Waasland-Bev,23,1996,3.5,,3,,,,,,,,,,,5,,,,BelgianProLeague
Eric Bocat,fr FRA,"DF,MF",Excel Mouscron,21,1999,7.3,,9,,,,,,,,,,,18,,,,BelgianProLeague
Arnaud Bodart,be BEL,GK,Standard Liège,22,1998,33.0,,2,,,,,,,,,,,2,,,,BelgianProLeague
Indy Boonen,be BEL,"FW,MF",Oostende,21,1999,3.0,,6,,,,,,,,,,,0,,,,BelgianProLeague
George Broadbent,eng ENG,"DF,MF",Beerschot,19,2000,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Jacob Bruun Larsen,dk DEN,"FW,MF",Anderlecht,21,1998,3.6,,4,,,,,,,,,,,5,,,,BelgianProLeague
Charles-Andréas Brym,ca CAN,FW,Excel Mouscron,21,1998,2.2,,0,,,,,,,,,,,2,,,,BelgianProLeague
Osman Bukari,gh GHA,"FW,MF",Gent,21,1998,18.0,,11,,,,,,,,,,,7,,,,BelgianProLeague
Mustapha Bundu,sl SLE,MF,Anderlecht,23,1997,4.5,,2,,,,,,,,,,,1,,,,BelgianProLeague
Rocky Bushiri,be BEL,DF,Mechelen,20,1999,5.7,,0,,,,,,,,,,,5,,,,BelgianProLeague
Rocky Bushiri,be BEL,DF,Eupen,20,1999,0.8,,1,,,,,,,,,,,0,,,,BelgianProLeague
Maxime Busi,be BEL,DF,Charleroi,20,1999,7.0,,7,,,,,,,,,,,10,,,,BelgianProLeague
Aurélio Buta,pt POR,MF,Antwerp,23,1997,11.8,,15,,,,,,,,,,,15,,,,BelgianProLeague
Liberato Cacace,nz NZL,"MF,DF",Sint-Truiden,19,2000,26.9,,29,,,,,,,,,,,42,,,,BelgianProLeague
Capita,ao ANG,FW,Excel Mouscron,18,2002,0.6,,0,,,,,,,,,,,1,,,,BelgianProLeague
Joachim Carcela,be BEL,MF,Standard Liège,20,1999,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Arne Cassaert,be BEL,DF,Cercle Brugge,19,2000,1.0,,1,,,,,,,,,,,0,,,,BelgianProLeague
Alessio Castro-Montes,be BEL,"MF,DF",Gent,23,1997,29.2,,43,,,,,,,,,,,40,,,,BelgianProLeague
Maximiliano Caufriez,be BEL,DF,Waasland-Bev,23,1997,4.0,,4,,,,,,,,,,,3,,,,BelgianProLeague
Maximiliano Caufriez,be BEL,"DF,MF",Sint-Truiden,23,1997,16.8,,34,,,,,,,,,,,22,,,,BelgianProLeague
Giorgi Chakvetadze,ge GEO,"MF,FW",Gent,20,1999,2.0,,3,,,,,,,,,,,3,,,,BelgianProLeague
Ismaila Cheick Coulibaly,ml MLI,MF,Beerschot,19,2000,18.2,,36,,,,,,,,,,,28,,,,BelgianProLeague
Tahith Chong,nl NED,FW,Club Brugge,20,1999,4.3,,5,,,,,,,,,,,4,,,,BelgianProLeague
Jeremy Cijntje,cw CUW,"FW,MF",Waasland-Bev,22,1998,1.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Elias Cobbaut,be BEL,DF,Anderlecht,22,1997,6.8,,4,,,,,,,,,,,9,,,,BelgianProLeague
Antoine Colassin,be BEL,FW,Anderlecht,19,2001,1.9,,1,,,,,,,,,,,1,,,,BelgianProLeague
Antoine Colassin,be BEL,"FW,MF",Zulte Waregem,19,2001,1.8,,1,,,,,,,,,,,4,,,,BelgianProLeague
