Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Paulos Abraham,se SWE,"MF,FW",Groningen,20,2002,8,5,489,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bobby Adekanye,nl NED,"MF,FW",Go Ahead Eag,23,1999,31,28,"2,146",23.8,6,4,10,6,0,0,8,0,0.25,0.17,0.42,0.25,0.42
Shawn Adewoye,be BEL,DF,RKC Waalwijk,22,2000,33,33,"2,931",32.6,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06
Luuk Admiraal,nl NED,MF,Excelsior,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nikolas Agrafiotis,nl NED,FW,Excelsior,22,2000,17,5,564,6.3,2,0,2,2,0,1,2,0,0.32,0.00,0.32,0.32,0.32
Pedro Alemañ,es ESP,MF,Sparta R'dam,20,2002,5,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Hussein Ali,iq IRQ,DF,Heerenveen,20,2002,5,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jamal Amofa,nl NED,DF,Go Ahead Eag,23,1998,31,27,"2,413",26.8,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04
Fredrik André Bjørkan,no NOR,DF,Feyenoord,23,1998,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Oliver Antman,fi FIN,"MF,FW",Groningen,20,2001,11,8,670,7.4,2,1,3,2,0,0,0,0,0.27,0.13,0.40,0.27,0.40
Joey Antonioli,nl NED,MF,Volendam,18,2003,1,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jeremy Antonisse,cw CUW,MF,Emmen,20,2002,13,11,802,8.9,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22
Francesco Antonucci,be BEL,"MF,FW",Volendam,23,1999,17,10,903,10.0,2,1,3,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30
Antony,br BRA,FW,Ajax,22,2000,2,2,180,2.0,1,2,3,1,0,0,0,0,0.50,1.00,1.50,0.50,1.50
Jasin Assehnoun,fi FIN,"MF,FW",Emmen,23,1998,29,4,731,8.1,1,1,2,1,0,0,4,0,0.12,0.12,0.25,0.12,0.25
Sebbe Augustijns,be BEL,MF,RKC Waalwijk,22,1999,6,0,69,0.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Aventis Aventisian,am ARM,DF,Go Ahead Eag,19,2002,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marouan Azarkan,nl NED,"MF,FW",Excelsior,20,2001,27,26,"1,832",20.4,3,8,11,3,0,0,4,0,0.15,0.39,0.54,0.15,0.54
Julian Baas,nl NED,MF,Excelsior,20,2002,33,27,"2,457",27.3,3,5,8,3,0,0,4,0,0.11,0.18,0.29,0.11,0.29
Youri Baas,nl NED,DF,Ajax,19,2003,6,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nikolai Baden Frederiksen,dk DEN,"FW,MF",Vitesse,22,2000,13,5,525,5.8,2,0,2,2,0,0,0,0,0.34,0.00,0.34,0.34,0.34
Johan Bakayoko,be BEL,"FW,MF",PSV Eindhoven,19,2003,23,17,"1,373",15.3,5,5,10,5,0,0,4,0,0.33,0.33,0.66,0.33,0.66
Remco Balk,nl NED,"MF,FW",Cambuur,21,2001,30,12,"1,185",13.2,1,0,1,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08
Radinio Balker,sr SUR,DF,Groningen,23,1998,31,31,"2,650",29.4,1,0,1,1,0,0,2,1,0.03,0.00,0.03,0.03,0.03
Alex Bangura,sl SLE,DF,Cambuur,23,1999,29,28,"2,449",27.2,1,3,4,1,0,0,5,1,0.04,0.11,0.15,0.04,0.15
Yusuf Barasi,tr TUR,FW,AZ Alkmaar,19,2003,11,0,187,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48
Cole Bassett,us USA,MF,Fortuna Sittard,21,2001,10,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cole Bassett,us USA,MF,Feyenoord,21,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Calvin Bassey,ng NGA,DF,Ajax,22,1999,25,20,"1,807",20.1,1,3,4,1,0,0,0,0,0.05,0.15,0.20,0.05,0.20
