Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Abner,br BRA,DF,Juventude,19,2004,3,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adriel,br BRA,GK,Bahia,23,2001,4,3,334,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adson,br BRA,FW,Vasco da Gama,23,2000,20,14,"1,224",13.6,2,1,3,2,0,0,2,0,1.5,1.5,2.6,4.1,42,72,80,0.15,0.07,0.22,0.15,0.22,0.11,0.19,0.30,0.11,0.30
Braian Aguirre,ar ARG,DF,Internacional,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0,7,4,0.00,0.00,0.00,0.00,0.00,0.06,0.31,0.37,0.06,0.37
Carlos Alberto,br BRA,FW,Botafogo (RJ),21,2002,7,2,212,2.4,1,0,1,1,0,0,0,0,1.6,1.6,0.1,1.7,7,4,7,0.42,0.00,0.42,0.42,0.42,0.67,0.05,0.72,0.67,0.72
Yuri Alberto,br BRA,FW,Corinthians,22,2001,29,25,"2,197",24.4,15,4,19,12,3,3,6,1,10.7,8.3,1.9,10.2,52,31,172,0.61,0.16,0.78,0.49,0.66,0.44,0.08,0.51,0.34,0.42
Carlos Alcaraz,ar ARG,"MF,FW",Flamengo,21,2002,14,8,751,8.3,2,1,3,0,2,2,1,1,3.3,1.4,0.6,2.0,26,39,42,0.24,0.12,0.36,0.00,0.12,0.39,0.07,0.46,0.17,0.23
Max Alegria,br BRA,"FW,DF",Vasco da Gama,20,2004,3,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,8,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
Alexsander,br BRA,MF,Fluminense,20,2003,15,7,791,8.8,0,1,1,0,0,0,4,0,0.4,0.4,0.9,1.3,15,36,24,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.15,0.04,0.15
Alisson,br BRA,"DF,FW",Atlético Mineiro,18,2005,19,7,890,9.9,1,0,1,1,0,0,1,0,2.5,2.5,1.1,3.6,43,34,107,0.10,0.00,0.10,0.10,0.10,0.25,0.11,0.36,0.25,0.36
