Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Abel,es ESP,DF,Oviedo,22,2000,39,36,"3,246",36.1,1,3,4,1,0,0,9,0,0.03,0.08,0.11,0.03,0.11
Álvaro Aceves,es ESP,GK,Eldense,20,2003,14,14,"1,260",14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Emmanuel Addai,gh GHA,"MF,FW",Alcorcón,21,2001,35,19,"2,079",23.1,3,4,7,3,0,0,1,0,0.13,0.17,0.30,0.13,0.30
Marc Aguado,es ESP,MF,Zaragoza,23,2000,35,29,"2,411",26.8,0,2,2,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07
Lalo Aguilar,es ESP,DF,Leganés,21,2002,3,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ilias Akhomach,ma MAR,MF,Villarreal B,19,2004,2,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Babatunde Akinsola,ng NGA,MF,Valladolid,20,2003,9,2,289,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jony Álamo,es ESP,MF,Cartagena,21,2001,18,4,559,6.2,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16
Alassán,es ESP,MF,Tenerife,20,2002,9,1,185,2.1,0,1,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49
Edgar Alcañiz,es ESP,MF,Levante,18,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Iker Alday,es ESP,DF,Eibar,20,2003,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adrià Altimira,es ESP,"DF,MF",Villarreal B,22,2001,27,26,"2,270",25.2,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04
