Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Matías Abaldo,uy URU,"FW,MF",Gimnasia–LP,19,2004,14,12,"1,028",11.4,3,2,5,3,0,0,0,0,0.26,0.18,0.44,0.26,0.44
Matías Acevedo,ar ARG,MF,Racing Club,15,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Valentino Acuña,ar ARG,MF,Newell's OB,18,2006,5,2,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Braian Aguirre,ar ARG,"DF,MF",Lanús,23,2000,8,7,557,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brian Aguirre,ar ARG,"MF,FW",Boca Juniors,20,2003,16,11,891,9.9,2,1,3,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30
Brian Aguirre,ar ARG,"MF,FW",Newell's OB,20,2003,5,3,250,2.8,1,0,1,1,0,0,2,0,0.36,0.00,0.36,0.36,0.36
Federico Aguirre,ar ARG,FW,Barracas Central,21,2002,8,3,266,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,22,2001,13,5,514,5.7,1,1,2,1,0,0,2,0,0.18,0.18,0.35,0.18,0.35
William Alarcón,cl CHI,MF,Huracán,23,2000,24,21,"1,805",20.1,3,3,6,3,0,0,5,1,0.15,0.15,0.30,0.15,0.30
Gustavo Albarracín,ar ARG,MF,Talleres,17,2006,8,0,225,2.5,1,1,2,1,0,0,1,0,0.40,0.40,0.80,0.40,0.80
Brian Alexis Leizza,ar ARG,DF,Tigre,23,2000,12,12,"1,011",11.2,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Brian Alexis Leizza,ar ARG,DF,Cen. Córdoba–SdE,23,2000,3,2,189,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
