Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27,17,"1,519",16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Matthis Abline,fr FRA,FW,Nantes,20,2003,22,12,"1,044",11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.00,0.43,0.43,0.43,0.33,0.17,0.50,0.33,0.50
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.36,0.00,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26
Akor Adams,ng NGA,FW,Montpellier,23,2000,32,27,"2,252",25.0,8,1,9,8,0,0,2,0,12.4,12.4,1.9,14.3,40,17,127,0.32,0.04,0.36,0.32,0.36,0.50,0.07,0.57,0.50,0.57
Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15,14,"1,243",13.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Adson,br BRA,"MF,FW",Nantes,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21,2002,28,18,"1,613",17.9,7,4,11,7,0,0,5,0,5.4,5.4,3.5,8.9,46,93,135,0.39,0.22,0.61,0.39,0.61,0.30,0.19,0.49,0.30,0.49
Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0.00,0.69,0.69,0.00,0.69,0.17,0.05,0.22,0.17,0.22
Mohamed Ali Cho,fr FRA,FW,Nice,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,1.1,1.1,2.0,3.1,48,25,77,0.10,0.21,0.31,0.10,0.31,0.12,0.21,0.32,0.12,0.32
Skelly Alvero,fr FRA,MF,Lyon,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,27,13,0.21,0.00,0.21,0.21,0.21,0.09,0.00,0.09,0.09,0.09
Papa Amadou Diallo,sn SEN,FW,Metz,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,2.6,2.6,0.9,3.5,25,30,65,0.20,0.10,0.30,0.20,0.30,0.26,0.09,0.35,0.26,0.35
Ângelo,br BRA,"FW,MF",Strasbourg,18,2004,21,11,"1,094",12.2,0,3,3,0,0,0,1,0,0.4,0.4,3.3,3.7,50,59,109,0.00,0.25,0.25,0.00,0.25,0.04,0.27,0.31,0.04,0.31
