Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Alan,br BRA,MF,Moreirense,23,2000,33,29,"2,454",27.3,3,4,7,3,0,1,5,0,0.11,0.15,0.26,0.11,0.26
Rafael Alcobia,pt POR,DF,Portimonense,20,2003,3,2,203,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alemão,br BRA,DF,Portimonense,20,2002,27,27,"2,367",26.3,2,0,2,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08
Almeida,br BRA,DF,Estrela,23,2000,7,5,486,5.4,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19
Pedro Álvaro,pt POR,DF,Estoril,23,2000,20,20,"1,787",19.9,0,1,1,0,0,0,6,1,0.00,0.05,0.05,0.00,0.05
Andrew,br BRA,GK,Gil Vicente FC,22,2001,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jeremy Antonisse,cw CUW,MF,Moreirense,21,2002,24,2,548,6.1,0,1,1,0,0,0,6,1,0.00,0.16,0.16,0.00,0.16
Óscar Aranda,es ESP,"MF,FW",Famalicão,21,2002,21,8,717,8.0,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13
Henrique Araújo,pt POR,FW,Famalicão,21,2002,20,7,680,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tiago Araújo,pt POR,"MF,DF",Estoril,22,2001,29,27,"2,253",25.0,2,1,3,2,0,0,4,0,0.08,0.04,0.12,0.08,0.12
Tomás Araújo,pt POR,DF,Benfica,21,2002,13,5,482,5.4,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19
Gustavo Assuncao,pt POR,MF,Famalicão,23,2000,20,5,627,7.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Otavio Ataide,br BRA,DF,Famalicão,21,2002,17,15,"1,382",15.4,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13
Otavio Ataide,br BRA,DF,Porto,21,2002,12,12,"1,080",12.0,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08
Abdul Awudu,gh GHA,"MF,FW",Vizela,22,2001,6,2,185,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Amadou Ba-Sy,fr FRA,FW,Vizela,22,2001,7,0,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Elves Baldé,gw GNB,"MF,FW",Farense,23,1999,28,9,976,10.8,1,3,4,1,0,0,0,0,0.09,0.28,0.37,0.09,0.37
Daniel Bandeira,pt POR,MF,Vitória,23,2000,16,8,705,7.8,1,2,3,1,0,0,1,0,0.13,0.26,0.38,0.13,0.38
Romário Baró,pt POR,MF,Porto,23,2000,10,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Afonso Bastardo,pt POR,FW,Gil Vicente FC,18,2005,4,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Afonso Bastardo,pt POR,FW,Sporting CP,18,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gilberto Batista,gw GNB,DF,Moreirense,19,2003,4,2,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Roko Baturina,hr CRO,FW,Gil Vicente FC,23,2000,15,9,707,7.9,2,0,2,2,0,0,0,0,0.25,0.00,0.25,0.25,0.25
Bachir Belloumi,dz ALG,"MF,FW",Farense,21,2002,33,26,"2,069",23.0,7,4,11,7,0,0,3,0,0.30,0.17,0.48,0.30,0.48
Fahem Benaissa Yahia,fr FRA,DF,Casa Pia,21,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Beni,ao ANG,MF,Casa Pia,21,2002,25,14,"1,470",16.3,0,3,3,0,0,0,9,1,0.00,0.18,0.18,0.00,0.18
