Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,23,11,"1,234",13.7,5,0,5,5,0,0,5,1,6.2,6.2,1.3,7.5,17,16,81,0.36,0.00,0.36,0.36,0.36,0.45,0.09,0.55,0.45,0.55
Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,22,11,"1,102",12.2,1,0,1,1,0,0,2,0,1.4,1.4,0.5,1.9,19,70,60,0.08,0.00,0.08,0.08,0.08,0.11,0.04,0.15,0.11,0.15
Ismail Achik,it ITA,"FW,MF",Bari,23,2000,22,6,821,9.1,1,1,2,1,0,0,2,0,1.7,1.7,2.1,3.8,34,22,104,0.11,0.11,0.22,0.11,0.22,0.18,0.23,0.41,0.18,0.41
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,7,1,233,2.6,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.8,13,4,35,0.00,0.00,0.00,0.00,0.00,0.25,0.06,0.31,0.25,0.31
Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Gabriele Alesi,it ITA,MF,Sampdoria,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Agustín Álvarez Martínez,uy URU,"FW,MF",Sampdoria,22,2001,14,9,772,8.6,1,0,1,1,0,0,0,0,1.7,1.7,0.6,2.4,7,18,54,0.12,0.00,0.12,0.12,0.12,0.20,0.07,0.28,0.20,0.28
Francesco Amatucci,it ITA,MF,Cittadella,22,2001,28,22,"1,900",21.1,2,0,2,2,0,0,5,0,1.6,1.6,0.9,2.4,28,69,57,0.09,0.00,0.09,0.09,0.09,0.07,0.04,0.12,0.07,0.12
Lorenzo Amatucci,it ITA,MF,Ternana,19,2004,16,14,"1,204",13.4,0,2,2,0,0,0,4,0,0.3,0.3,0.9,1.2,7,45,10,0.00,0.15,0.15,0.00,0.15,0.02,0.07,0.09,0.02,0.09
Giuseppe Ambrosino,it ITA,FW,Catanzaro,19,2003,28,13,"1,266",14.1,3,2,5,3,0,0,3,0,2.6,2.6,0.9,3.4,18,25,55,0.21,0.14,0.36,0.21,0.36,0.18,0.06,0.24,0.18,0.24
Matteo Angeli,it ITA,DF,Cittadella,20,2002,20,12,"1,193",13.3,0,0,0,0,0,0,6,1,0.9,0.9,0.2,1.1,7,39,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
Janis Antiste,fr FRA,"MF,FW",Reggiana,20,2002,28,21,"1,683",18.7,4,1,5,4,0,0,2,0,2.5,2.5,0.6,3.1,26,40,115,0.21,0.05,0.27,0.21,0.27,0.13,0.03,0.17,0.13,0.17
Valentin Antov,bg BUL,DF,Cremonese,22,2000,31,30,"2,638",29.3,1,1,2,1,0,0,7,1,1.1,1.1,1.4,2.5,58,191,28,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09
Alessandro Arena,it ITA,"FW,MF",Pisa,22,2000,25,18,"1,534",17.0,2,1,3,2,0,0,3,0,2.8,2.8,2.9,5.6,47,68,122,0.12,0.06,0.18,0.12,0.18,0.16,0.17,0.33,0.16,0.33
Alessandro Arioli,it ITA,FW,Cosenza,20,2003,4,2,175,1.9,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,3,4,8,0.51,0.00,0.51,0.51,0.51,0.13,0.01,0.14,0.13,0.14
Kristoffer Askildsen,no NOR,"MF,FW",Sampdoria,22,2001,18,3,497,5.5,0,2,2,0,0,0,1,0,0.1,0.1,1.2,1.3,3,27,17,0.00,0.36,0.36,0.00,0.36,0.03,0.21,0.24,0.03,0.24
Christopher Attys,ht HAI,"MF,DF",FeralpiSalò,22,2001,3,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Giuseppe Aurelio,it ITA,DF,Palermo,23,2000,26,6,842,9.4,1,1,2,1,0,0,3,0,0.9,0.9,0.4,1.3,17,29,49,0.11,0.11,0.21,0.11,0.21,0.09,0.04,0.13,0.09,0.13
Michele Avella,it ITA,GK,Brescia,23,2000,5,4,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Ballet,ch SUI,"FW,MF",Como,22,2001,3,0,51,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,4,10,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27
Botond Balogh,hu HUN,DF,Parma,21,2002,17,16,"1,351",15.0,0,0,0,0,0,0,4,2,0.2,0.2,0.0,0.2,2,36,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
Tommaso Barbieri,it ITA,DF,Pisa,20,2002,31,22,"2,065",22.9,3,2,5,3,0,0,8,1,2.0,2.0,1.6,3.6,56,93,120,0.13,0.09,0.22,0.13,0.22,0.09,0.07,0.16,0.09,0.16
Davide Barosi,it ITA,GK,Ascoli,23,2000,3,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Battistella,it ITA,MF,Modena,22,2001,22,14,"1,136",12.6,2,3,5,2,0,0,9,0,1.0,1.0,1.7,2.7,22,24,44,0.16,0.24,0.40,0.16,0.40,0.08,0.14,0.22,0.08,0.22
Brian Bayeye,cd COD,DF,Ascoli,23,2000,19,10,"1,110",12.3,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,21,40,50,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07
