Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Azeem Abdulai,sct SCO,"DF,FW",Swansea City,20,2002,7,0,139,1.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,5,9,18,0.00,0.65,0.65,0.00,0.65,0.00,0.06,0.06,0.00,0.06
Ken Aboh,eng ENG,MF,Norwich City,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emanuel Aiwum,at AUT,DF,Birmingham City,22,2000,24,22,"1,941",21.6,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.9,3,50,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Yunus Akgün,tr TUR,"MF,FW",Leicester City,23,2000,23,9,890,9.9,1,2,3,1,0,0,1,0,1.2,1.2,1.6,2.8,24,27,80,0.10,0.20,0.30,0.10,0.30,0.12,0.16,0.28,0.12,0.28
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,20,2002,23,13,"1,102",12.2,3,1,4,3,0,1,4,0,4.4,3.6,1.1,4.6,28,78,74,0.25,0.08,0.33,0.25,0.33,0.36,0.09,0.44,0.29,0.38
Ajibola Alese,eng ENG,DF,Sunderland,22,2001,8,5,462,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.8,0.8,7,17,18,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
Samuel Amo-Ameyaw,eng ENG,"FW,MF",Southampton,17,2006,3,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,1,12,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.19,0.03,0.19
Ethan Ampadu,wls WAL,"MF,DF",Leeds United,22,2000,46,46,"4,138",46.0,0,1,1,0,0,0,9,0,2.3,2.3,2.7,5.0,55,237,18,0.00,0.02,0.02,0.00,0.02,0.05,0.06,0.11,0.05,0.11
Kai Andrews,wls WAL,MF,Coventry City,16,2006,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Andrews,eng ENG,"DF,MF",Watford,18,2004,40,26,"2,575",28.6,3,2,5,3,0,0,7,1,1.8,1.8,1.5,3.3,76,88,156,0.10,0.07,0.17,0.10,0.17,0.06,0.05,0.12,0.06,0.12
Jaidon Anthony,eng ENG,"FW,MF",Leeds United,23,1999,31,2,500,5.6,1,0,1,1,0,0,0,0,1.7,1.7,0.6,2.3,33,25,64,0.18,0.00,0.18,0.18,0.18,0.31,0.11,0.42,0.31,0.42
Adil Aouchiche,fr FRA,"MF,FW",Sunderland,21,2002,28,10,"1,102",12.2,2,2,4,1,1,1,2,0,5.0,4.2,3.7,7.9,37,80,104,0.16,0.16,0.33,0.08,0.25,0.41,0.30,0.71,0.34,0.65
Arvin Appiah,eng ENG,"FW,MF",Rotherham Utd,22,2001,29,7,834,9.3,0,1,1,0,0,0,2,0,0.4,0.4,0.3,0.7,30,19,46,0.00,0.11,0.11,0.00,0.11,0.04,0.03,0.07,0.04,0.07
Sinclair Armstrong,ie IRL,FW,QPR,20,2003,39,19,"1,779",19.8,3,3,6,3,0,0,5,0,6.1,6.1,1.9,7.9,54,12,100,0.15,0.15,0.30,0.15,0.30,0.31,0.09,0.40,0.31,0.40
Harrison Ashby,sct SCO,"DF,MF",Swansea City,21,2001,13,12,798,8.9,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.6,11,15,34,0.11,0.11,0.23,0.11,0.23,0.02,0.04,0.06,0.02,0.06
Cian Ashford,wls WAL,FW,Cardiff City,18,2004,5,3,312,3.5,1,1,2,1,0,0,0,0,0.5,0.5,0.2,0.7,12,6,28,0.29,0.29,0.58,0.29,0.58,0.15,0.05,0.20,0.15,0.20
Yaser Asprilla,co COL,"FW,MF",Watford,19,2003,44,28,"2,733",30.4,6,7,13,6,0,0,7,0,6.6,6.6,5.8,12.3,74,152,228,0.20,0.23,0.43,0.20,0.43,0.22,0.19,0.41,0.22,0.41
Joshua Austerfield,eng ENG,MF,Huddersfield,21,2001,3,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Yasin Ayari,se SWE,MF,Blackburn,19,2003,10,2,334,3.7,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,4,27,12,0.00,0.27,0.27,0.00,0.27,0.05,0.07,0.12,0.05,0.12
Yasin Ayari,se SWE,MF,Coventry City,19,2003,13,6,550,6.1,1,0,1,1,0,0,2,0,1.7,1.7,1.6,3.2,10,31,43,0.16,0.00,0.16,0.16,0.16,0.28,0.26,0.53,0.28,0.53
Loick Ayina,cg CGO,"DF,MF",Huddersfield,20,2003,2,0,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Finn Azaz,ie IRL,"MF,FW",Plymouth Argyle,22,2000,26,21,"1,763",19.6,7,5,12,6,1,1,2,0,4.7,3.9,5.3,9.2,60,144,114,0.36,0.26,0.61,0.31,0.56,0.24,0.27,0.51,0.20,0.47
Finn Azaz,ie IRL,"MF,FW",Middlesbrough,22,2000,20,15,"1,359",15.1,4,5,9,4,0,0,2,0,2.8,2.8,3.9,6.8,47,93,113,0.26,0.33,0.60,0.26,0.60,0.19,0.26,0.45,0.19,0.45
Abdoullah Ba,fr FRA,"MF,FW",Sunderland,20,2003,39,21,"1,927",21.4,3,4,7,3,0,0,8,0,4.2,4.2,3.0,7.2,80,40,220,0.14,0.19,0.33,0.14,0.33,0.20,0.14,0.33,0.20,0.33
