Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Paxten Aaronson,us USA,MF,Vitesse,19,2003,14,14,"1,253",13.9,4,0,4,4,0,0,4,0,0.29,0.00,0.29,0.29,0.29
Jayden Addai,nl NED,"MF,FW",AZ Alkmaar,17,2005,8,2,297,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,29,26,"2,338",26.0,1,0,1,1,0,0,1,1,0.04,0.00,0.04,0.04,0.04
Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,18,10,758,8.4,5,2,7,5,0,0,0,0,0.59,0.24,0.83,0.59,0.83
Hamdi Akujobi,nl NED,"DF,MF",Almere City,23,2000,23,16,"1,557",17.3,0,2,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12
Hussein Ali,iq IRQ,"DF,MF",Heerenveen,21,2002,15,8,699,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jordi Altena,nl NED,MF,Vitesse,19,2003,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jaydon Amauri Banel,nl NED,FW,Ajax,18,2004,5,1,93,1.0,0,1,1,0,0,0,0,0,0.00,0.97,0.97,0.00,0.97
Silas Andersen,dk DEN,MF,Utrecht,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Augustin Anello,it ITA,MF,Sparta R'dam,21,2002,8,1,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joey Antonioli,nl NED,MF,Volendam,19,2003,3,1,100,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
D'Leanu Arts,nl NED,DF,NEC Nijmegen,20,2003,3,0,27,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Gastón Ávila,ar ARG,DF,Ajax,21,2001,5,4,354,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Marouan Azarkan,nl NED,"MF,FW",Utrecht,21,2001,18,9,794,8.8,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11
Anouar El Azzouzi,nl NED,MF,Zwolle,22,2001,22,14,"1,313",14.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Julian Baas,nl NED,MF,Excelsior,21,2002,33,33,"2,882",32.0,3,2,5,2,1,1,8,0,0.09,0.06,0.16,0.06,0.12
Youri Baas,nl NED,"DF,MF",NEC Nijmegen,20,2003,27,18,"1,719",19.1,3,3,6,3,0,0,4,0,0.16,0.16,0.31,0.16,0.31
Isaac Babadi,nl NED,MF,PSV Eindhoven,18,2005,16,3,355,3.9,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25
Mio Backhaus,de GER,GK,Volendam,19,2004,33,32,"2,881",32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Thibo Baeten,be BEL,"FW,MF",Go Ahead Eag,21,2002,26,8,908,10.1,0,2,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20
Johan Bakayoko,be BEL,"MF,FW",PSV Eindhoven,20,2003,33,29,"2,493",27.7,12,9,21,12,0,0,1,0,0.43,0.32,0.76,0.43,0.76
Jesse Bal,nl NED,FW,Sparta R'dam,16,2006,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Théo Barbet,fr FRA,DF,Almere City,22,2001,29,19,"1,818",20.2,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05
Thomas Beelen,nl NED,DF,Feyenoord,22,2001,20,14,"1,297",14.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kristijan Belic,rs SRB,MF,AZ Alkmaar,22,2001,14,13,921,10.2,0,1,1,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10
Armel Bella Kotchap,de GER,DF,PSV Eindhoven,21,2001,4,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mimeirhel Benita,nl NED,DF,Excelsior,19,2003,20,9,947,10.5,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10
Mitchell van Bergen,nl NED,MF,Twente,23,1999,21,2,520,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Gijs Besselink,nl NED,DF,Twente,19,2004,8,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daan Bisschops,nl NED,DF,Fortuna Sittard,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adrian Blake,eng ENG,FW,Utrecht,18,2005,5,0,30,0.3,1,1,2,1,0,0,0,0,3.00,3.00,6.00,3.00,6.00
Xander Blomme,be BEL,MF,Go Ahead Eag,21,2002,12,8,711,7.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Myron Boadu,nl NED,FW,Twente,22,2001,11,2,301,3.3,3,0,3,3,0,0,1,0,0.90,0.00,0.90,0.90,0.90
Ruben van Bommel,nl NED,"MF,FW",AZ Alkmaar,18,2004,29,21,"1,548",17.2,6,1,7,6,0,0,2,0,0.35,0.06,0.41,0.35,0.41
Taylor Booth,us USA,"MF,FW",Utrecht,22,2001,17,13,867,9.6,5,0,5,5,0,0,0,0,0.52,0.00,0.52,0.52,0.52
Zach Booth,us USA,"MF,FW",Volendam,19,2004,27,16,"1,558",17.3,2,2,4,2,0,0,0,0,0.12,0.12,0.23,0.12,0.23
Yvandro Borges Sanches,lu LUX,MF,NEC Nijmegen,19,2004,8,1,216,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Othman Boussaid,be BEL,"MF,FW",Utrecht,23,2000,29,23,"1,974",21.9,4,3,7,4,0,0,2,0,0.18,0.14,0.32,0.18,0.32
Amine Boutrah,fr FRA,"MF,FW",Vitesse,22,2000,29,20,"1,822",20.2,3,2,5,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25
Can Bozdogan,de GER,MF,Utrecht,22,2001,31,21,"1,963",21.8,3,1,4,3,0,0,4,0,0.14,0.05,0.18,0.14,0.18
Jayden Braaf,nl NED,FW,Fortuna Sittard,20,2002,6,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Oliver Braude,no NOR,DF,Heerenveen,19,2004,28,24,"2,116",23.5,0,2,2,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09
Myron van Brederode,nl NED,"MF,FW",AZ Alkmaar,20,2003,29,13,"1,311",14.6,2,4,6,2,0,0,1,0,0.14,0.27,0.41,0.14,0.41
Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,19,2003,32,15,"1,450",16.1,3,2,5,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31
Brian Brobbey,nl NED,FW,Ajax,21,2002,30,29,"2,405",26.7,18,8,26,18,0,1,4,0,0.67,0.30,0.97,0.67,0.97
Max Bruns,nl NED,DF,Twente,20,2002,12,5,566,6.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Thomas Buitink,nl NED,FW,Vitesse,23,2000,13,5,479,5.3,1,3,4,1,0,0,0,0,0.19,0.56,0.75,0.19,0.75
Stijn Bultman,nl NED,DF,Heracles Almelo,18,2005,14,11,"1,117",12.4,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08
