Squad,defense_# Pl,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,defense_Season,keeper_# Pl,keeper_MP,keeper_Starts,keeper_Min,keeper_90s,keeper_GA,keeper_GA90,keeper_SoTA,keeper_Saves,keeper_Save%,keeper_W,keeper_D,keeper_L,keeper_CS,keeper_CS%,keeper_PKatt,keeper_PKA,keeper_PKsv,keeper_PKm,keeper_Save%.1,keeper_Season,league_Rank,league_MP,league_W,league_D,league_L,league_GF,league_GA,league_GD,league_Pts,league_Pts/MP,league_xG,league_xGA,league_xGD,league_xGD/90,league_Attendance,league_Season,passing_# Pl,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Season,shooting_# Pl,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,shooting_Season,standard_# Pl,standard_Age,standard_Poss,standard_MP,standard_Starts,standard_Min,standard_90s,standard_Gls,standard_Ast,standard_G+A,standard_G-PK,standard_PK,standard_PKatt,standard_CrdY,standard_CrdR,standard_xG,standard_npxG,standard_xAG,standard_npxG+xAG,standard_PrgC,standard_PrgP,standard_Gls.1,standard_Ast.1,standard_G+A.1,standard_G-PK.1,standard_G+A-PK,standard_xG.1,standard_xAG.1,standard_xG+xAG,standard_npxG.1,standard_npxG+xAG.1,standard_Season,Season,League,GK_SaveImpact,GK_PenaltyImpact
Angers,31,38.0,626,376,302,256,68,314,754,41.6,440,330,78,252,443,1069,654,1,2020-2021,1,38,38,"3,420",38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5,2020-2021,13,38,12,8,18,40,58,-18,44,1.16,41.6,52.3,-10.7,-0.28,,2020-2021,31,38.0,14883,18822,79.1,260279,99308,6976,7852,88.8,5985,7038,85.0,1531,2897,52.8,23,26.4,25.0,-3.4,294,1059,221,62,1435,2020-2021,31,38.0,40,401,135,33.7,10.55,3.55,0.09,0.26,18.9,18,5,6,41.6,36.9,0.09,-1.6,-1.9,2020-2021,31,27.9,46.4,38,418,"3,420",38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67,2020-2021,2020-2021,Ligue-1,3.1280596535116896,0.25993019270997947
Bordeaux,28,38.0,567,329,294,212,61,253,623,40.6,370,383,123,260,503,1070,677,9,2020-2021,1,38,38,"3,420",38.0,56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5,2020-2021,12,38,13,6,19,42,56,-14,45,1.18,43.5,54.9,-11.4,-0.3,,2020-2021,28,38.0,15862,19490,81.4,283184,102852,7065,7953,88.8,6665,7634,87.3,1694,2878,58.9,32,31.4,27.2,0.6,319,978,186,57,1303,2020-2021,28,38.0,41,417,137,32.9,10.97,3.61,0.09,0.27,17.4,20,4,4,43.5,40.4,0.1,-2.5,-3.4,2020-2021,28,27.6,49.8,38,418,"3,420",38.0,41,32,73,37,4,4,78,4,43.5,40.4,31.4,71.7,644,1303,1.08,0.84,1.92,0.97,1.82,1.14,0.83,1.97,1.06,1.89,2020-2021,2020-2021,Ligue-1,3.468584622468939,0.25993019270997947
Brest,26,38.0,610,355,321,236,53,284,633,44.9,349,358,109,249,463,1073,685,12,2020-2021,2,38,38,"3,420",38.0,66,1.74,180,115,68.3,11,8,19,7,18.4,11,9,1,1,10.0,2020-2021,17,38,11,8,19,50,66,-16,41,1.08,50.0,58.1,-8.1,-0.21,,2020-2021,26,38.0,15437,19407,79.5,292474,108202,6267,7228,86.7,6798,7856,86.5,2034,3384,60.1,31,36.0,36.5,-5.0,337,1178,301,123,1438,2020-2021,26,38.0,48,445,155,34.8,11.71,4.08,0.1,0.29,17.2,26,3,4,50.0,46.8,0.11,-2.0,-1.8,2020-2021,26,24.9,49.3,38,418,"3,420",38.0,48,31,79,45,3,4,62,4,50.0,46.8,36.0,82.8,685,1438,1.26,0.82,2.08,1.18,2.0,1.32,0.95,2.26,1.23,2.18,2020-2021,2020-2021,Ligue-1,3.550573472354559,0.2302585092994046
Dijon,33,38.0,601,367,329,225,47,278,661,42.1,383,351,112,239,471,1072,729,16,2020-2021,3,38,38,"3,420",38.0,73,1.92,190,117,65.3,4,9,25,6,15.8,10,7,2,1,22.2,2020-2021,20,38,4,9,25,25,73,-48,21,0.55,33.7,72.5,-38.8,-1.02,,2020-2021,33,38.0,13949,17901,77.9,255851,97593,5993,6862,87.3,6025,7094,84.9,1638,3054,53.6,15,22.6,19.7,-7.6,253,936,185,56,1204,2020-2021,33,38.0,25,345,87,25.2,9.08,2.29,0.06,0.25,18.2,9,3,5,33.7,29.9,0.09,-8.7,-7.9,2020-2021,33,25.7,46.2,38,418,"3,420",38.0,25,15,40,22,3,5,76,5,33.7,29.9,22.6,52.6,528,1204,0.66,0.39,1.05,0.58,0.97,0.89,0.6,1.48,0.79,1.38,2020-2021,2020-2021,Ligue-1,3.4297345485144493,0.46163602225292355
Lens,27,38.0,601,358,264,253,84,237,533,44.5,296,375,92,283,508,1109,690,12,2020-2021,2,38,38,"3,420",38.0,54,1.42,143,92,69.9,15,12,11,8,21.1,11,11,0,0,0.0,2020-2021,7,38,15,12,11,55,54,1,57,1.5,56.4,46.8,9.6,0.25,,2020-2021,27,38.0,15078,18957,79.5,276447,96848,6283,7229,86.9,6713,7778,86.3,1682,2916,57.7,35,37.8,33.3,-2.8,327,1132,264,90,1567,2020-2021,27,38.0,53,434,133,30.6,11.42,3.5,0.1,0.32,18.5,22,10,12,56.4,47.3,0.11,-3.4,-4.3,2020-2021,27,26.4,51.1,38,418,"3,420",38.0,53,35,88,43,10,12,94,7,56.4,47.3,37.8,85.1,743,1567,1.39,0.92,2.32,1.13,2.05,1.48,0.99,2.48,1.24,2.24,2020-2021,2020-2021,Ligue-1,3.4738994964036247,0.0
Lille,21,38.0,653,370,273,288,92,305,707,43.1,402,339,90,249,424,1077,590,6,2020-2021,1,38,38,"3,420",38.0,23,0.61,107,85,79.4,24,11,3,21,55.3,2,1,1,0,50.0,2020-2021,1,38,24,11,3,64,23,41,83,2.18,48.5,29.8,18.7,0.49,209.0,2020-2021,21,38.0,17886,21892,81.7,305333,103853,8342,9348,89.2,7195,8239,87.3,1668,2938,56.8,39,34.4,33.6,4.6,365,1488,251,58,1660,2020-2021,21,38.0,62,481,178,37.0,12.66,4.68,0.12,0.32,19.6,22,5,5,48.5,44.5,0.09,13.5,12.5,2020-2021,21,25.4,53.8,38,418,"3,420",38.0,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79.0,713,1660,1.63,1.03,2.66,1.5,2.53,1.28,0.91,2.18,1.17,2.08,2020-2021,2020-2021,Ligue-1,3.7176121943366307,0.34657359027997264
Lorient,27,38.0,722,424,353,303,66,333,812,41.0,479,422,114,308,527,1249,670,11,2020-2021,2,38,38,"3,420",38.0,68,1.79,167,100,65.3,11,9,18,5,13.2,11,10,0,1,0.0,2020-2021,16,38,11,9,18,50,68,-18,42,1.11,48.6,52.5,-4.0,-0.1,,2020-2021,27,38.0,13171,17085,77.1,232514,87993,6009,6910,87.0,5392,6409,84.1,1381,2801,49.3,26,30.8,25.8,-4.8,289,910,191,55,1169,2020-2021,27,38.0,49,416,130,31.3,10.95,3.42,0.1,0.31,20.2,30,9,10,48.6,41.4,0.1,0.4,-1.4,2020-2021,27,26.8,44.6,38,418,"3,420",38.0,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.9,2020-2021,2020-2021,Ligue-1,3.345948478550328,0.0
Lyon,29,38.0,584,346,251,249,84,264,639,41.3,375,366,115,251,408,992,594,14,2020-2021,1,38,38,"3,420",38.0,43,1.13,134,92,71.6,22,10,6,11,28.9,7,5,1,1,16.7,2020-2021,4,38,22,10,6,81,43,38,76,2.0,81.4,41.5,39.9,1.05,231.0,2020-2021,29,38.0,17685,21396,82.7,304190,112753,8261,9252,89.3,7093,8148,87.1,1740,2738,63.6,46,54.9,52.2,-8.9,455,1444,426,77,1991,2020-2021,29,38.0,76,601,222,36.9,15.82,5.84,0.11,0.29,17.2,23,11,11,81.4,73.0,0.12,-5.4,-8.0,2020-2021,29,25.8,54.9,38,418,"3,420",38.0,76,46,122,65,11,11,66,10,81.4,73.0,54.9,127.9,805,1991,2.0,1.21,3.21,1.71,2.92,2.14,1.44,3.59,1.92,3.36,2020-2021,2020-2021,Ligue-1,3.5121767413619156,0.29922383136108516
Marseille,31,38.0,655,391,266,302,87,313,667,46.9,354,365,105,260,442,1097,710,12,2020-2021,2,38,38,"3,420",38.0,47,1.24,132,86,66.7,16,12,10,8,21.1,3,3,0,0,0.0,2020-2021,5,38,16,12,10,54,47,7,60,1.58,47.0,47.4,-0.4,-0.01,,2020-2021,31,38.0,16481,20532,80.3,280703,101346,7937,8895,89.2,6509,7552,86.2,1511,2858,52.9,45,36.5,33.9,8.5,299,1196,228,52,1499,2020-2021,31,38.0,53,374,128,34.2,9.84,3.37,0.13,0.38,18.1,17,4,7,47.0,41.6,0.11,6.0,7.4,2020-2021,31,27.2,53.6,38,418,"3,420",38.0,53,45,98,49,4,7,98,9,47.0,41.6,36.5,78.0,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.2,1.09,2.05,2020-2021,2020-2021,Ligue-1,3.26186286852391,0.0
Metz,27,38.0,685,417,368,252,65,305,675,45.2,370,394,116,278,572,1257,745,9,2020-2021,2,38,38,"3,419",38.0,48,1.26,150,102,76.0,12,11,15,8,21.1,13,12,1,0,7.7,2020-2021,10,38,12,11,15,44,48,-4,47,1.24,44.1,49.2,-5.2,-0.14,498.0,2020-2021,27,38.0,13167,16956,77.7,242610,90624,5653,6462,87.5,5598,6622,84.5,1579,2982,53.0,28,28.3,23.5,-0.3,316,936,191,70,1221,2020-2021,27,38.0,42,425,127,29.9,11.18,3.34,0.08,0.28,20.6,31,7,11,44.1,35.8,0.08,-2.1,-0.8,2020-2021,27,25.7,45.2,38,418,"3,420",38.0,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64.0,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.9,0.94,1.68,2020-2021,2020-2021,Ligue-1,3.8131326759793427,0.19750110052453831
