Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,2.0,0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,3.0,1.0,0.0,Bundesliga,2020-2021
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,35.0,24,12.0,15.0,8.0,17.0,31.0,54.8,14.0,22.0,5.0,17.0,29,64.0,30.0,0.0,Bundesliga,2020-2021
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,20.0,9,10.0,9.0,1.0,10.0,18.0,55.6,8.0,14.0,3.0,11.0,12,32.0,18.0,0.0,Bundesliga,2020-2021
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,4.0,1,3.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1,5.0,1.0,0.0,Bundesliga,2020-2021
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,16.0,10,11.0,5.0,0.0,7.0,16.0,43.8,9.0,14.0,10.0,4.0,21,37.0,61.0,1.0,Bundesliga,2020-2021
Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21.0,12.0,7,4.0,8.0,0.0,7.0,33.0,21.2,26.0,18.0,3.0,15.0,12,24.0,7.0,0.0,Bundesliga,2020-2021
Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24.0,31.0,19,10.0,18.0,3.0,13.0,24.0,54.2,11.0,22.0,1.0,21.0,30,61.0,40.0,0.0,Bundesliga,2020-2021
Tolu Arokodare,ng NGA,"FW,MF",Köln,19,2000,1.2,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,Bundesliga,2020-2021
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,30.0,15,15.0,14.0,1.0,15.0,28.0,53.6,13.0,23.0,2.0,21.0,13,43.0,14.0,0.0,Bundesliga,2020-2021
Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,5.0,3,2.0,3.0,0.0,1.0,14.0,7.1,13.0,9.0,0.0,9.0,3,8.0,4.0,0.0,Bundesliga,2020-2021
Mehmet Aydin,de GER,DF,Schalke 04,18,2002,5.6,15.0,7,9.0,6.0,0.0,4.0,10.0,40.0,6.0,6.0,1.0,5.0,6,21.0,16.0,0.0,Bundesliga,2020-2021
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,14.0,8,3.0,7.0,4.0,4.0,15.0,26.7,11.0,13.0,0.0,13.0,9,23.0,3.0,0.0,Bundesliga,2020-2021
Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,50.0,31,20.0,20.0,10.0,22.0,53.0,41.5,31.0,54.0,4.0,50.0,40,90.0,33.0,1.0,Bundesliga,2020-2021
Ridle Baku,de GER,DF,Mainz 05,22,1998,2.0,4.0,2,3.0,1.0,0.0,2.0,6.0,33.3,4.0,3.0,1.0,2.0,3,7.0,6.0,0.0,Bundesliga,2020-2021
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,10.9,29.0,15,11.0,9.0,9.0,10.0,31.0,32.3,21.0,15.0,1.0,14.0,10,39.0,9.0,1.0,Bundesliga,2020-2021
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,58.0,32,19.0,26.0,13.0,20.0,50.0,40.0,30.0,34.0,9.0,25.0,57,115.0,55.0,0.0,Bundesliga,2020-2021
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,26.3,44.0,31,13.0,24.0,7.0,14.0,51.0,27.5,37.0,40.0,8.0,32.0,24,68.0,24.0,0.0,Bundesliga,2020-2021
