Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season,Tackles %,keeper_GA,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl%,defense_Tkl,defense_Int,Team_Def_Score,Team_Def_Score_Norm,Tackles_Contribution,Tackles Won_Contribution,Interceptions_Contribution,Blocks_Contribution,Clearances_Contribution,Tackles (Def 3rd)_Contribution,Tackles (Mid 3rd)_Contribution,Tackles %_Contribution,Total_Player_Contribution,Role_Adjustment,Final_Contribution_Index
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,2.0,0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,3.0,1.0,0.0,Bundesliga,2020-2021,inf,53,1022,371,352,273,245,76,594,44.1,594,428,0.018867924528301886,0.22911051212938,0.003367003367003367,0.0,0.002336448598130841,0.0026954177897574125,0.0016835016835016834,0.0,0.004081632653061225,0.0,0.014164004091454529,0.65,0.002109329450277258
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,35.0,24,12.0,15.0,8.0,17.0,31.0,54.8,14.0,22.0,5.0,17.0,29,64.0,30.0,0.0,Bundesliga,2020-2021,145.83333333333331,32,813,336,305,167,229,64,504,41.3,460,353,0.03125,0.5357142857142856,0.07608695652173914,0.07868852459016394,0.0821529745042493,0.06547619047619048,0.05952380952380952,0.0718562874251497,0.06550218340611354,3.5310734463276834,4.030360372775099,0.8,1.7272973026178993
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,20.0,9,10.0,9.0,1.0,10.0,18.0,55.6,8.0,14.0,3.0,11.0,12,32.0,18.0,0.0,Bundesliga,2020-2021,222.22222222222223,57,949,368,333,270,217,55,798,41.0,542,407,0.017543859649122806,0.19632414369256468,0.03690036900369004,0.02702702702702703,0.029484029484029485,0.03804347826086957,0.022556390977443608,0.037037037037037035,0.041474654377880185,5.420054200542006,5.6525771867099825,1.0,1.1097373758369635
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,4.0,1,3.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1,5.0,1.0,0.0,Bundesliga,2020-2021,400.0,55,922,379,294,227,201,68,654,44.3,496,426,0.01818181818181818,0.21212121212121204,0.008064516129032258,0.003401360544217687,0.002347417840375587,0.005277044854881266,0.0015290519877675841,0.013215859030837005,0.004975124378109453,9.029345372460497,9.068155747225719,0.6,1.1541289132832728
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,16.0,10,11.0,5.0,0.0,7.0,16.0,43.8,9.0,14.0,10.0,4.0,21,37.0,61.0,1.0,Bundesliga,2020-2021,160.0,52,902,377,270,242,201,42,687,41.6,485,417,0.019230769230769232,0.23809523809523808,0.032989690721649485,0.037037037037037035,0.050359712230215826,0.03713527851458886,0.08879184861717612,0.045454545454545456,0.024875621890547265,3.846153846153846,4.162797580619606,1.0,0.9911422810999061
Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21.0,12.0,7,4.0,8.0,0.0,7.0,33.0,21.2,26.0,18.0,3.0,15.0,12,24.0,7.0,0.0,Bundesliga,2020-2021,171.42857142857142,39,822,368,282,209,238,53,481,42.8,500,322,0.02564102564102564,0.3968253968253967,0.024,0.024822695035460994,0.037267080745341616,0.04891304347826087,0.014553014553014554,0.019138755980861243,0.03361344537815126,4.005340453938585,4.207648489109675,0.6,1.0018210688356366
Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24.0,31.0,19,10.0,18.0,3.0,13.0,24.0,54.2,11.0,22.0,1.0,21.0,30,61.0,40.0,0.0,Bundesliga,2020-2021,163.1578947368421,32,813,336,305,167,229,64,504,41.3,460,353,0.03125,0.5357142857142856,0.06739130434782609,0.06229508196721312,0.08498583569405099,0.06547619047619048,0.07936507936507936,0.059880239520958084,0.07860262008733625,3.9505543519816495,4.448550703440304,0.65,1.5490489056622485
Tolu Arokodare,ng NGA,"FW,MF",Köln,19,2000,1.2,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,Bundesliga,2020-2021,100.0,60,1015,382,328,299,234,53,670,45.4,586,429,0.016666666666666666,0.17460317460317454,0.0017064846416382253,0.003048780487804878,0.002331002331002331,0.002617801047120419,0.0,0.0,0.0,2.2026431718061676,2.2123472403137336,0.44999999999999996,0.17382728316750756
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,30.0,15,15.0,14.0,1.0,15.0,28.0,53.6,13.0,23.0,2.0,21.0,13,43.0,14.0,0.0,Bundesliga,2020-2021,200.0,52,902,377,270,242,201,42,687,41.6,485,417,0.019230769230769232,0.23809523809523808,0.061855670103092786,0.05555555555555555,0.03117505995203837,0.0610079575596817,0.020378457059679767,0.06198347107438017,0.06965174129353234,4.8076923076923075,5.1693002202902685,0.6,0.7384714600414669
Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,5.0,3,2.0,3.0,0.0,1.0,14.0,7.1,13.0,9.0,0.0,9.0,3,8.0,4.0,0.0,Bundesliga,2020-2021,166.66666666666669,43,908,367,283,240,218,45,605,46.3,503,405,0.023255813953488372,0.3377630121816168,0.009940357852882704,0.01060070671378092,0.007407407407407408,0.02452316076294278,0.006611570247933884,0.008333333333333333,0.013761467889908258,3.5997120230381574,3.6808900272463467,0.3,0.3729805509335999
