Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Source_League,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation
be BEL,GK,Standard Liège,23,1998,25,25,"2,250",25.0,41,1.64,108,68,63.0,5.0,8.0,12.0,3,12.0,1,1,0,0,0.0,BelgianProLeague,4000000.0,Arnaud Bodart,1493,A. Bodart,23,72,77,186,80,Right,72,G,5,2800000,8000,94,15,22,15,35,7,116,19,15,11,42,29,276,52,50,58,68,48,200,53,61,20,55,11,110,15,25,6,54,10,45,15,12,18,357,72,70,70,71,74,2,Medium,Medium,1
be BEL,GK,Mechelen,22,1998,30,30,"2,671",29.7,52,1.75,150,100,66.7,15.0,6.0,9.0,5,16.7,3,2,1,0,33.3,BelgianProLeague,1200000.0,Gaëtan Coucke,1880,G. Coucke,22,68,75,187,83,Right,68,G,7,2100000,4000,69,8,6,13,34,8,92,13,12,11,38,18,220,40,37,46,63,34,205,50,62,31,58,4,95,24,10,5,41,15,40,15,11,14,334,69,67,66,64,68,3,Medium,Medium,1
be BEL,GK,Kortrijk,19,2001,1,1,90,1.0,3,3.0,9,6,66.7,0.0,0.0,1.0,0,0.0,0,0,0,0,,BelgianProLeague,50000.0,Maxim Deman,3331,M. Deman,19,59,72,194,82,Right,59,G,13,475000,750,48,10,4,10,16,8,72,13,12,10,22,15,135,24,15,22,46,28,155,43,36,18,52,6,85,20,12,6,32,15,28,7,11,10,295,63,58,57,56,61,3,Medium,Medium,1
fr FRA,GK,R.F.C. Seraing,20,2001,33,33,"2,961",32.9,63,1.91,166,111,66.9,8.0,4.0,21.0,5,15.2,10,8,1,1,11.1,BelgianProLeague,850000.0,Guillaume Dietsch,2395,G. Dietsch,20,65,76,184,73,Right,65,G,11,1400000,2000,65,10,8,11,30,6,71,8,13,10,22,18,168,20,17,29,60,42,169,46,57,18,41,7,81,28,7,6,30,10,35,9,14,12,322,68,63,61,61,69,2,Medium,Medium,1
be BEL,GK,Club Brugge,19,2002,1,1,90,1.0,2,2.0,5,3,60.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,BelgianProLeague,800000.0,Senne Lammens,2557,S. Lammens,18,64,79,193,72,Right,64,G,15,1200000,500,76,14,10,14,30,8,86,15,12,11,29,19,169,19,25,40,58,27,175,44,31,29,63,8,91,29,15,6,30,11,34,7,15,12,313,70,60,58,58,67,3,Medium,Medium,1
be BEL,GK,Beerschot,23,1998,4,3,271,3.0,6,1.99,20,14,70.0,0.0,0.0,3.0,0,0.0,0,0,0,0,,BelgianProLeague,200000.0,Antoine Lejoly,3198,A. Lejoly,23,60,67,188,76,Right,60,G,7,425000,1000,61,11,6,10,26,8,73,10,10,10,25,18,253,53,45,52,54,49,198,47,64,23,55,9,83,17,14,6,29,17,46,21,13,12,300,61,52,62,58,67,3,Medium,Medium,1
it ITA,GK,Sint-Truiden,20,2001,2,2,180,2.0,2,1.0,5,3,60.0,0.0,1.0,1.0,0,0.0,0,0,0,0,,BelgianProLeague,500000.0,Alessandro Russo,2751,A. Russo,20,63,77,193,74,Right,63,G,14,1000000,3000,56,14,5,11,20,6,76,10,13,12,25,16,170,29,33,32,55,21,168,42,38,17,63,8,80,26,14,5,24,11,36,9,14,13,307,67,61,56,60,63,1,Medium,Medium,1
be BEL,GK,Oostende,20,2001,1,1,90,1.0,1,1.0,2,1,50.0,1.0,0.0,0.0,0,0.0,0,0,0,0,,BelgianProLeague,100000.0,Jordy Schelfhout,3059,J. Schelfhout,20,61,72,183,79,Left,61,G,11,625000,1000,63,10,6,12,27,8,65,7,13,10,25,10,193,33,28,32,55,45,167,44,59,17,38,9,95,23,14,8,35,15,31,6,14,11,303,64,58,59,58,64,3,Medium,Medium,1
nl NED,GK,Oostende,21,2000,7,7,630,7.0,12,1.71,27,15,55.6,1.0,3.0,3.0,2,28.6,0,0,0,0,,BelgianProLeague,2200000.0,Kjell Scherpen,1867,K. Scherpen,21,68,79,202,85,Right,68,G,11,2300000,10000,64,11,9,10,26,8,79,12,12,13,25,17,224,37,46,37,62,42,206,50,42,37,69,8,86,25,7,8,34,12,35,14,11,10,338,69,65,66,68,70,5,Medium,Medium,1
be BEL,GK,Genk,19,2002,34,34,"3,060",34.0,47,1.38,133,90,67.7,15.0,6.0,13.0,9,26.5,4,4,0,0,0.0,BelgianProLeague,6000000.0,Maarten Vandevoordt,1632,M. Vandevoordt,19,70,84,190,79,Right,70,G,14,3300000,3000,51,11,3,8,25,4,102,22,10,8,35,27,241,40,39,46,68,48,206,49,60,32,60,5,85,14,11,5,40,15,33,11,10,12,344,73,70,65,63,73,3,Medium,Medium,1
br BRA,GK,Ath Paranaense,23,1998,5,5,450,5.0,10,2.0,30,20,66.7,1.0,2.0,2.0,2,40.0,0,0,0,0,,BrazilSerieA,200000.0,Anderson,2999,Anderson,22,62,71,176,70,Right,63,M,9,900000,1000,275,62,62,42,59,50,260,63,44,33,58,62,329,73,69,63,54,70,245,58,45,47,52,43,223,28,22,61,60,52,73,21,27,25,49,9,9,7,13,11,3,Medium,Medium,1
de GER,GK,Mainz 05,23,1998,2,2,180,2.0,3,1.5,5,2,60.0,1.0,1.0,0.0,0,0.0,1,1,0,0,0.0,Bundesliga,1500000.0,Finn Dahmen,550,F. Dahmen,23,70,78,188,83,Right,70,G,8,3100000,8000,79,14,8,12,40,5,117,25,13,12,37,30,264,47,43,52,66,56,212,52,75,31,48,6,87,20,13,9,34,11,42,19,12,11,348,73,65,69,67,74,3,Medium,Medium,1
de GER,GK,Bayern Munich,21,2000,1,0,10,0.1,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,Bundesliga,600000.0,Christian Früchtl,727,C. Früchtl,21,66,76,193,84,Left,66,G,10,1700000,8000,70,10,11,11,29,9,84,13,15,14,25,17,146,25,23,26,49,23,180,50,40,19,63,8,80,26,11,6,24,13,39,16,10,13,334,69,65,67,65,68,2,Medium,Medium,1
de GER,GK,Leverkusen,22,1999,1,1,90,1.0,2,2.0,6,5,66.7,1.0,0.0,0.0,0,0.0,0,0,0,0,,Bundesliga,1000000.0,Lennart Grill,686,L. Grill,22,67,73,192,84,Right,67,G,6,1300000,9000,62,8,5,14,29,6,86,15,10,8,27,26,212,38,43,40,62,29,198,46,56,31,60,5,90,20,8,6,45,11,35,10,14,11,327,70,61,61,63,72,3,Medium,Medium,1
ch SUI,GK,Dortmund,23,1997,29,29,"2,565",28.5,39,1.37,110,73,67.3,20.0,3.0,6.0,7,24.1,3,3,0,0,0.0,Bundesliga,22000000.0,Gregor Kobel,34,G. Kobel,23,82,87,195,88,Right,82,G,5,37000000,44000,85,13,10,13,39,10,116,24,13,12,33,34,211,34,36,37,80,24,237,56,60,30,81,10,119,24,14,10,59,12,45,15,15,15,402,83,80,74,79,86,3,Medium,Medium,1
pl POL,GK,Hertha BSC,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2.0,1.0,6.0,2,22.2,3,3,0,0,0.0,Bundesliga,1300000.0,Marcel Lotka,907,M. Lotka,20,63,75,190,85,Right,63,G,12,1000000,4000,62,12,11,11,20,8,63,9,12,7,23,12,149,24,21,26,49,29,170,41,38,29,54,8,72,22,10,7,23,10,27,8,10,9,313,65,62,54,67,65,3,Medium,Medium,1
de GER,GK,Stuttgart,23,1997,30,30,"2,700",30.0,52,1.73,139,88,65.5,7.0,10.0,13.0,4,13.3,4,4,0,0,0.0,Bundesliga,5500000.0,Florian Müller,196,F. Müller,23,76,80,190,88,Left,76,G,4,8500000,16000,76,12,11,11,32,10,94,18,13,12,27,24,244,43,43,42,75,41,226,55,58,34,67,12,116,25,19,11,42,19,43,20,11,12,375,75,73,73,74,80,4,Medium,Medium,1
de GER,GK,Eint Frankfurt,19,2001,1,1,90,1.0,1,1.0,4,3,75.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,Bundesliga,750000.0,Diant Ramaj,909,D. Ramaj,19,63,79,189,81,Right,63,G,16,1100000,2000,59,10,7,11,23,8,74,12,12,11,24,15,158,23,25,27,45,38,193,50,45,26,63,9,90,22,12,7,32,17,28,9,9,10,324,66,63,67,63,65,3,Medium,Medium,1
de GER,GK,Karlsruher,21,2000,2,2,180,2.0,4,2.0,9,5,55.6,0.0,1.0,1.0,0,0.0,0,0,0,0,,Bundesliga2,50000.0,Niklas Heeger,3389,N. Heeger,21,59,65,187,81,Right,59,G,6,300000,1000,65,12,6,12,28,7,74,7,11,13,26,17,143,22,21,25,44,31,203,43,62,27,64,7,74,20,10,5,29,10,35,11,11,13,296,60,56,57,61,62,2,Medium,Medium,1
se SWE,GK,Hamburger SV,22,1998,7,7,630,7.0,5,0.71,33,27,84.8,3.0,3.0,1.0,2,28.6,0,0,0,0,,Bundesliga2,500000.0,Marko Johansson,2103,M. Johansson,22,67,73,193,86,Right,67,G,6,1300000,3000,99,16,20,12,35,16,108,17,17,13,37,24,221,40,42,39,58,42,241,55,68,35,63,20,106,23,22,14,32,15,45,18,12,15,341,69,64,73,63,72,2,Medium,Medium,1
de GER,GK,St. Pauli,22,1999,1,1,90,1.0,3,3.0,8,6,75.0,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,Bundesliga2,250000.0,Dennis Smarsch,2650,D. Smarsch,22,64,73,195,97,Right,64,G,9,1100000,3000,57,12,9,12,18,6,65,11,12,8,20,14,173,31,32,36,47,27,193,50,33,27,74,9,89,29,11,7,27,15,33,10,12,11,327,68,62,66,65,66,4,Medium,Medium,1
eng ENG,GK,Hull City,22,1998,16,16,"1,440",16.0,17,1.06,83,66,83.1,8.0,3.0,5.0,7,43.8,3,3,0,0,0.0,Championship,400000.0,Nathan Baxter,1918,N. Baxter,22,68,75,188,76,Right,68,G,7,2100000,4000,78,14,11,13,30,10,102,14,12,14,31,31,195,37,46,28,53,31,202,49,58,31,52,12,97,25,12,7,42,11,37,12,13,12,343,68,69,65,72,69,2,Medium,Medium,1
de GER,GK,P'borough Utd,22,1998,9,9,810,9.0,18,2.0,46,29,63.0,0.0,2.0,7.0,1,11.1,1,1,0,0,0.0,Championship,250000.0,Steven Benda,2432,S. Benda,22,65,72,193,83,Right,65,G,7,1200000,5000,57,7,5,12,24,9,66,11,8,11,18,18,193,36,38,30,56,33,178,44,49,20,53,12,72,19,13,4,24,12,26,6,9,11,318,65,63,59,64,67,3,Medium,Medium,1
eng ENG,GK,Stoke City,21,2000,19,19,"1,710",19.0,25,1.32,63,38,60.3,8.0,6.0,5.0,6,31.6,1,0,1,0,100.0,Championship,2000000.0,Josef Bursik,1911,J. Bursik,20,68,79,187,75,Left,68,G,11,2300000,6000,117,28,20,11,38,20,207,21,60,53,42,31,248,40,40,40,65,63,233,50,69,35,59,20,142,30,19,4,36,53,46,20,12,14,333,67,66,66,65,69,2,Medium,Medium,1
eng ENG,GK,Hull City,19,2002,2,1,114,1.3,3,2.37,7,4,57.1,0.0,0.0,1.0,0,0.0,0,0,0,0,,Championship,200000.0,Harvey Cartwright,3608,H. Cartwright,19,56,69,192,82,Right,56,G,13,300000,700,60,10,5,10,26,9,74,13,12,11,20,18,173,20,33,34,48,38,162,40,44,19,50,9,70,21,10,4,22,13,26,6,10,10,277,56,58,53,52,58,3,Medium,Medium,1
eng ENG,GK,Swansea City,23,1998,20,20,"1,800",20.0,34,1.7,93,61,67.7,8.0,5.0,7.0,5,25.0,4,4,0,0,0.0,Championship,600000.0,Andy Fisher,2437,A. Fisher,23,65,73,183,73,Right,65,G,8,1400000,5000,80,12,5,13,43,7,121,20,15,11,40,35,212,36,31,41,61,43,178,50,47,34,42,5,106,25,16,6,48,11,49,25,10,14,326,65,63,67,64,67,3,Medium,Medium,1
eng ENG,GK,Blackpool,23,1998,26,26,"2,269",25.2,27,1.07,89,61,69.7,10.0,7.0,9.0,8,30.8,1,0,1,0,100.0,Championship,400000.0,Daniel Grimshaw,2428,D. Grimshaw,23,65,72,185,77,Right,65,G,7,1200000,2000,100,19,12,17,34,18,129,20,22,14,47,26,230,44,47,38,60,41,211,50,59,42,42,18,102,21,19,15,25,22,49,11,21,17,323,65,61,67,63,67,2,Medium,Medium,1
ee EST,GK,Reading,19,2002,5,5,450,5.0,8,1.6,25,19,68.0,2.0,1.0,2.0,1,20.0,0,0,0,0,,Championship,800000.0,Karl Jakob Hein,2603,K. Hein,19,64,80,193,77,Right,64,G,16,1300000,2000,66,10,8,17,25,6,68,10,13,12,21,12,200,33,38,36,62,31,180,42,34,40,57,7,86,18,12,6,32,18,40,9,16,15,310,61,63,56,64,66,3,Medium,Medium,1
