Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
ci CIV,"MF,FW",Union SG,20,2002,30,20,"1,905",21.2,11,8,19,11,0,0,1,1,0.52,0.38,0.9,0.52,0.9,,,,,,,,,,,,,10000000.0,Simon Adingra,1440,S. Adingra,20,72,81,175,65,Right,73,MF,9,5000000,30000,291,60,73,32,63,63,318,78,58,50,58,74,410,88,90,86,63,83,330,68,87,67,45,63,263,47,25,68,70,53,79,27,26,26,51,8,13,6,14,10,3,High,Medium,1,,18.0,,,,,,,,,,,11.0,,,,BelgianProLeague,25.0
be BEL,"MF,FW",Mechelen,17,2005,8,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Enock Agyei,3088,E. Agyei,17,61,76,172,68,Left,62,MF,15,750000,2000,246,59,53,31,55,48,266,64,54,39,48,61,365,81,83,78,43,80,262,56,52,55,53,46,224,44,18,56,55,51,75,22,28,25,51,9,7,13,7,15,2,Medium,Medium,1,,3.0,,,,,,,,,,,0.0,,,,BelgianProLeague,18.0
fr FRA,"DF,MF",Eupen,20,2002,10,5,362,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Teddy Alloh,2756,T. Alloh,20,63,77,176,64,Left,63,MF,14,1100000,2000,230,61,37,45,55,32,278,67,60,36,50,65,357,78,72,75,57,75,247,47,61,58,48,33,251,55,55,57,43,41,182,57,62,63,58,11,14,14,11,8,2,High,Medium,1,,3.0,,,,,,,,,,,6.0,,,,BelgianProLeague,55.0
co COL,MF,Standard Liège,23,1998,24,23,"1,967",21.9,2,5,7,2,0,0,5,0,0.09,0.23,0.32,0.09,0.32,,,,,,,,,,,,,4000000.0,Steven Alzate,1498,S. Alzate,23,71,78,180,75,Right,73,MF,7,3700000,31000,298,65,63,45,75,50,331,76,61,54,67,73,368,69,68,78,72,81,317,60,57,73,68,59,323,64,67,65,72,55,189,62,66,61,34,9,6,6,7,6,3,Medium,Medium,1,,37.0,,,,,,,,,,,20.0,,,,BelgianProLeague,67.0
be BEL,"FW,MF",Anderlecht,22,1999,33,27,"2,299",25.5,3,6,9,3,0,0,4,0,0.12,0.23,0.35,0.12,0.35,,,,,,,,,,,,,5000000.0,Francis Amuzu,1434,F. Amuzu,22,72,78,170,65,Right,73,MF,6,3800000,14000,286,63,62,32,68,61,333,72,63,62,66,70,428,91,90,93,68,86,346,68,90,73,53,62,267,51,28,68,62,58,120,33,41,46,57,10,13,10,12,12,5,High,Medium,1,,15.0,,,,,,,,,,,11.0,,,,BelgianProLeague,28.0
ec ECU,"FW,MF",Anderlecht,19,2003,6,0,29,0.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1500000.0,Nilson Angulo,2341,N. Angulo,19,65,78,184,65,Right,67,MF,13,1700000,3000,272,55,64,46,65,42,276,70,45,34,59,68,346,78,82,70,58,58,281,55,68,56,48,54,268,46,38,63,61,60,97,28,32,37,63,11,14,12,15,11,3,Medium,Medium,1,,1.0,,,,,,,,,,,0.0,,,,BelgianProLeague,38.0
at AUT,MF,Oostende,23,1999,10,6,484,5.4,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56,,,,,,,,,,,,,450000.0,Kelvin Arase,1833,K. Arase,23,68,74,172,62,Right,69,MF,6,1900000,6000,283,62,63,42,60,56,291,71,55,42,53,70,418,92,91,89,60,86,293,58,84,66,31,54,260,53,34,62,59,52,86,31,24,31,51,12,11,11,8,9,4,Medium,Medium,1,,12.0,,,,,,,,,,,4.0,,,,BelgianProLeague,34.0
no NOR,MF,Anderlecht,18,2003,27,12,"1,263",14.0,1,2,3,1,0,0,5,1,0.07,0.14,0.21,0.07,0.21,,,,,,,,,,,,,2500000.0,Kristian Arnstad,2160,K. Arnstad,18,66,80,171,69,Right,68,MF,14,2000000,2000,262,58,53,32,68,51,326,67,62,63,63,71,371,75,66,80,64,86,316,60,68,67,58,63,308,76,66,53,67,46,188,61,65,62,55,11,12,13,8,11,3,Medium,Medium,1,,19.0,,,,,,,,,,,17.0,,,,BelgianProLeague,66.0
de GER,"DF,MF",Kortrijk,20,2002,10,6,539,6.0,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,350000.0,Christalino Atemona,3362,C. Atemona,20,59,73,184,72,Right,61,MF,14,500000,2000,193,35,28,55,51,24,208,51,44,21,43,49,322,72,69,66,52,63,284,50,77,55,69,33,229,66,57,33,42,31,173,56,60,57,59,13,9,13,10,14,3,Medium,Medium,1,,7.0,,,,,,,,,,,8.0,,,,BelgianProLeague,57.0
be BEL,MF,Club Brugge,18,2003,6,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,550000.0,Lynnt Audoor,2747,L. Audoor,18,63,80,182,69,Right,67,MF,17,1200000,2000,286,56,56,58,68,48,311,75,58,45,64,69,331,68,67,68,54,74,271,54,58,62,56,41,292,57,58,58,66,53,165,59,56,50,43,8,8,8,12,7,4,Medium,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,58.0
