MarketValue,Growth,league_score,Season,country_score,Source_League,Nation,Best position,Matches Played,International reputation,Sprint speed,Age,Best overall,Name,foot,team_score
350000,6,3,2021,4,BelgianProLeague,de GER,G,6,1,26,22,66,E. Bansen,Right,2
5800000,6,3,2021,4,BelgianProLeague,be BEL,G,33,1,17,22,73,A. Bodart,Right,5
870000,7,3,2021,4,BelgianProLeague,be BEL,G,16,1,37,21,67,G. Coucke,Right,3
990000,5,3,2021,4,BelgianProLeague,be BEL,G,7,1,37,23,69,O. De Wolf,Left,3
170000,8,3,2021,4,BelgianProLeague,be BEL,G,2,1,33,21,63,B. Gabriël,Right,3
1400000,6,3,2021,3,BelgianProLeague,dk DEN,G,5,1,44,23,69,D. Iversen,Right,3
930000,6,3,2021,4,BelgianProLeague,be BEL,G,28,1,46,22,68,N. Jackers,Right,3
700000,4,3,2021,3,BelgianProLeague,sk SVK,G,12,1,44,23,68,A. Jakubech,Right,3
2800000,5,3,2021,4,BelgianProLeague,bf BFA,G,34,1,53,23,73,H. Koffi,Right,4
4700000,16,3,2021,4,BelgianProLeague,be BEL,G,10,1,15,18,70,M. Vandevoordt,Right,4
290000,5,3,2021,3,BelgianProLeague,br BRA,G,3,1,25,23,65,Warleson,Right,2
290000,16,4,2021,4,Bundesliga,de GER,G,1,1,22,18,56,E. Bördner,Right,2
2300000,10,4,2021,4,Bundesliga,de GER,G,3,1,40,22,67,F. Dahmen,Right,4
1700000,9,4,2021,4,Bundesliga,de GER,G,4,1,43,21,68,L. Grill,Right,4
15000000,5,4,2021,5,Bundesliga,ch SUI,G,33,1,26,22,77,G. Kobel,Right,5
9300000,4,4,2021,4,Bundesliga,de GER,G,31,1,43,22,77,F. Müller,Left,5
7000000,5,4,2021,4,Bundesliga,de GER,G,1,1,46,23,75,A. Nübel,Right,5
1400000,5,1,2021,4,Bundesliga2,de GER,G,33,1,25,23,71,F. Kastenmeier,Right,3
120000,12,1,2021,4,Bundesliga2,de GER,G,1,1,31,19,55,P. Löhr,Right,1
290000,7,1,2021,4,Bundesliga2,de GER,G,1,1,26,22,65,M. Nicolas,Right,2
290000,10,1,2021,4,Bundesliga2,de GER,G,1,1,32,21,62,D. Smarsch,Right,2
120000,7,1,2021,4,Bundesliga2,de GER,G,1,1,44,22,58,M. Sündermann,Right,1
290000,10,4,2021,4,Championship,de GER,G,1,1,38,21,64,S. Benda,Right,5
2300000,12,4,2021,5,Championship,eng ENG,G,15,1,40,20,63,J. Bursik,Left,4
