Squad,Season,standard_Gls,shooting_Sh,shooting_SoT,shooting_xG,shooting_G-xG,Team_Att_Score,passing_xAG,passing_Ast,passing_KP,passing_PPA,passing_PrgP,Team_Mid_Score,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl,defense_Int,Team_Def_Score
Ajaccio,2022-2023,23.037974683544302,27.131782945736433,20.0,32.50398724082934,24.9740932642487,24.493378833730382,29.050505050505055,20.0,28.627450980392155,31.753554502369663,36.365946632782716,29.366368093470918,72.17391304347825,47.5268817204301,66.3519313304721,65.62962962962962,48.48780487804878,54.63917525773195,53.788819875776404,60.293398533007334,65.15759312320918,27.722007722007724
Alavés,2020-2021,36.20253164556962,31.472868217054263,26.120218579234972,40.79744816586921,38.445595854922274,35.899384027643634,36.484848484848484,31.428571428571427,32.94117647058823,31.943127962085303,24.62515883100381,29.42033663597982,53.947826086956525,42.36559139784946,35.45064377682402,48.44444444444444,27.024390243902445,34.020618556701024,65.71428571428572,33.30073349633251,66.7621776504298,35.70593149540519
Alavés,2021-2022,30.12658227848101,36.74418604651162,33.114754098360656,34.03508771929823,36.99481865284973,29.075182967398533,33.41414141414141,30.158730158730158,33.725490196078425,33.838862559241704,26.96315120711563,29.954206644808245,53.947826086956525,51.54121863799283,46.437768240343345,50.81481481481481,42.63414634146342,36.49484536082474,81.11801242236024,43.2762836185819,55.07163323782235,31.42857142857129
Alavés,2023-2024,34.177215189873415,49.922480620155035,44.04371584699453,45.390749601275914,26.839378238341965,37.26439593930418,44.56565656565657,40.317460317460316,49.607843137254896,47.867298578199055,40.991105463786525,45.05744129232279,44.347826086956516,48.67383512544802,54.33476394849785,54.66666666666666,44.97560975609757,43.91752577319588,71.18012422360249,48.75305623471883,32.836676217765046,44.01656314699793
Almería,2022-2023,50.379746835443036,46.97674418604651,52.349726775956285,44.497607655502385,61.45077720207253,45.40209902775095,44.727272727272734,46.66666666666667,44.705882352941174,37.440758293838854,32.35069885641677,38.53056847099377,47.408695652173904,69.3189964157706,45.75107296137338,57.03703703703704,35.21951219512195,40.618556701030926,76.77018633540374,44.645476772616135,42.693409742120345,31.42857142857129
Almería,2023-2024,43.291139240506325,53.02325581395349,55.84699453551913,48.580542264752786,40.31088082901554,43.80443414246775,47.474747474747474,36.507936507936506,51.1764705882353,36.30331753554502,32.70648030495553,40.843445339401285,56.73043478260868,67.8853046594982,62.91845493562231,75.4074074074074,43.024390243902445,35.670103092783506,76.89440993788821,59.51100244498777,40.63037249283668,27.365079365079325
Angers,2020-2021,41.265822784810126,41.08527131782945,43.60655737704918,39.52153110047846,50.88082901554404,37.91256197282854,34.868686868686865,33.96825396825397,40.3921568627451,38.00947867298578,49.88564167725539,39.60836573042383,73.84347826086957,39.21146953405018,64.29184549356222,60.0,56.29268292682927,44.74226804123711,51.80124223602484,58.141809290953546,70.4297994269341,35.10673234811163
Angers,2021-2022,42.278481012658226,38.44961240310077,38.36065573770492,45.773524720893136,42.79792746113989,41.77408623612989,38.101010101010104,36.507936507936506,37.05882352941176,31.374407582938385,45.51461245235069,36.56330295822602,70.08695652173913,54.6953405017921,62.23175965665236,59.703703703703695,55.1219512195122,42.268041237113394,48.944099378881994,56.77261613691931,65.84527220630372,36.969696969696834
Angers,2022-2023,32.151898734177216,35.81395348837209,37.486338797814206,38.628389154704934,33.67875647668393,32.59330800764063,37.45454545454545,27.619047619047617,36.86274509803921,36.6824644549763,47.75095298602287,38.4006455571769,68.0,59.85663082437276,67.72532188841203,62.66666666666666,60.97560975609757,48.865979381443296,45.714285714285715,63.227383863080675,54.84240687679084,25.408583186360836
Arminia,2020-2021,24.050632911392405,30.23255813953488,28.306010928961747,28.421052631578938,33.67875647668393,22.861374026141263,30.828282828282827,25.07936507936508,27.647058823529406,28.72037914691943,21.677255400254126,24.726447808037083,60.0695652173913,57.27598566308244,47.81115879828326,49.925925925925924,45.75609756097562,34.020618556701024,62.360248447204974,43.66748166259168,64.69914040114614,39.04761904761901
Arminia,2021-2022,27.088607594936708,34.883720930232556,32.240437158469945,20.0,53.57512953367875,20.0,20.0,27.619047619047617,31.17647058823529,33.08056872037915,22.033036848792882,24.018334494459523,60.0695652173913,57.84946236559139,41.974248927038616,50.51851851851852,48.09756097560975,24.948453608247423,66.2111801242236,43.080684596577015,65.3868194842407,38.32884097035026
Arsenal,2020-2021,54.43037974683544,49.14728682170543,45.79234972677595,52.408293460925044,56.891191709844556,51.76013564269311,48.92929292929293,53.01587301587301,47.843137254901954,57.72511848341232,66.40406607369758,55.43958775800748,37.39130434782608,50.10752688172043,21.71673819742489,31.55555555555555,28.19512195121952,43.09278350515464,50.43478260869565,24.889975550122244,49.34097421203439,51.746031746031676
Arsenal,2021-2022,61.51898734177215,68.9922480620155,65.90163934426229,63.63636363636363,53.16062176165803,61.496362114480704,57.17171717171718,56.82539682539682,68.43137254901961,58.48341232227487,61.06734434561626,62.08844285769668,41.42608695652173,55.26881720430107,41.974248927038616,47.85185185185185,32.48780487804878,57.9381443298969,52.298136645962735,41.320293398532996,36.733524355300865,42.22222222222218
Arsenal,2022-2023,85.82278481012658,70.23255813953489,69.39890710382514,77.79904306220095,79.89637305699482,81.94321035348656,78.66666666666667,86.03174603174602,69.60784313725489,83.12796208530806,81.09275730622618,80.55037671213107,37.11304347826086,48.38709677419354,52.96137339055794,41.03703703703704,39.1219512195122,85.97938144329896,44.96894409937888,46.79706601466992,23.20916905444126,47.02104097452922
Arsenal,2023-2024,87.84810126582279,79.2248062015504,75.95628415300546,83.54066985645932,74.71502590673575,86.07172751271649,81.57575757575758,83.49206349206348,83.33333333333334,100.0,83.98983481575603,90.53060891660519,50.60869565217391,62.72401433691756,54.678111587982826,46.66666666666666,52.390243902439025,76.90721649484536,34.53416149068323,55.012224938875306,35.81661891117479,69.26108374384226
Aston Villa,2020-2021,53.41772151898734,58.604651162790695,62.40437158469945,53.42902711323763,53.16062176165803,51.764428132981344,52.64646464646465,53.01587301587301,61.764705882352935,57.34597156398104,49.12325285895807,55.433770260137464,52.69565217391303,70.17921146953404,32.01716738197425,48.14814814814814,35.21951219512195,43.09278350515464,67.82608695652175,39.36430317848411,57.59312320916906,44.01656314699794
Aston Villa,2021-2022,51.392405063291136,50.387596899224796,54.09836065573771,42.58373205741626,66.6321243523316,44.92305711158328,48.44444444444444,58.09523809523809,52.54901960784313,51.65876777251185,43.024142312579414,48.523978008386244,60.48695652173913,74.48028673835124,66.3519313304721,59.407407407407405,57.463414634146346,50.515463917525764,56.64596273291925,59.706601466992666,46.59025787965617,37.636684303350954
Aston Villa,2022-2023,50.379746835443036,45.11627906976744,47.97814207650273,50.62200956937799,51.50259067357512,48.65752366235271,54.90909090909091,49.2063492063492,45.09803921568627,46.91943127962085,40.07623888182973,46.14607990105384,58.121739130434776,70.17921146953404,51.244635193133036,60.888888888888886,54.34146341463415,51.34020618556701,59.25465838509317,59.31540342298288,43.15186246418339,44.01656314699793
Aston Villa,2023-2024,73.67088607594937,58.139534883720934,64.15300546448087,67.20893141945774,72.22797927461139,69.85469920374305,70.74747474747475,74.6031746031746,60.784313725490186,64.92890995260663,50.69885641677256,62.63831657962497,34.052173913043475,56.12903225806451,41.974248927038616,50.222222222222214,38.34146341463415,44.74226804123711,44.72049689440994,42.68948655256723,22.979942693409747,33.42701014832161
Atalanta,2020-2021,91.89873417721519,74.10852713178295,81.20218579234972,81.75438596491227,85.90673575129533,87.27534178953921,81.8989898989899,87.30158730158729,78.23529411764704,89.00473933649289,82.51588310038119,85.8030858111587,81.21739130434781,65.30465949820788,52.96137339055794,45.185185185185176,56.29268292682927,69.48453608247422,30.683229813664596,54.22982885085574,87.16332378223495,43.10030395136771
Atalanta,2021-2022,63.54430379746836,71.62790697674419,57.59562841530054,66.06060606060606,53.367875647668384,63.86152426330134,70.58585858585859,65.71428571428571,76.66666666666666,76.6824644549763,71.38500635324014,75.84171162609975,74.12173913043478,69.60573476702508,52.274678111587974,45.185185185185176,62.14634146341464,76.90721649484536,30.559006211180126,58.9242053789731,69.97134670487105,42.22222222222218
Atalanta,2022-2023,65.56962025316456,57.36434108527131,58.0327868852459,60.06379585326953,67.25388601036269,61.75047753954455,61.21212121212122,58.09523809523809,62.15686274509803,69.0995260663507,60.15247776365946,64.13559224543856,72.17391304347825,75.05376344086021,60.17167381974248,56.74074074074073,62.53658536585367,48.865979381443296,46.70807453416149,60.097799511002435,65.3868194842407,42.22222222222218
Atalanta,2023-2024,73.67088607594937,62.48062015503876,70.7103825136612,60.19138755980861,83.62694300518133,66.12452514326185,63.151515151515156,77.14285714285714,68.43137254901961,68.34123222748815,66.09911054637865,67.80987554166101,57.704347826086945,83.08243727598567,61.88841201716738,51.407407407407405,53.5609756097561,63.711340206185554,46.83229813664597,55.599022004889974,46.81948424068768,48.11791383219955
Athletic Club,2020-2021,44.30379746835443,40.77519379844961,40.54644808743169,41.43540669856459,53.989637305699475,40.544717017577746,42.787878787878796,44.12698412698413,42.15686274509804,49.95260663507109,52.986022871664545,46.387492214365224,37.25217391304348,42.36559139784946,27.553648068669517,28.0,34.4390243902439,44.74226804123711,55.527950310559014,26.06356968215158,47.73638968481375,48.117913832199555
Athletic Club,2021-2022,41.265822784810126,50.23255813953488,50.1639344262295,49.72886762360447,34.30051813471502,43.338269697164804,52.8080808080808,47.93650793650794,51.568627450980394,54.12322274881517,56.84879288437102,53.91723850880558,42.95652173913042,62.43727598566308,35.45064377682402,34.81481481481481,40.6829268292683,50.515463917525764,68.4472049689441,35.06112469437652,46.59025787965617,55.97883597883584
Athletic Club,2022-2023,47.34177215189874,62.7906976744186,53.22404371584699,55.59808612440191,37.2020725388601,49.68772133153048,55.07070707070707,46.66666666666667,63.72549019607843,60.758293838862556,69.25031766200762,63.08937012020908,52.83478260869565,63.584229390681,61.88841201716738,49.62962962962962,55.51219512195122,60.41237113402062,44.84472049689442,54.62102689486552,39.94269340974213,47.02104097452922
Athletic Club,2023-2024,60.50632911392405,49.922480620155035,55.84699453551913,53.68421052631579,67.25388601036269,55.66801880110746,52.0,56.82539682539682,52.35294117647059,61.137440758293835,58.78017789072426,56.363198748916886,44.62608695652173,64.73118279569891,59.48497854077253,34.81481481481481,59.41463414634147,71.13402061855669,48.944099378881994,49.339853300733495,32.607449856733524,54.49163449163446
Atlético Madrid,2020-2021,66.58227848101266,48.9922480620155,62.40437158469945,53.81180223285485,79.48186528497408,58.965509840533976,57.81818181818183,73.33333333333333,50.784313725490186,66.25592417061611,58.47522236340534,58.847882283519596,65.35652173913044,48.10035842293907,61.20171673819742,56.74074074074073,55.1219512195122,52.98969072164948,53.91304347826087,57.35941320293398,57.363896848137536,80.19047619047619
Atlético Madrid,2021-2022,64.55696202531647,49.922480620155035,51.03825136612022,55.85326953748005,72.02072538860102,58.97409482111046,57.17171717171718,61.9047619047619,50.784313725490186,57.72511848341232,51.30876747141042,54.367178717975136,64.38260869565218,51.25448028673834,53.99141630901288,56.44444444444444,65.26829268292683,43.91752577319588,51.18012422360248,60.097799511002435,52.55014326647565,47.02104097452922
Atlético Madrid,2022-2023,69.62025316455696,62.32558139534883,69.83606557377048,65.42264752791067,66.83937823834196,66.75208722340267,69.77777777777779,69.52380952380952,64.70588235294116,59.62085308056872,56.79796696315121,63.664455886883346,60.2086956521739,58.13620071684588,75.27896995708153,68.88888888888889,52.0,62.88659793814432,58.01242236024844,66.16136919315404,38.56733524355301,60.98124098124099
Atlético Madrid,2023-2024,69.62025316455696,52.558139534883715,70.7103825136612,66.06060606060606,65.80310880829015,67.09119395617367,68.80808080808082,65.71428571428571,53.13725490196078,68.15165876777252,58.11944091486657,62.92806499284545,51.721739130434784,76.4874551971326,72.18884120171674,61.77777777777777,59.024390243902445,57.113402061855666,69.06832298136646,63.61858190709046,27.564469914040117,47.02104097452922
Augsburg,2020-2021,36.20253164556962,30.387596899224803,31.803278688524586,34.03508771929823,49.43005181347149,32.30485266027085,34.06060606060606,33.96825396825397,30.784313725490193,30.61611374407583,27.11562897077509,28.483373186217435,59.09565217391304,57.84946236559139,40.94420600858369,44.888888888888886,38.73170731707317,27.422680412371133,76.3975155279503,35.256723716381416,72.9512893982808,37.636684303350954
Augsburg,2021-2022,40.25316455696203,35.03875968992248,35.73770491803278,33.269537480063796,58.96373056994818,34.05103770952718,30.828282828282827,37.77777777777777,34.509803921568626,37.440758293838854,22.439644218551457,29.207641517056494,53.669565217391295,58.42293906810035,50.21459227467811,45.77777777777777,48.48780487804878,47.21649484536083,66.08695652173913,45.42787286063569,52.09169054441261,36.32653061224481
Augsburg,2022-2023,42.278481012658226,33.7984496124031,28.7431693989071,30.717703349282296,67.25388601036269,33.77116734273389,31.474747474747478,41.58730158730158,29.803921568627445,32.32227488151659,20.0,26.022640784530605,37.530434782608694,67.31182795698925,37.854077253218875,44.888888888888886,35.21951219512195,45.567010309278345,64.34782608695653,37.79951100244499,34.44126074498568,32.39606953892656
Augsburg,2023-2024,50.379746835443036,45.42635658914728,38.36065573770492,45.263157894736835,60.207253886010356,45.80902710707616,36.96969696969697,49.2063492063492,41.37254901960784,49.95260663507109,34.73951715374841,39.575030121684776,39.61739130434782,70.46594982078852,44.72103004291844,39.85185185185185,43.024390243902445,48.04123711340206,60.869565217391305,38.973105134474324,36.50429799426934,33.96825396825386
Auxerre,2022-2023,33.164556962025316,44.031007751937985,35.73770491803278,41.052631578947356,31.81347150259067,34.420191874315876,36.32323232323233,26.349206349206348,41.764705882352935,42.18009478672985,42.210927573062264,39.42276226319291,82.05217391304348,71.03942652329748,64.97854077253217,70.37037037037037,59.024390243902445,49.69072164948453,67.70186335403727,67.53056234718825,72.9512893982808,32.39606953892656
