Club,Player,Market Value (€)
Ajax Amsterdam,André Onana,30000000.0
Ajax Amsterdam,Kjell Scherpen,2800000.0
Ajax Amsterdam,Dominik Kotarski,800000.0
Ajax Amsterdam,Maarten Stekelenburg,550000.0
Ajax Amsterdam,Calvin Raatsie,200000.0
Ajax Amsterdam,Daan Reiziger,150000.0
Ajax Amsterdam,Lisandro Martínez,23000000.0
Ajax Amsterdam,Daley Blind,15000000.0
Ajax Amsterdam,Perr Schuurs,8000000.0
Ajax Amsterdam,Nicolás Tagliafico,22000000.0
Ajax Amsterdam,Sergiño Dest,30000000.0
Ajax Amsterdam,Noussair Mazraoui,17000000.0
Ajax Amsterdam,Jurrien Timber,11000000.0
Ajax Amsterdam,Devyne Rensch,8000000.0
Ajax Amsterdam,Sean Klaiber,4500000.0
Ajax Amsterdam,Neraysho Kasanwirjo,350000.0
Ajax Amsterdam,Ryan Gravenberch,33000000.0
Ajax Amsterdam,Edson Álvarez,14000000.0
Ajax Amsterdam,Enric Llansana,400000.0
Ajax Amsterdam,Davy Klaassen,17000000.0
Ajax Amsterdam,Carel Eiting,4000000.0
Ajax Amsterdam,Jurgen Ekkelenkamp,3200000.0
Ajax Amsterdam,Kenneth Taylor,3000000.0
Ajax Amsterdam,Quinten Timber,1600000.0
Ajax Amsterdam,Youri Regeer,1200000.0
Ajax Amsterdam,Kian Fitz-Jim,250000.0
Ajax Amsterdam,Zakaria Labyad,4000000.0
Ajax Amsterdam,Victor Jensen,1000000.0
Ajax Amsterdam,Max de Waal,300000.0
Ajax Amsterdam,Noa Lang,22000000.0
Ajax Amsterdam,Quincy Promes,15000000.0
Ajax Amsterdam,Oussama Idrissi,8000000.0
Ajax Amsterdam,David Neres,27000000.0
Ajax Amsterdam,Antony,25000000.0
Ajax Amsterdam,Dusan Tadic,18000000.0
Ajax Amsterdam,Mohammed Kudus,15000000.0
Ajax Amsterdam,Sébastien Haller,27000000.0
Ajax Amsterdam,Brian Brobbey,7500000.0
Ajax Amsterdam,Lassina Traoré,6500000.0
Ajax Amsterdam,Klaas-Jan Huntelaar,800000.0
PSV Eindhoven,Yvon Mvogo,4500000.0
PSV Eindhoven,Lars Unnerstall,1500000.0
PSV Eindhoven,Vincent Müller,300000.0
PSV Eindhoven,Maxime Delanghe,300000.0
PSV Eindhoven,Olivier Boscagli,7000000.0
PSV Eindhoven,Timo Baumgartl,3000000.0
