Club,Player,Market Value (€)
Club Brugge KV,Simon Mignolet,3500000.0
Club Brugge KV,Senne Lammens,800000.0
Club Brugge KV,Nick Shinton,250000.0
Club Brugge KV,Kiany Vroman,0.0
Club Brugge KV,Odilon Kossounou,20000000.0
Club Brugge KV,Stanley Nsoki,7000000.0
Club Brugge KV,Brandon Mechele,6000000.0
Club Brugge KV,Jack Hendry,5000000.0
Club Brugge KV,Federico Ricca,2000000.0
Club Brugge KV,Matej Mitrovic,1000000.0
Club Brugge KV,Abakar Sylla,0.0
Club Brugge KV,Eduard Sobol,3200000.0
Club Brugge KV,Faitout Maouassa,3000000.0
Club Brugge KV,Maxim De Cuyper,900000.0
Club Brugge KV,Clinton Mata,8000000.0
Club Brugge KV,Ignace Van der Brempt,3000000.0
Club Brugge KV,Tibo Persyn,700000.0
Club Brugge KV,Denis Odoi,700000.0
Club Brugge KV,Mats Rits,6000000.0
Club Brugge KV,Éder Balanta,5000000.0
Club Brugge KV,Owen Otasowie,600000.0
Club Brugge KV,Lynnt Audoor,400000.0
Club Brugge KV,Lukas Mondele,50000.0
Club Brugge KV,Noah Mbamba,4000000.0
Club Brugge KV,Ruud Vormer,1800000.0
Club Brugge KV,Tajon Buchanan,9500000.0
Club Brugge KV,Charles De Ketelaere,30000000.0
Club Brugge KV,Hans Vanaken,16000000.0
Club Brugge KV,Cisse Sandra,1500000.0
Club Brugge KV,Noa Lang,22000000.0
Club Brugge KV,Antonio Nusa,2500000.0
Club Brugge KV,José Izquierdo,1500000.0
Club Brugge KV,Andreas Skov Olsen,12000000.0
Club Brugge KV,Kamal Sowah,3500000.0
Club Brugge KV,Wesley Moraes,6000000.0
Club Brugge KV,David Okereke,4500000.0
Club Brugge KV,Sargis Adamyan,3500000.0
Club Brugge KV,Bas Dost,2500000.0
Club Brugge KV,Youssouph Badji,2000000.0
Club Brugge KV,Daniel Pérez,600000.0
KRC Genk,Maarten Vandevoordt,6000000.0
KRC Genk,Tobe Leysen,350000.0
KRC Genk,Vic Chambaere,100000.0
KRC Genk,Mike Penders,0.0
KRC Genk,Jhon Lucumí,9000000.0
KRC Genk,Carlos Cuesta,7000000.0
KRC Genk,Mark McKenzie,3500000.0
KRC Genk,Mujaid Sadick,3000000.0
KRC Genk,Gerardo Arteaga,4000000.0
KRC Genk,Jere Uronen,2000000.0
KRC Genk,Simen Juklerød,1500000.0
KRC Genk,Tuur Rommens,0.0
KRC Genk,Daniel Muñoz,6000000.0
KRC Genk,Aziz Ouattara,2000000.0
KRC Genk,Bryan Heynen,6500000.0
KRC Genk,Patrik Hrosovsky,4000000.0
KRC Genk,Carel Eiting,2800000.0
KRC Genk,Bastien Toma,1800000.0
KRC Genk,Jay-Dee Geusens,250000.0
KRC Genk,Angelo Preciado,2500000.0
KRC Genk,Kristian Thorstvedt,5000000.0
KRC Genk,Bilal El Khannouss,100000.0
KRC Genk,Luca Oyen,4000000.0
KRC Genk,Mike Trésor,3000000.0
KRC Genk,Junya Ito,7500000.0
KRC Genk,Théo Bongonda,7000000.0
KRC Genk,Joseph Paintsil,2500000.0
KRC Genk,Kelvin John,200000.0
KRC Genk,Paul Onuachu,17000000.0
KRC Genk,Cyriel Dessers,6000000.0
KRC Genk,Iké Ugbo,5000000.0
KRC Genk,András Németh,500000.0
RSC Anderlecht,Hendrik Van Crombrugge,5500000.0
RSC Anderlecht,Bart Verbruggen,750000.0
RSC Anderlecht,Colin Coosemans,300000.0
RSC Anderlecht,Rik Vercauteren,100000.0
RSC Anderlecht,Taylor Harwood-Bellis,7000000.0
RSC Anderlecht,Wesley Hoedt,5000000.0
RSC Anderlecht,Hannes Delcroix,3500000.0
RSC Anderlecht,Lisandro Magallán,2500000.0
RSC Anderlecht,Zeno Debast,2000000.0
RSC Anderlecht,Lucas Lissens,600000.0
RSC Anderlecht,Bogdan Mykhaylichenko,1500000.0
RSC Anderlecht,Amir Murillo,3500000.0
RSC Anderlecht,Killian Sardella,1600000.0
RSC Anderlecht,Josh Cullen,5000000.0
RSC Anderlecht,Marco Kana,4000000.0
RSC Anderlecht,Majeed Ashimeru,3500000.0
RSC Anderlecht,Kristoffer Olsson,3000000.0
RSC Anderlecht,Kristian Arnstad,1000000.0
RSC Anderlecht,Noah Sadiki,0.0
RSC Anderlecht,Yari Verschaeren,13000000.0
RSC Anderlecht,Anouar Ait El Hadj,4000000.0
RSC Anderlecht,Mario Stroeykens,1000000.0
RSC Anderlecht,Lior Refaelov,800000.0
RSC Anderlecht,Francis Amuzu,5500000.0
RSC Anderlecht,Mo Dauda,1200000.0
RSC Anderlecht,Zakaria Bakkali,250000.0
RSC Anderlecht,Julien Duranville,0.0
RSC Anderlecht,Sergio Gómez,10000000.0
RSC Anderlecht,Mustapha Bundu,1000000.0
RSC Anderlecht,Joshua Zirkzee,11000000.0
RSC Anderlecht,Christian Kouamé,9000000.0
RSC Anderlecht,Benito Raman,3000000.0
RSC Anderlecht,Isaac Kiese Thelin,2500000.0
RSC Anderlecht,Antoine Colassin,450000.0
Royal Antwerp FC,Jean Butez,4000000.0
Royal Antwerp FC,Ortwin De Wolf,550000.0
Royal Antwerp FC,Davor Matijas,150000.0
Royal Antwerp FC,Björn Engels,3000000.0
Royal Antwerp FC,Abdoulaye Seck,3000000.0
Royal Antwerp FC,Dorian Dessoleil,2500000.0
Royal Antwerp FC,Willian Pacho,2200000.0
Royal Antwerp FC,Dinis Almeida,1000000.0
Royal Antwerp FC,Moustafa Ava Dongo,150000.0
Royal Antwerp FC,Zeno Van Den Bosch,0.0
Royal Antwerp FC,Sam Vines,1800000.0
Royal Antwerp FC,Yassine Ben Hamed,150000.0
Royal Antwerp FC,Laurit Krasniqi,0.0
Royal Antwerp FC,Aurélio Buta,3000000.0
Royal Antwerp FC,Jelle Bataille,2000000.0
Royal Antwerp FC,Ritchie De Laet,1000000.0
Royal Antwerp FC,Robbe Quirynen,300000.0
Royal Antwerp FC,Birger Verstraete,2800000.0
Royal Antwerp FC,Frank Boya,650000.0
Royal Antwerp FC,Louis Verstraete,400000.0
Royal Antwerp FC,Alhassan Yusuf,2200000.0
Royal Antwerp FC,Radja Nainggolan,2000000.0
Royal Antwerp FC,Pierre Dwomoh,2000000.0
Royal Antwerp FC,Alexis De Sart,1000000.0
Royal Antwerp FC,Sander Coopman,350000.0
Royal Antwerp FC,Faris Haroun,100000.0
Royal Antwerp FC,Koji Miyoshi,2500000.0
Royal Antwerp FC,Pieter Gerkens,2000000.0
Royal Antwerp FC,Michel-Ange Balikwisha,4000000.0
Royal Antwerp FC,Viktor Fischer,2500000.0
Royal Antwerp FC,Nana Ampomah,350000.0
Royal Antwerp FC,Benson Manuel,3000000.0
Royal Antwerp FC,Nill De Pauw,300000.0
Royal Antwerp FC,Michael Frey,5000000.0
Royal Antwerp FC,Ally Samatta,3000000.0
Royal Antwerp FC,Johannes Eggestein,1800000.0
Royal Antwerp FC,Emanuel Emegha,900000.0
Royal Antwerp FC,Bruny Nsimba,150000.0
Royal Antwerp FC,Abderahmane Soussi,100000.0
KAA Gent,Sinan Bolat,1500000.0
KAA Gent,Davy Roef,1500000.0
KAA Gent,Louis Fortin,50000.0
KAA Gent,Owen Jochmans,0.0
KAA Gent,René Vanden Borre,0.0
KAA Gent,Célestin De Schrevel,0.0
KAA Gent,Jordan Torunarigha,5000000.0
KAA Gent,Joseph Okumu,4500000.0
KAA Gent,Andreas Hanche-Olsen,4000000.0
KAA Gent,Michael Ngadeu,3500000.0
KAA Gent,Bruno Godeau,600000.0
KAA Gent,Ibrahima Cissé,200000.0
KAA Gent,Bram Lagae,0.0
KAA Gent,Núrio Fortuna,3000000.0
KAA Gent,Christopher Operi,500000.0
KAA Gent,Cederick Van Daele,25000.0
KAA Gent,Julien De Sart,3000000.0
KAA Gent,Elisha Owusu,2500000.0
KAA Gent,Sulayman Marreh,400000.0
KAA Gent,Adewale Oladoye,200000.0
KAA Gent,Vadis Odjidja-Ofoe,1300000.0
KAA Gent,Sven Kums,800000.0
KAA Gent,Wouter George,150000.0
KAA Gent,Alessio Castro-Montes,4200000.0
KAA Gent,Matisse Samoise,4000000.0
KAA Gent,Andrew Hjulsager,2500000.0
KAA Gent,Giorgi Chakvetadze,2000000.0
KAA Gent,Roman Bezus,1500000.0
KAA Gent,Malick Fofana,0.0
KAA Gent,Tarik Tissoudali,7500000.0
KAA Gent,Vakoun Bayo,3200000.0
KAA Gent,Gianni Bruno,1300000.0
KAA Gent,Laurent Depoitre,800000.0
KAA Gent,Darko Lemajic,650000.0
KAA Gent,Yonas Malede,500000.0
KAA Gent,Ilombe Mboyo,250000.0
KAA Gent,Chinonso Emeka,150000.0
Standard Liège,Arnaud Bodart,4000000.0
Standard Liège,Laurent Henkinet,450000.0
Standard Liège,Matthieu Epolo,100000.0
Standard Liège,Merveille Bokadi,3000000.0
Standard Liège,Konstantinos Laifis,2200000.0
Standard Liège,Ameen Al-Dakhil,1200000.0
Standard Liège,Moussa Sissako,1200000.0
Standard Liège,Noë Dussenne,800000.0
Standard Liège,Nathan Ngoy,450000.0
Standard Liège,Lucas Noubi,0.0
Standard Liège,Niels Nkounkou,2200000.0
Standard Liège,Nicolas Gavory,1500000.0
Standard Liège,Aron Dønnum,1200000.0
Standard Liège,Alexandro Calut,500000.0
Standard Liège,Hugo Siquet,5500000.0
Standard Liège,Gilles Dewaele,1400000.0
Standard Liège,Collins Fai,900000.0
Standard Liège,Gojko Cimirot,1500000.0
Standard Liège,Joachim Van Damme,500000.0
Standard Liège,Daouda Peeters,500000.0
Standard Liège,Damjan Pavlovic,450000.0
Standard Liège,Noah Mawete Kinsiona,0.0
