Club,Player,Market Value (€)
SV Werder Bremen,Jiri Pavlenka,3000000.0
SV Werder Bremen,Michael Zetterer,500000.0
SV Werder Bremen,Luca Plogmann,300000.0
SV Werder Bremen,Dudu,200000.0
SV Werder Bremen,Mio Backhaus,0.0
SV Werder Bremen,Marco Friedl,5000000.0
SV Werder Bremen,Milos Veljkovic,4000000.0
SV Werder Bremen,Ömer Toprak,1500000.0
SV Werder Bremen,Anthony Jung,1000000.0
SV Werder Bremen,Lukas Mai,1000000.0
SV Werder Bremen,Fabio Chiarodia,500000.0
SV Werder Bremen,Dominik Becker,200000.0
SV Werder Bremen,Felix Agu,2500000.0
SV Werder Bremen,Oscar Schönfelder,300000.0
SV Werder Bremen,Kyu-hyun Park,200000.0
SV Werder Bremen,Mitchell Weiser,1500000.0
SV Werder Bremen,Jean Manuel Mbom,1500000.0
SV Werder Bremen,Simon Straudi,150000.0
SV Werder Bremen,Ilia Gruev,1000000.0
SV Werder Bremen,Nicolai Rapp,800000.0
SV Werder Bremen,Christian Groß,500000.0
SV Werder Bremen,Maximilian Eggestein,8000000.0
SV Werder Bremen,Leonardo Bittencourt,3500000.0
SV Werder Bremen,Kevin Möhwald,1500000.0
SV Werder Bremen,Niklas Schmidt,800000.0
SV Werder Bremen,Romano Schmid,3500000.0
SV Werder Bremen,Abdenego Nankishi,250000.0
SV Werder Bremen,Kebba Badjie,125000.0
SV Werder Bremen,Eren Dinkçi,700000.0
SV Werder Bremen,Nick Woltemade,600000.0
SV Werder Bremen,Josh Sargent,7000000.0
SV Werder Bremen,Marvin Ducksch,4000000.0
SV Werder Bremen,Niclas Füllkrug,3000000.0
SV Werder Bremen,Johannes Eggestein,1800000.0
SV Werder Bremen,Yuya Osako,900000.0
SV Werder Bremen,Roger Assalé,700000.0
SV Werder Bremen,Dejan Galjen,75000.0
FC Schalke 04,Martin Fraisl,600000.0
FC Schalke 04,Ralf Fährmann,400000.0
FC Schalke 04,Felix Wienand,75000.0
FC Schalke 04,Michael Langer,50000.0
FC Schalke 04,Malick Thiaw,6000000.0
FC Schalke 04,Ko Itakura,5000000.0
FC Schalke 04,Marcin Kaminski,1000000.0
FC Schalke 04,Marius Lode,800000.0
FC Schalke 04,Salif Sané,800000.0
FC Schalke 04,Victor Pálsson,700000.0
FC Schalke 04,Dries Wouters,600000.0
FC Schalke 04,Timo Becker,600000.0
FC Schalke 04,Henning Matriciani,250000.0
FC Schalke 04,Mika Hanraths,125000.0
FC Schalke 04,Thomas Ouwejan,2500000.0
FC Schalke 04,Levent Mercan,1200000.0
FC Schalke 04,Kerim Calhanoglu,800000.0
FC Schalke 04,Andreas Vindheim,1000000.0
FC Schalke 04,Reinhold Ranftl,600000.0
FC Schalke 04,Florian Flick,1000000.0
FC Schalke 04,Jimmy Kaparos,125000.0
FC Schalke 04,Can Bozdogan,4300000.0
FC Schalke 04,Rodrigo Zalazar,3500000.0
FC Schalke 04,Danny Latza,600000.0
FC Schalke 04,Marc Rzatkowski,300000.0
FC Schalke 04,Yaroslav Mikhailov,300000.0
FC Schalke 04,Mehmet Aydın,2000000.0
FC Schalke 04,Dong-gyeong Lee,900000.0
FC Schalke 04,Dominick Drexler,900000.0
FC Schalke 04,Blendi Idrizi,600000.0
FC Schalke 04,Daniel Kyerewaa,100000.0
FC Schalke 04,Bleron Krasniqi,100000.0
FC Schalke 04,Marius Bülter,2000000.0
FC Schalke 04,Darko Churlinov,1300000.0
FC Schalke 04,Matthew Hoppe,1000000.0
FC Schalke 04,Simon Terodde,1000000.0
FC Schalke 04,Marvin Pieringer,500000.0
FC Schalke 04,Rufat Dadashov,200000.0
FC Schalke 04,Keke Topp,0.0
Hamburger SV,Daniel Heuer Fernandes,900000.0
Hamburger SV,Marko Johansson,500000.0
Hamburger SV,Leo Oppermann,200000.0
Hamburger SV,Tom Mickel,150000.0
Hamburger SV,Finn Böhmker,0.0
Hamburger SV,Mario Vuskovic,5000000.0
Hamburger SV,Moritz Heyer,2000000.0
Hamburger SV,Sebastian Schonlau,2000000.0
Hamburger SV,Jonas David,900000.0
Hamburger SV,Stephan Ambrosius,800000.0
Hamburger SV,Toni Leistner,750000.0
Hamburger SV,Maximilian Rohr,350000.0
Hamburger SV,Jeremy Dudziak,1600000.0
Hamburger SV,Tim Leibold,1500000.0
Hamburger SV,Miro Muheim,1500000.0
Hamburger SV,Bent Andresen,125000.0
Hamburger SV,Josha Vagnoman,3000000.0
Hamburger SV,Jan Gyamerah,800000.0
Hamburger SV,Jonas Meffert,1500000.0
Hamburger SV,Klaus Gjasula,500000.0
Hamburger SV,Elijah Krahn,200000.0
Hamburger SV,Felix Paschke,0.0
