Club,Player,Market Value (€)
Bayern Munich,Manuel Neuer,15000000.0
Bayern Munich,Sven Ulreich,900000.0
Bayern Munich,Christian Früchtl,600000.0
Bayern Munich,Ron-Thorben Hoffmann,500000.0
Bayern Munich,Dayot Upamecano,40000000.0
Bayern Munich,Niklas Süle,35000000.0
Bayern Munich,Benjamin Pavard,30000000.0
Bayern Munich,Tanguy Nianzou,9000000.0
Bayern Munich,Chris Richards,7500000.0
Bayern Munich,Bright Arrey-Mbi,1300000.0
Bayern Munich,Jamie Lawrence,1000000.0
Bayern Munich,Alphonso Davies,70000000.0
Bayern Munich,Lucas Hernández,50000000.0
Bayern Munich,Omar Richards,7000000.0
Bayern Munich,Josip Stanisic,4000000.0
Bayern Munich,Bouna Sarr,2500000.0
Bayern Munich,Joshua Kimmich,80000000.0
Bayern Munich,Marc Roca,7000000.0
Bayern Munich,Nicolas Feldhahn,125000.0
Bayern Munich,Leon Goretzka,65000000.0
Bayern Munich,Marcel Sabitzer,15000000.0
Bayern Munich,Corentin Tolisso,15000000.0
Bayern Munich,Michaël Cuisance,4000000.0
Bayern Munich,Timo Kern,200000.0
Bayern Munich,Nemanja Motika,1200000.0
Bayern Munich,Jamal Musiala,65000000.0
Bayern Munich,Paul Wanner,2000000.0
Bayern Munich,Malik Tillman,1500000.0
Bayern Munich,Arijon Ibrahimovic,0.0
Bayern Munich,Serge Gnabry,65000000.0
Bayern Munich,Kingsley Coman,60000000.0
Bayern Munich,Leroy Sané,60000000.0
Bayern Munich,Lucas Copado,1000000.0
Bayern Munich,Taylor Booth,1000000.0
Bayern Munich,Thomas Müller,22000000.0
Bayern Munich,Gabriel Vidovic,3000000.0
Bayern Munich,Robert Lewandowski,45000000.0
Bayern Munich,Eric-Maxim Choupo-Moting,3000000.0
Borussia Dortmund,Gregor Kobel,22000000.0
Borussia Dortmund,Luca Unbehaun,1500000.0
Borussia Dortmund,Roman Bürki,1500000.0
Borussia Dortmund,Marwin Hitz,1000000.0
Borussia Dortmund,Stefan Drljaca,200000.0
Borussia Dortmund,Silas Ostrzinski,0.0
Borussia Dortmund,Manuel Akanji,30000000.0
Borussia Dortmund,Dan-Axel Zagadou,9000000.0
Borussia Dortmund,Mats Hummels,6500000.0
Borussia Dortmund,Marin Pongračić,6000000.0
Borussia Dortmund,Axel Witsel,4000000.0
Borussia Dortmund,Soumaïla Coulibaly,750000.0
Borussia Dortmund,Antonios Papadopoulos,350000.0
Borussia Dortmund,Raphaël Guerreiro,25000000.0
Borussia Dortmund,Nico Schulz,4000000.0
Borussia Dortmund,Tom Rothe,1200000.0
Borussia Dortmund,Marcel Schmelzer,500000.0
Borussia Dortmund,Thomas Meunier,6500000.0
Borussia Dortmund,Marius Wolf,6500000.0
Borussia Dortmund,Mateu Morey,4000000.0
Borussia Dortmund,Felix Passlack,1500000.0
Borussia Dortmund,Lion Semic,500000.0
Borussia Dortmund,Emre Can,16000000.0
Borussia Dortmund,Abdoulaye Kamara,1000000.0
Borussia Dortmund,Lennard Maloney,350000.0
Borussia Dortmund,Mahmoud Dahoud,18000000.0
Borussia Dortmund,Thomas Delaney,7000000.0
Borussia Dortmund,Tobias Raschl,1000000.0
Borussia Dortmund,Jude Bellingham,80000000.0
Borussia Dortmund,Giovanni Reyna,35000000.0
Borussia Dortmund,Julian Brandt,25000000.0
Borussia Dortmund,Marco Reus,11000000.0
