Club,Player,Market Value (€)
Juventus FC,Wojciech Szczesny,15000000.0
Juventus FC,Mattia Perin,4000000.0
Juventus FC,Franco Israel,1000000.0
Juventus FC,Carlo Pinsoglio,400000.0
Juventus FC,Zsombor Senkó,200000.0
Juventus FC,Marco Raina,50000.0
Juventus FC,Matthijs de Ligt,70000000.0
Juventus FC,Danilo,13000000.0
Juventus FC,Leonardo Bonucci,6000000.0
Juventus FC,Daniele Rugani,3500000.0
Juventus FC,Koni De Winter,2200000.0
Juventus FC,Giorgio Chiellini,1500000.0
Juventus FC,Diego Stramaccioni,350000.0
Juventus FC,Luca Pellegrini,9000000.0
Juventus FC,Alex Sandro,6000000.0
Juventus FC,Mattia De Sciglio,6000000.0
Juventus FC,Manuel Locatelli,35000000.0
Juventus FC,Rodrigo Bentancur,28000000.0
Juventus FC,Denis Zakaria,27000000.0
Juventus FC,Arthur Melo,18000000.0
Juventus FC,Martin Palumbo,700000.0
Juventus FC,Weston McKennie,25000000.0
Juventus FC,Adrien Rabiot,17000000.0
Juventus FC,Nicolò Fagioli,6500000.0
Juventus FC,Fabio Miretti,5000000.0
Juventus FC,Aaron Ramsey,3000000.0
Juventus FC,Filippo Ranocchia,1800000.0
Juventus FC,Hans Nicolussi Caviglia,900000.0
Juventus FC,Emanuele Zuelli,700000.0
Juventus FC,Juan Cuadrado,8000000.0
Juventus FC,Dejan Kulusevski,40000000.0
Juventus FC,Marley Aké,2500000.0
Juventus FC,Samuel Iling-Junior,700000.0
Juventus FC,Federico Chiesa,65000000.0
Juventus FC,Federico Bernardeschi,10000000.0
Juventus FC,Matías Soulé,2500000.0
Juventus FC,Paulo Dybala,35000000.0
Juventus FC,Dušan Vlahović,85000000.0
Juventus FC,Cristiano Ronaldo,30000000.0
Juventus FC,Álvaro Morata,25000000.0
Juventus FC,Moise Kean,24000000.0
Juventus FC,Kaio Jorge,7000000.0
Juventus FC,Cosimo da Graça,1000000.0
Inter Milan,Andrei Radu,3500000.0
Inter Milan,Samir Handanovič,2000000.0
Inter Milan,Alex Cordaz,400000.0
Inter Milan,William Rovida,200000.0
Inter Milan,Milan Skriniar,65000000.0
Inter Milan,Alessandro Bastoni,60000000.0
Inter Milan,Stefan de Vrij,28000000.0
Inter Milan,Danilo D'Ambrosio,3000000.0
Inter Milan,Andrea Ranocchia,800000.0
Inter Milan,Fabio Cortinovis,50000.0
Inter Milan,Robin Gosens,28000000.0
Inter Milan,Federico Dimarco,18000000.0
Inter Milan,Franco Carboni,1000000.0
Inter Milan,Aleksandar Kolarov,500000.0
Inter Milan,Denzel Dumfries,25000000.0
Inter Milan,Matteo Darmian,5000000.0
Inter Milan,Mattia Zanotti,350000.0
Inter Milan,Marcelo Brozović,40000000.0
Inter Milan,Hakan Çalhanoğlu,35000000.0
Inter Milan,Lucien Agoumé,7000000.0
Inter Milan,Mattia Sangalli,250000.0
Inter Milan,Nicolò Barella,70000000.0
Inter Milan,Roberto Gagliardini,8000000.0
Inter Milan,Stefano Sensi,7000000.0
Inter Milan,Matías Vecino,3500000.0
Inter Milan,Arturo Vidal,2000000.0
Inter Milan,Cesare Casadei,1000000.0
Inter Milan,Ivan Perisic,10000000.0
Inter Milan,Joaquín Correa,23000000.0
Inter Milan,Lautaro Martínez,75000000.0
Inter Milan,Andrea Pinamonti,20000000.0
