Club,Player,Market Value (€)
Parma Calcio 1913,Gianluigi Buffon,1000000.0
Parma Calcio 1913,Martin Turk,500000.0
Parma Calcio 1913,Simone Colombi,300000.0
Parma Calcio 1913,Alberto Rossi,50000.0
Parma Calcio 1913,Andrea Piga,0.0
Parma Calcio 1913,Elias Cobbaut,3000000.0
Parma Calcio 1913,Lautaro Valenti,3000000.0
Parma Calcio 1913,Yordan Osorio,2000000.0
Parma Calcio 1913,Botond Balogh,900000.0
Parma Calcio 1913,Riccardo Gagliolo,800000.0
Parma Calcio 1913,Daan Dierckx,600000.0
Parma Calcio 1913,Simone Iacoponi,300000.0
Parma Calcio 1913,Danilo,300000.0
Parma Calcio 1913,Alessandro Circati,150000.0
Parma Calcio 1913,Jayden Oosterwolde,1000000.0
Parma Calcio 1913,Vasilios Zagaritis,400000.0
Parma Calcio 1913,Filippo Costa,300000.0
Parma Calcio 1913,Maxime Busi,3500000.0
Parma Calcio 1913,Enrico Delprato,2000000.0
Parma Calcio 1913,Woyo Coulibaly,900000.0
Parma Calcio 1913,Andrea Rispoli,300000.0
Parma Calcio 1913,Vincent Laurini,150000.0
Parma Calcio 1913,Gastón Brugman,2000000.0
Parma Calcio 1913,Stanko Juric,1400000.0
Parma Calcio 1913,Pasquale Schiattarella,600000.0
Parma Calcio 1913,Andrea Mallamo,50000.0
Parma Calcio 1913,Ahmed Ankrah,50000.0
Parma Calcio 1913,Adrián Bernabé,6000000.0
Parma Calcio 1913,Simon Sohm,2300000.0
Parma Calcio 1913,Francesco Cassata,900000.0
Parma Calcio 1913,Drissa Camara,400000.0
Parma Calcio 1913,Aliou Traoré,350000.0
Parma Calcio 1913,Franco Vázquez,3000000.0
Parma Calcio 1913,Juan Brunetta,2000000.0
Parma Calcio 1913,Valentin Mihăilă,5500000.0
Parma Calcio 1913,Adrian Benedyczak,2000000.0
Parma Calcio 1913,Félix Correia,1500000.0
Parma Calcio 1913,Daniele Iacoponi,300000.0
Parma Calcio 1913,Dennis Man,6500000.0
Parma Calcio 1913,Mattia Sprocati,200000.0
Parma Calcio 1913,Goran Pandev,400000.0
Parma Calcio 1913,Gennaro Tutino,3800000.0
Parma Calcio 1913,Roberto Inglese,1500000.0
Parma Calcio 1913,Simy,1500000.0
Parma Calcio 1913,Ange-Yoan Bonny,400000.0
Parma Calcio 1913,Dario Sits,0.0
AC Monza,Michele Di Gregorio,3800000.0
AC Monza,Eugenio Lamanna,200000.0
AC Monza,Daniele Sommariva,100000.0
AC Monza,Stefano Rubbi,75000.0
AC Monza,Gianluca Ravarelli,10000.0
AC Monza,Andrea Mazza,0.0
AC Monza,Lorenzo Pirola,2200000.0
AC Monza,Davide Bettella,2000000.0
