Club,Player,Market Value (€)
Real Madrid,Thibaut Courtois,45000000.0
Real Madrid,Andriy Lunin,5000000.0
Real Madrid,Mario de Luis,500000.0
Real Madrid,Luis López,300000.0
Real Madrid,Lucas Cañizares,200000.0
Real Madrid,Diego Piñeiro,0.0
Real Madrid,Fran González,0.0
Real Madrid,Éder Militão,70000000.0
Real Madrid,David Alaba,40000000.0
Real Madrid,Antonio Rüdiger,32000000.0
Real Madrid,Nacho Fernández,6000000.0
Real Madrid,Jesús Vallejo,2000000.0
Real Madrid,Marvel,1000000.0
Real Madrid,Ferland Mendy,25000000.0
Real Madrid,Daniel Carvajal,12000000.0
Real Madrid,Lucas Vázquez,8000000.0
Real Madrid,Álvaro Odriozola,5000000.0
Real Madrid,Vinícius Tobias,3000000.0
Real Madrid,Aurélien Tchouaméni,85000000.0
Real Madrid,Casemiro,40000000.0
Real Madrid,Mario Martín,250000.0
Real Madrid,Federico Valverde,100000000.0
Real Madrid,Eduardo Camavinga,85000000.0
Real Madrid,Toni Kroos,15000000.0
Real Madrid,Dani Ceballos,12000000.0
Real Madrid,Luka Modric,10000000.0
Real Madrid,Carlos Dotor,700000.0
Real Madrid,Sergio Arribas,5000000.0
Real Madrid,Nico Paz,2000000.0
Real Madrid,Vinicius Junior,150000000.0
Real Madrid,Eden Hazard,5000000.0
Real Madrid,Rodrygo,100000000.0
Real Madrid,Marco Asensio,25000000.0
Real Madrid,Karim Benzema,25000000.0
Real Madrid,Álvaro Rodríguez,6000000.0
Real Madrid,Mariano Díaz,2500000.0
FC Barcelona,Marc-André ter Stegen,35000000.0
FC Barcelona,Iñaki Peña,4000000.0
FC Barcelona,Arnau Tenas,2000000.0
FC Barcelona,Ander Astralaga,0.0
FC Barcelona,Ronald Araujo,70000000.0
FC Barcelona,Andreas Christensen,40000000.0
FC Barcelona,Eric García,10000000.0
FC Barcelona,Chadi Riad,500000.0
FC Barcelona,Gerard Piqué,0.0
FC Barcelona,Alejandro Balde,50000000.0
FC Barcelona,Marcos Alonso,5000000.0
FC Barcelona,Jordi Alba,5000000.0
FC Barcelona,Álex Valle,500000.0
FC Barcelona,Jules Koundé,60000000.0
FC Barcelona,Héctor Bellerín,8000000.0
FC Barcelona,Sergio Busquets,5000000.0
FC Barcelona,Álvaro Sanz,700000.0
FC Barcelona,Marc Casadó,300000.0
FC Barcelona,Pau Prim,0.0
FC Barcelona,Pedri,100000000.0
FC Barcelona,Gavi,90000000.0
FC Barcelona,Frenkie de Jong,75000000.0
FC Barcelona,Franck Kessié,25000000.0
FC Barcelona,Miralem Pjanić,6000000.0
FC Barcelona,Sergi Roberto,5000000.0
FC Barcelona,Aleix Garrido,300000.0
FC Barcelona,Unai Hernández,0.0
FC Barcelona,Pablo Torre,3000000.0
FC Barcelona,Raphinha,60000000.0
FC Barcelona,Ansu Fati,35000000.0
FC Barcelona,Estanis Pedrola,500000.0
FC Barcelona,Ángel Alarcón,0.0
FC Barcelona,Dani Rodríguez,0.0
FC Barcelona,Ousmane Dembélé,60000000.0
FC Barcelona,Ferran Torres,30000000.0
FC Barcelona,Ilias Akhomach,3000000.0
FC Barcelona,Lamine Yamal,0.0
FC Barcelona,Robert Lewandowski,30000000.0
FC Barcelona,Memphis Depay,14000000.0
FC Barcelona,Pierre-Emerick Aubameyang,4000000.0
FC Barcelona,Marc Guiu,0.0
Atlético de Madrid,Jan Oblak,35000000.0
Atlético de Madrid,Ivo Grbic,3500000.0
Atlético de Madrid,Alejandro Iturbe,150000.0
Atlético de Madrid,Antonio Gomis,150000.0
Atlético de Madrid,Sergio Mestre,0.0
Atlético de Madrid,José María Giménez,35000000.0
Atlético de Madrid,Mario Hermoso,20000000.0
Atlético de Madrid,Stefan Savic,6000000.0
Atlético de Madrid,Axel Witsel,5000000.0
Atlético de Madrid,Felipe,2000000.0
Atlético de Madrid,Marco Moreno,200000.0
Atlético de Madrid,Ilias Kostis,100000.0
Atlético de Madrid,Adrián Corral,50000.0
Atlético de Madrid,Reinildo Mandava,25000000.0
Atlético de Madrid,Renan Lodi,20000000.0
Atlético de Madrid,Sergio Reguilón,10000000.0
Atlético de Madrid,Nahuel Molina,35000000.0
Atlético de Madrid,Matt Doherty,5000000.0
Atlético de Madrid,Sergio Diez,200000.0
Atlético de Madrid,Geoffrey Kondogbia,14000000.0
Atlético de Madrid,Rodrigo De Paul,40000000.0
Atlético de Madrid,Koke,16000000.0
Atlético de Madrid,Saúl Ñíguez,10000000.0
Atlético de Madrid,Pablo Barrios,5000000.0
Atlético de Madrid,Alberto Moreno,150000.0
Atlético de Madrid,Aitor Gismera,150000.0
Atlético de Madrid,Marcos Llorente,35000000.0
Atlético de Madrid,Thomas Lemar,22000000.0
Atlético de Madrid,Antonio Alemán,0.0
Atlético de Madrid,Yannick Carrasco,25000000.0
Atlético de Madrid,Carlos Martín,500000.0
Atlético de Madrid,Salim El Jebari,0.0
Atlético de Madrid,Ángel Correa,30000000.0
Atlético de Madrid,Diego Bri,150000.0
Atlético de Madrid,João Félix,50000000.0
Atlético de Madrid,Matheus Cunha,25000000.0
Atlético de Madrid,Antoine Griezmann,25000000.0
Atlético de Madrid,Álvaro Morata,20000000.0
Atlético de Madrid,Memphis Depay,14000000.0
Atlético de Madrid,Abde Raihani,0.0
Real Sociedad,Álex Remiro,25000000.0
Real Sociedad,Andoni Zubiaurre,300000.0
Real Sociedad,Unai Marrero,250000.0
Real Sociedad,Egoitz Arana,50000.0
Real Sociedad,Robin Le Normand,35000000.0
Real Sociedad,Igor Zubeldia,15000000.0
Real Sociedad,Aritz Elustondo,14000000.0
Real Sociedad,Jon Pacheco,6000000.0
Real Sociedad,Aritz Arambarri,500000.0
Real Sociedad,Aihen Muñoz,6000000.0
Real Sociedad,Diego Rico,3000000.0
Real Sociedad,Jonathan Gómez,500000.0
Real Sociedad,Andoni Gorosabel,9000000.0
Real Sociedad,Martín Zubimendi,40000000.0
Real Sociedad,Asier Illarramendi,2000000.0
Real Sociedad,Urko González de Zarate,700000.0
Real Sociedad,Mikel Merino,50000000.0
Real Sociedad,Ander Guevara,2500000.0
Real Sociedad,Beñat Turrientes,2000000.0
Real Sociedad,Jon Ander Olasagasti,1000000.0
Real Sociedad,Brais Méndez,25000000.0
Real Sociedad,David Silva,4000000.0
Real Sociedad,Robert Navarro,3000000.0
Real Sociedad,Pablo Marín,1000000.0
Real Sociedad,Jon Magunazelaia,700000.0
Real Sociedad,Ander Barrenetxea,6000000.0
Real Sociedad,Martín Merquelanz,800000.0
Real Sociedad,Takefusa Kubo,25000000.0
Real Sociedad,Mohamed-Ali Cho,12000000.0
Real Sociedad,Álex Sola,3000000.0
Real Sociedad,Ander Martín,400000.0
Real Sociedad,Alexander Isak,70000000.0
Real Sociedad,Mikel Oyarzabal,40000000.0
Real Sociedad,Umar Sadiq,18000000.0
Real Sociedad,Alexander Sørloth,12000000.0
Real Sociedad,Jon Karrikaburu,5000000.0
Real Sociedad,Carlos Fernández,3000000.0
Villarreal CF,Gerónimo Rulli,10000000.0
Villarreal CF,Filip Jørgensen,1500000.0
Villarreal CF,Pepe Reina,700000.0
Villarreal CF,Iker Álvarez,500000.0
Villarreal CF,Gianni Cassaro,100000.0
Villarreal CF,Pau Torres,45000000.0
