Club,Player,Market Value (€)
AS Saint-Étienne,Gautier Larsonneur,3500000.0
AS Saint-Étienne,Etienne Green,2000000.0
AS Saint-Étienne,Matthieu Dreyer,250000.0
AS Saint-Étienne,Boubacar Fall,200000.0
AS Saint-Étienne,Noah Raveyre,150000.0
AS Saint-Étienne,Saïdou Sow,3500000.0
AS Saint-Étienne,Anthony Briançon,1500000.0
AS Saint-Étienne,Mickaël Nade,1000000.0
AS Saint-Étienne,Jimmy Giraudon,700000.0
AS Saint-Étienne,Abdoulaye Bakayoko,400000.0
AS Saint-Étienne,Mateo Pavlovic,400000.0
AS Saint-Étienne,Niels Nkounkou,5000000.0
AS Saint-Étienne,Léo Pétrot,900000.0
AS Saint-Étienne,Gabriel Silva,700000.0
AS Saint-Étienne,Sergi Palencia,2000000.0
AS Saint-Étienne,Yvann Maçon,2000000.0
AS Saint-Étienne,Dennis Appiah,1500000.0
AS Saint-Étienne,Anas Namri,200000.0
AS Saint-Étienne,Lamine Fomba,2000000.0
AS Saint-Étienne,Yvan Neyou,1000000.0
AS Saint-Étienne,Thomas Monconduit,800000.0
AS Saint-Étienne,Louis Mouton,400000.0
AS Saint-Étienne,Zaydou Youssouf,4000000.0
AS Saint-Étienne,Benjamin Bouchouari,4000000.0
AS Saint-Étienne,Mahdi Camara,3000000.0
AS Saint-Étienne,Aïmen Moueffek,1000000.0
AS Saint-Étienne,Adil Aouchiche,2200000.0
AS Saint-Étienne,Victor Lobry,1200000.0
AS Saint-Étienne,Dylan Chambost,900000.0
AS Saint-Étienne,Antoine Gauthier,150000.0
AS Saint-Étienne,Cheikh Fall,0.0
AS Saint-Étienne,Denis Bouanga,6000000.0
AS Saint-Étienne,Maxence Rivera,350000.0
AS Saint-Étienne,Yanis Lhéry,250000.0
AS Saint-Étienne,Darnell Eric Bile,200000.0
AS Saint-Étienne,Mathys Saban,200000.0
AS Saint-Étienne,Abdoulaye Coulibaly,150000.0
AS Saint-Étienne,Lucas Calodat,100000.0
AS Saint-Étienne,Mathieu Cafaro,3000000.0
AS Saint-Étienne,Abdoul Kader Bamba,900000.0
AS Saint-Étienne,Lenny Pintor,600000.0
AS Saint-Étienne,Ayman Aiki,400000.0
AS Saint-Étienne,Jean-Philippe Krasso,6000000.0
AS Saint-Étienne,Ibrahima Wadji,1200000.0
AS Saint-Étienne,Gaëtan Charbonnier,500000.0
AS Saint-Étienne,Jibril Othman,100000.0
FC Metz,Alexandre Oukidja,500000.0
FC Metz,Marc-Aurèle Caillard,500000.0
FC Metz,Ousmane Ba,400000.0
FC Metz,Alexis Mirbach,50000.0
FC Metz,Kiki Kouyaté,5000000.0
FC Metz,Fali Candé,2500000.0
FC Metz,Ismaël Traoré,300000.0
FC Metz,Aboubacar Lô,250000.0
FC Metz,Matthieu Udol,2500000.0
FC Metz,Oussmane Kebe,0.0
FC Metz,Fabien Centonze,4000000.0
FC Metz,Koffi Kouao,2000000.0
