Club,Player,Market Value (€)
SL Benfica,Odysseas Vlachodimos,16000000.0
SL Benfica,Samuel Soares,2000000.0
SL Benfica,André Gomes,2000000.0
SL Benfica,Helton Leite,1300000.0
SL Benfica,Leo Kokubo,125000.0
SL Benfica,António Silva,45000000.0
SL Benfica,Morato,13000000.0
SL Benfica,João Victor,7000000.0
SL Benfica,Lucas Veríssimo,6000000.0
SL Benfica,John Brooks,2000000.0
SL Benfica,Nicolás Otamendi,2000000.0
SL Benfica,Jan Vertonghen,1500000.0
SL Benfica,Alejandro Grimaldo,25000000.0
SL Benfica,Mihailo Ristic,3000000.0
SL Benfica,Rafa Rodrigues,1300000.0
SL Benfica,Alexander Bah,14000000.0
SL Benfica,Gilberto,4000000.0
SL Benfica,João Tomé,850000.0
SL Benfica,André Almeida,0.0
SL Benfica,Florentino,20000000.0
SL Benfica,Julian Weigl,10000000.0
SL Benfica,João Neves,10000000.0
SL Benfica,Enzo Fernández,80000000.0
SL Benfica,Fredrik Aursnes,20000000.0
SL Benfica,João Mário,14000000.0
SL Benfica,Diogo Gonçalves,4000000.0
SL Benfica,Paulo Bernardo,3000000.0
SL Benfica,Cher Ndour,1500000.0
SL Benfica,Chiquinho,6000000.0
SL Benfica,Hugo Félix,0.0
SL Benfica,Gonçalo Guedes,23000000.0
SL Benfica,Andreas Schjelderup,9000000.0
SL Benfica,Julian Draxler,6000000.0
SL Benfica,Diego Moreira,2000000.0
SL Benfica,David Neres,25000000.0
SL Benfica,Gil Dias,1500000.0
SL Benfica,Rafa,22000000.0
SL Benfica,Gonçalo Ramos,50000000.0
SL Benfica,Petar Musa,7000000.0
SL Benfica,Casper Tengstedt,6000000.0
SL Benfica,Roman Yaremchuk,5000000.0
SL Benfica,Henrique Araújo,4500000.0
SL Benfica,Rodrigo Pinho,2000000.0
Sporting CP,Franco Israel,2500000.0
Sporting CP,Antonio Adán,1000000.0
Sporting CP,André Paulo,100000.0
Sporting CP,Diego Callai,0.0
Sporting CP,Diogo Pinto,0.0
