Club,Player,Market Value (€)
KRC Genk,Maarten Vandevoordt,11000000.0
KRC Genk,Tobe Leysen,2500000.0
KRC Genk,Hendrik Van Crombrugge,1500000.0
KRC Genk,Mike Penders,1000000.0
KRC Genk,Matthias Pieklak,200000.0
KRC Genk,Vic Chambaere,150000.0
KRC Genk,Mark McKenzie,6000000.0
KRC Genk,Carlos Cuesta,6000000.0
KRC Genk,Mujaid Sadick,3500000.0
KRC Genk,Josue Kongolo,1000000.0
KRC Genk,Gerardo Arteaga,6000000.0
KRC Genk,Joris Kayembe,2500000.0
KRC Genk,Eduard Sobol,1500000.0
KRC Genk,Christian Akpan,350000.0
KRC Genk,Daniel Muñoz,18000000.0
KRC Genk,Zakaria El Ouahdi,4500000.0
KRC Genk,Matías Galarza,7000000.0
KRC Genk,Aziz Ouattara,1000000.0
KRC Genk,Ibrahima Sory Bangoura,500000.0
KRC Genk,Bryan Heynen,10000000.0
KRC Genk,Patrik Hrosovsky,3500000.0
KRC Genk,Thomas Claes,600000.0
KRC Genk,Angelo Preciado,5000000.0
KRC Genk,Ken Nkuba,3500000.0
KRC Genk,Bilal El Khannouss,30000000.0
KRC Genk,Konstantinos Karetsas,4000000.0
KRC Genk,Nicolás Castro,3000000.0
KRC Genk,Anouar Ait El Hadj,2500000.0
KRC Genk,Mike Trésor,12000000.0
KRC Genk,Yira Sor,4000000.0
KRC Genk,Christopher Bonsu Baah,3500000.0
KRC Genk,Alieu Fadera,2500000.0
KRC Genk,Luca Oyen,2500000.0
KRC Genk,Noah Adedeji-Sternberg,1200000.0
KRC Genk,Joseph Paintsil,9500000.0
KRC Genk,Tolu Arokodare,5500000.0
KRC Genk,Andi Zeqiri,3500000.0
Club Brugge KV,Simon Mignolet,2000000.0
Club Brugge KV,Nordin Jackers,900000.0
Club Brugge KV,Josef Bursik,800000.0
Club Brugge KV,Nick Shinton,400000.0
Club Brugge KV,Joel Ordóñez,6000000.0
Club Brugge KV,Jorne Spileers,5000000.0
Club Brugge KV,Brandon Mechele,3000000.0
Club Brugge KV,Dedryck Boyata,500000.0
Club Brugge KV,Bi Abdoul Kader Yameogo,400000.0
Club Brugge KV,Maxim De Cuyper,9000000.0
Club Brugge KV,Bjorn Meijer,6000000.0
Club Brugge KV,Joaquin Seys,600000.0
Club Brugge KV,Kyriani Sabbe,4500000.0
Club Brugge KV,Denis Odoi,300000.0
Club Brugge KV,Raphael Onyedika,10000000.0
Club Brugge KV,Mats Rits,3500000.0
Club Brugge KV,Éder Balanta,1200000.0
Club Brugge KV,Owen Otasowie,100000.0
Club Brugge KV,Hugo Vetlesen,7000000.0
Club Brugge KV,Casper Nielsen,3500000.0
Club Brugge KV,Tajon Buchanan,8000000.0
Club Brugge KV,Shion Homma,700000.0
Club Brugge KV,Hans Vanaken,7000000.0
Club Brugge KV,Antonio Nusa,15000000.0
Club Brugge KV,Philip Zinckernagel,4000000.0
Club Brugge KV,Andreas Skov Olsen,18000000.0
Club Brugge KV,Michal Skoras,5000000.0
Club Brugge KV,Chemsdine Talbi,650000.0
Club Brugge KV,Igor Thiago,25000000.0
Club Brugge KV,Ferran Jutglà,7500000.0
Club Brugge KV,Roman Yaremchuk,3500000.0
Club Brugge KV,Romeo Vermant,1800000.0
Club Brugge KV,Víctor Barberá,700000.0
Royal Antwerp FC,Jean Butez,8000000.0
