Club,Player,Market Value (€)
CR Flamengo,Agustín Rossi,7000000.0
CR Flamengo,Matheus Cunha,150000.0
CR Flamengo,Lucas Furtado,0.0
CR Flamengo,Dyogo Alves,0.0
CR Flamengo,Caio Barone,0.0
CR Flamengo,João Vitor,0.0
CR Flamengo,Léo Ortiz,7500000.0
CR Flamengo,Léo Pereira,4000000.0
CR Flamengo,Fabrício Bruno,3500000.0
CR Flamengo,Pablo,3500000.0
CR Flamengo,Gabriel Noga,2000000.0
CR Flamengo,David Luiz,800000.0
CR Flamengo,Cleiton,150000.0
CR Flamengo,Diegão,150000.0
CR Flamengo,Da Mata,0.0
CR Flamengo,Carbone,0.0
CR Flamengo,Iago Teodoro,0.0
CR Flamengo,João Victor,0.0
CR Flamengo,Victor Thiago,0.0
CR Flamengo,Ayrton Lucas,6000000.0
CR Flamengo,Matías Viña,6000000.0
CR Flamengo,Alex Sandro,4500000.0
CR Flamengo,Zé Welinton,150000.0
CR Flamengo,Ainoã,0.0
CR Flamengo,Matheuzinho,8000000.0
CR Flamengo,Guillermo Varela,2000000.0
CR Flamengo,Santiago Ocampos,300000.0
CR Flamengo,Wesley,150000.0
CR Flamengo,Daniel Sales,0.0
CR Flamengo,Lucyan,0.0
CR Flamengo,Allan,6500000.0
CR Flamengo,Erick Pulgar,6000000.0
CR Flamengo,Thiago Maia,6000000.0
CR Flamengo,Igor Jesus,150000.0
CR Flamengo,Rayan Lucas,0.0
CR Flamengo,Fabiano,0.0
CR Flamengo,João Marcos,0.0
CR Flamengo,Evertton Araújo,0.0
CR Flamengo,Caio Garcia,0.0
CR Flamengo,Luis Aucélio,0.0
CR Flamengo,Daniel Rogério,0.0
CR Flamengo,Jean Carlos,0.0
CR Flamengo,Gerson,18000000.0
CR Flamengo,Nicolás de la Cruz,13000000.0
CR Flamengo,Carlos Alcaraz,8500000.0
CR Flamengo,Victor Hugo,3000000.0
CR Flamengo,Guilherme Gomes,0.0
CR Flamengo,João Alves,0.0
CR Flamengo,Giorgian de Arrascaeta,19000000.0
CR Flamengo,Lorran,0.0
CR Flamengo,Pedro Leão,0.0
CR Flamengo,Everton,12000000.0
CR Flamengo,Michael,8500000.0
CR Flamengo,Bruno Henrique,3500000.0
CR Flamengo,Werton,150000.0
CR Flamengo,Petterson,150000.0
CR Flamengo,Ogundana Shola,0.0
CR Flamengo,Luiz Araújo,6000000.0
CR Flamengo,Gonzalo Plata,5000000.0
CR Flamengo,Thiaguinho,700000.0
CR Flamengo,Matheus Gonçalves,150000.0
CR Flamengo,Felipe Teresa,0.0
