Club,Player,Market Value (€)
Hertha BSC,Oliver Christensen,3000000.0
Hertha BSC,Tjark Ernst,2500000.0
Hertha BSC,Marius Gersbeck,500000.0
Hertha BSC,Tim Goller,250000.0
Hertha BSC,Robert Kwasigroch,200000.0
Hertha BSC,Philip Sprint,25000.0
Hertha BSC,Filip Uremovic,2800000.0
Hertha BSC,Márton Dárdai,2500000.0
Hertha BSC,Linus Gechter,1800000.0
Hertha BSC,Marc Oliver Kempf,1500000.0
Hertha BSC,Agustín Rogel,600000.0
Hertha BSC,Toni Leistner,350000.0
Hertha BSC,Tim Hoffmann,200000.0
Hertha BSC,Jeremy Dudziak,750000.0
Hertha BSC,Anderson Lucoqui,500000.0
Hertha BSC,Eliyas Strasner,125000.0
Hertha BSC,Jonjoe Kenny,2500000.0
Hertha BSC,Deyovaisio Zeefuik,700000.0
Hertha BSC,Julian Eitschberger,400000.0
Hertha BSC,Peter Pekarík,300000.0
Hertha BSC,Pascal Klemens,5000000.0
Hertha BSC,Bradley Ibrahim,400000.0
Hertha BSC,Veit Stange,150000.0
Hertha BSC,Mesut Kesik,150000.0
Hertha BSC,Suat Serdar,5000000.0
Hertha BSC,Michal Karbownik,3000000.0
Hertha BSC,Andreas Bouchalakis,1000000.0
Hertha BSC,Bilal Hussein,1000000.0
Hertha BSC,Ibrahim Maza,5000000.0
Hertha BSC,Marco Richter,2000000.0
Hertha BSC,Bence Dárdai,2000000.0
Hertha BSC,Aymen Barkok,1000000.0
Hertha BSC,Tony Rölke,150000.0
Hertha BSC,Fabian Reese,5000000.0
Hertha BSC,Myziane Maolida,900000.0
Hertha BSC,Derry Scherhant,800000.0
Hertha BSC,Gustav Christensen,500000.0
Hertha BSC,Kelian Nsona,400000.0
Hertha BSC,Marten Winkler,2000000.0
Hertha BSC,Palkó Dárdai,1000000.0
Hertha BSC,Nader Jindaoui,250000.0
Hertha BSC,Haris Tabakovic,2500000.0
Hertha BSC,Smail Prevljak,900000.0
Hertha BSC,Florian Niederlechner,500000.0
Hertha BSC,Luca Wollschläger,125000.0
Fortuna Düsseldorf,Florian Kastenmeier,1500000.0
Fortuna Düsseldorf,Karol Niemczycki,600000.0
Fortuna Düsseldorf,Dennis Gorka,200000.0
Fortuna Düsseldorf,Jamil Siebert,3000000.0
Fortuna Düsseldorf,Jordy de Wijs,1500000.0
Fortuna Düsseldorf,Tim Oberdorf,1000000.0
Fortuna Düsseldorf,Andre Hoffmann,800000.0
Fortuna Düsseldorf,Joshua Quarshie,800000.0
Fortuna Düsseldorf,King Manu,200000.0
Fortuna Düsseldorf,Tim Corsten,100000.0
Fortuna Düsseldorf,Seymour Fünger,100000.0
Fortuna Düsseldorf,Emmanuel Iyoha,1200000.0
Fortuna Düsseldorf,Nicolas Gavory,800000.0
Fortuna Düsseldorf,Benjamin Böckle,400000.0
Fortuna Düsseldorf,Takashi Uchino,350000.0
Fortuna Düsseldorf,David Savic,75000.0
Fortuna Düsseldorf,Yannik Engelhardt,4000000.0
Fortuna Düsseldorf,Marcel Sobottka,1000000.0
Fortuna Düsseldorf,Matthias Zimmermann,800000.0
Fortuna Düsseldorf,Sima Suso,350000.0
Fortuna Düsseldorf,Ao Tanaka,4000000.0
Fortuna Düsseldorf,Ísak Jóhannesson,3500000.0
Fortuna Düsseldorf,Shinta Appelkamp,3000000.0
Fortuna Düsseldorf,Elione Fernandes Neto,700000.0
Fortuna Düsseldorf,Daniel Bunk,100000.0
Fortuna Düsseldorf,Felix Klaus,800000.0
Fortuna Düsseldorf,Christos Tzolis,10000000.0
Fortuna Düsseldorf,Dennis Jastrzembski,500000.0
Fortuna Düsseldorf,Jona Niemiec,650000.0
Fortuna Düsseldorf,Robin Bird,75000.0
Fortuna Düsseldorf,Vincent Vermeij,1000000.0
Fortuna Düsseldorf,Marlon Mustapha,900000.0
Fortuna Düsseldorf,Christoph Daferner,600000.0
Fortuna Düsseldorf,Daniel Ginczek,300000.0
Hamburger SV,Matheo Raab,900000.0
Hamburger SV,Daniel Heuer Fernandes,700000.0
Hamburger SV,Tom Mickel,100000.0
Hamburger SV,Dennis Hadzikadunic,1700000.0
Hamburger SV,Sebastian Schonlau,1500000.0
Hamburger SV,Gui Ramos,900000.0
Hamburger SV,Stephan Ambrosius,900000.0
Hamburger SV,Jonas David,750000.0
Hamburger SV,Moritz Heyer,700000.0
Hamburger SV,Luis Seifert,150000.0
Hamburger SV,Valon Zumberi,150000.0
Hamburger SV,Mario Vuskovic,0.0
Hamburger SV,Miro Muheim,2000000.0
Hamburger SV,Noah Katterbach,600000.0
Hamburger SV,Ignace Van der Brempt,3000000.0
Hamburger SV,William Mikelbrencis,700000.0
Hamburger SV,Nicolas Oliveira,300000.0
Hamburger SV,Jonas Meffert,1000000.0
Hamburger SV,Elijah Krahn,350000.0
Hamburger SV,László Bénes,5000000.0
Hamburger SV,Ludovit Reis,4500000.0
Hamburger SV,Lukasz Poreba,1200000.0
Hamburger SV,Anssi Suhonen,700000.0
Hamburger SV,Immanuel Pherai,2800000.0
Hamburger SV,Omar Megeed,250000.0
Hamburger SV,Bilal Yalcinkaya,0.0
Hamburger SV,Jean-Luc Dompé,2000000.0
Hamburger SV,Masaya Okugawa,1500000.0
Hamburger SV,Levin Öztunali,500000.0
Hamburger SV,Bakery Jatta,1300000.0
Hamburger SV,Robert Glatzel,3000000.0
Hamburger SV,Ransford Königsdörffer,1700000.0
Hamburger SV,András Németh,1000000.0
Hamburger SV,Tom Sanne,300000.0
Hamburger SV,Otto Stange,0.0
FC St. Pauli,Nikola Vasilj,1500000.0
FC St. Pauli,Sascha Burchert,200000.0
FC St. Pauli,Kevin Jendrzej,75000.0
FC St. Pauli,Sören Ahlers,50000.0
FC St. Pauli,Eric Smith,4000000.0
FC St. Pauli,Jakov Medic,2000000.0
FC St. Pauli,Hauke Wahl,1500000.0
FC St. Pauli,Karol Mets,1300000.0
FC St. Pauli,David Nemeth,800000.0
FC St. Pauli,Adam Dzwigala,600000.0
FC St. Pauli,Tjark Scheller,200000.0
FC St. Pauli,Philipp Treu,2000000.0
FC St. Pauli,Lars Ritzka,900000.0
FC St. Pauli,Manolis Saliakas,2500000.0
FC St. Pauli,Luca Günther,100000.0
FC St. Pauli,Aljoscha Kemlein,3000000.0
FC St. Pauli,Afeez Aremu,500000.0
FC St. Pauli,Marcel Hartel,4000000.0
FC St. Pauli,Connor Metcalfe,2500000.0
FC St. Pauli,Jackson Irvine,2000000.0
FC St. Pauli,Erik Ahlstrand,700000.0
FC St. Pauli,Carlo Boukhalfa,400000.0
FC St. Pauli,Eric da Silva Moreira,1000000.0
FC St. Pauli,Elias Saad,3000000.0
FC St. Pauli,Oladapo Afolayan,3000000.0
FC St. Pauli,Danel Sinani,500000.0
FC St. Pauli,Scott Banks,300000.0
FC St. Pauli,Johannes Eggestein,2000000.0
FC St. Pauli,Etienne Amenyido,500000.0
FC St. Pauli,Simon Zoller,350000.0
FC St. Pauli,Maurides,300000.0
FC St. Pauli,Andreas Albers,300000.0
1.FC Nuremberg,Jan Reichert,400000.0
1.FC Nuremberg,Carl Klaus,350000.0
1.FC Nuremberg,Christian Mathenia,300000.0
1.FC Nuremberg,Nicolas Ortegel,100000.0
1.FC Nuremberg,Finn Jeltsch,5000000.0
1.FC Nuremberg,Jannes Horn,1500000.0
1.FC Nuremberg,Iván Márquez,600000.0
1.FC Nuremberg,Ahmet Gürleyen,500000.0
1.FC Nuremberg,James Lawrence,400000.0
1.FC Nuremberg,Christopher Schindler,200000.0
1.FC Nuremberg,Florian Hübner,200000.0
1.FC Nuremberg,Nathaniel Brown,3000000.0
