Club,Player,Market Value (€)
Real Madrid,Thibaut Courtois,28000000.0
Real Madrid,Andriy Lunin,25000000.0
Real Madrid,Kepa Arrizabalaga,12000000.0
Real Madrid,Lucas Cañizares,400000.0
Real Madrid,Mario de Luis,400000.0
Real Madrid,Diego Piñeiro,50000.0
Real Madrid,Fran González,0.0
Real Madrid,Éder Militão,60000000.0
Real Madrid,Antonio Rüdiger,25000000.0
Real Madrid,David Alaba,20000000.0
Real Madrid,Nacho Fernández,3000000.0
Real Madrid,Jesús Vallejo,1000000.0
Real Madrid,Raúl Asencio,300000.0
Real Madrid,Álvaro Carrillo,300000.0
Real Madrid,Edgar Pujol,250000.0
Real Madrid,Jacobo Ramón,100000.0
Real Madrid,Ferland Mendy,22000000.0
Real Madrid,Fran García,15000000.0
Real Madrid,Youssef Enríquez,0.0
Real Madrid,Daniel Carvajal,12000000.0
Real Madrid,Lucas Vázquez,4000000.0
Real Madrid,Vinícius Tobias,3000000.0
Real Madrid,Álvaro Odriozola,2500000.0
Real Madrid,Lorenzo Aguado,100000.0
Real Madrid,Aurélien Tchouaméni,100000000.0
Real Madrid,Mario Martín,300000.0
Real Madrid,Federico Valverde,120000000.0
Real Madrid,Eduardo Camavinga,100000000.0
Real Madrid,Toni Kroos,10000000.0
Real Madrid,Luka Modric,6000000.0
Real Madrid,Dani Ceballos,6000000.0
Real Madrid,Théo Zidane,300000.0
Real Madrid,Jude Bellingham,180000000.0
Real Madrid,Nico Paz,10000000.0
Real Madrid,Vinicius Junior,180000000.0
Real Madrid,Rodrygo,110000000.0
Real Madrid,Brahim Díaz,40000000.0
Real Madrid,Arda Güler,30000000.0
Real Madrid,Gonzalo García,1000000.0
Real Madrid,Kylian Mbappé,180000000.0
Real Madrid,Endrick,60000000.0
Real Madrid,Joselu,5000000.0
Real Madrid,Álvaro Rodríguez,3500000.0
FC Barcelona,Marc-André ter Stegen,28000000.0
FC Barcelona,Iñaki Peña,8000000.0
FC Barcelona,Ander Astralaga,1000000.0
FC Barcelona,Diego Kochen,100000.0
FC Barcelona,Áron Yaakobishvili,0.0
FC Barcelona,Ronald Araujo,70000000.0
FC Barcelona,Andreas Christensen,40000000.0
FC Barcelona,Pau Cubarsí,30000000.0
FC Barcelona,Eric García,20000000.0
FC Barcelona,Mikayil Faye,10000000.0
FC Barcelona,Iñigo Martínez,5000000.0
FC Barcelona,Alejandro Balde,40000000.0
FC Barcelona,Marcos Alonso,2000000.0
FC Barcelona,Jules Koundé,45000000.0
FC Barcelona,João Cancelo,25000000.0
FC Barcelona,Héctor Fort,10000000.0
FC Barcelona,Marc Casadó,2500000.0
FC Barcelona,Oriol Romeu,2000000.0
FC Barcelona,Pau Prim,500000.0
FC Barcelona,Gavi,90000000.0
FC Barcelona,Pedri,80000000.0
FC Barcelona,Frenkie de Jong,70000000.0
FC Barcelona,Fermín López,30000000.0
FC Barcelona,İlkay Gündoğan,15000000.0
FC Barcelona,Sergi Roberto,2500000.0
FC Barcelona,Unai Hernández,800000.0
FC Barcelona,Aleix Garrido,500000.0
FC Barcelona,Raphinha,50000000.0
FC Barcelona,Ansu Fati,25000000.0
FC Barcelona,Abde Ezzalzouli,9000000.0
FC Barcelona,Ángel Alarcón,300000.0
FC Barcelona,Lamine Yamal,90000000.0
FC Barcelona,Ferran Torres,30000000.0
FC Barcelona,João Félix,30000000.0
FC Barcelona,Vitor Roque,30000000.0
FC Barcelona,Robert Lewandowski,15000000.0
FC Barcelona,Marc Guiu,7500000.0
FC Barcelona,Pau Víctor,1500000.0
Real Sociedad,Álex Remiro,25000000.0
Real Sociedad,Gaizka Ayesa,300000.0
Real Sociedad,Unai Marrero,300000.0
Real Sociedad,Aitor Fraga,200000.0
Real Sociedad,Robin Le Normand,40000000.0
Real Sociedad,Igor Zubeldia,22000000.0
Real Sociedad,Jon Pacheco,15000000.0
Real Sociedad,Aritz Elustondo,5000000.0
Real Sociedad,Jon Martín,2000000.0
Real Sociedad,Kieran Tierney,12000000.0
Real Sociedad,Aihen Muñoz,8000000.0
Real Sociedad,Javi Galán,7000000.0
Real Sociedad,Diego Rico,1500000.0
Real Sociedad,Hamari Traoré,6000000.0
Real Sociedad,Jon Aramburu,2500000.0
Real Sociedad,Álvaro Odriozola,2500000.0
Real Sociedad,Iñaki Rupérez,150000.0
Real Sociedad,Martín Zubimendi,50000000.0
Real Sociedad,Urko González de Zarate,1200000.0
Real Sociedad,Mikel Merino,50000000.0
Real Sociedad,Beñat Turrientes,20000000.0
Real Sociedad,Jon Ander Olasagasti,1200000.0
Real Sociedad,Brais Méndez,40000000.0
Real Sociedad,Arsen Zakharyan,18000000.0
Real Sociedad,Robert Navarro,6000000.0
Real Sociedad,Pablo Marín,1500000.0
Real Sociedad,Jon Magunazelaia,1000000.0
Real Sociedad,Ander Barrenetxea,20000000.0
Real Sociedad,Sheraldo Becker,10000000.0
Real Sociedad,Martín Merquelanz,600000.0
Real Sociedad,Takefusa Kubo,50000000.0
Real Sociedad,Mohamed-Ali Cho,10000000.0
Real Sociedad,Álex Sola,4000000.0
Real Sociedad,Alberto Dadie,250000.0
Real Sociedad,Mikel Oyarzabal,45000000.0
Real Sociedad,Umar Sadiq,10000000.0
Real Sociedad,André Silva,6000000.0
Real Sociedad,Jon Karrikaburu,2500000.0
Real Sociedad,Carlos Fernández,1500000.0
Real Sociedad,Bryan Fiabema,300000.0
Atlético de Madrid,Jan Oblak,28000000.0
Atlético de Madrid,Ivo Grbic,3500000.0
Atlético de Madrid,Horațiu Moldovan,2500000.0
Atlético de Madrid,Antonio Gomis,150000.0
Atlético de Madrid,Sergio Mestre,50000.0
Atlético de Madrid,Mario Hermoso,25000000.0
Atlético de Madrid,José María Giménez,22000000.0
Atlético de Madrid,Çağlar Söyüncü,10000000.0
Atlético de Madrid,Axel Witsel,3500000.0
Atlético de Madrid,Stefan Savic,2500000.0
Atlético de Madrid,César Azpilicueta,2000000.0
Atlético de Madrid,Gabriel Paulista,2000000.0
Atlético de Madrid,Marco Moreno,400000.0
Atlético de Madrid,Ilias Kostis,300000.0
Atlético de Madrid,Reinildo Mandava,9000000.0
Atlético de Madrid,Javi Galán,7000000.0
Atlético de Madrid,Nahuel Molina,28000000.0
Atlético de Madrid,Javier Boñar,500000.0
Atlético de Madrid,Arthur Vermeeren,25000000.0
Atlético de Madrid,Rodrigo De Paul,30000000.0
Atlético de Madrid,Pablo Barrios,25000000.0
Atlético de Madrid,Koke,12000000.0
Atlético de Madrid,Saúl Ñíguez,7500000.0
Atlético de Madrid,Aitor Gismera,250000.0
Atlético de Madrid,Sergio Guerrero,200000.0
Atlético de Madrid,Marcos Llorente,30000000.0
Atlético de Madrid,Thomas Lemar,10000000.0
Atlético de Madrid,Samuel Lino,30000000.0
Atlético de Madrid,Rodrigo Riquelme,25000000.0
Atlético de Madrid,Yannick Carrasco,14000000.0
Atlético de Madrid,Marcos Paulo,2000000.0
Atlético de Madrid,Salim El Jebari,1000000.0
Atlético de Madrid,Vitolo,100000.0
Atlético de Madrid,Rayane Belaid,0.0
Atlético de Madrid,Ángel Correa,18000000.0
Atlético de Madrid,Álex Calatrava,200000.0
Atlético de Madrid,João Félix,30000000.0
Atlético de Madrid,Antoine Griezmann,25000000.0
Atlético de Madrid,Álvaro Morata,16000000.0
Atlético de Madrid,Memphis Depay,10000000.0
Atlético de Madrid,Adrián Niño,500000.0
Atlético de Madrid,Abde Raihani,300000.0
Girona FC,Paulo Gazzaniga,4000000.0
Girona FC,Toni Fuidias,300000.0
Girona FC,Juan Carlos,200000.0
Girona FC,Eric García,20000000.0
Girona FC,Santiago Bueno,8000000.0
Girona FC,Daley Blind,3000000.0
Girona FC,David López,2500000.0
Girona FC,Juanpe,1000000.0
Girona FC,Bernardo Espinosa,550000.0
Girona FC,Eric Monjonell,200000.0
Girona FC,Antal Yaakobishvili,0.0
Girona FC,Miguel Gutiérrez,25000000.0
Girona FC,Yan Couto,25000000.0
Girona FC,Arnau Martínez,10000000.0
Girona FC,Ibrahima Kébé,500000.0
Girona FC,Aleix García,25000000.0
Girona FC,Yangel Herrera,25000000.0
Girona FC,Jhon Solís,3000000.0
Girona FC,Enric García,0.0
Girona FC,Selvi Clua,0.0
Girona FC,Iván Martín,15000000.0
Girona FC,Pablo Torre,3000000.0
Girona FC,Borja García,800000.0
Girona FC,Ricard Artero,0.0
Girona FC,Toni Villa,1500000.0
Girona FC,Alex Almansa,0.0
Girona FC,Juan Arango,0.0
Girona FC,Jastin Garcia,0.0
Girona FC,Savinho,50000000.0
Girona FC,Viktor Tsygankov,30000000.0
Girona FC,Portu,3500000.0
Girona FC,Valery Fernández,2500000.0
Girona FC,Iker Almena,0.0
Girona FC,Manu Vallejo,1500000.0
Girona FC,Artem Dovbyk,35000000.0
Girona FC,Cristhian Stuani,1800000.0
Girona FC,Carles Garrido,50000.0
Athletic Bilbao,Unai Simón,30000000.0
Athletic Bilbao,Julen Agirrezabala,5000000.0
Athletic Bilbao,Álex Padilla,200000.0
Athletic Bilbao,Dani Vivian,25000000.0
Athletic Bilbao,Aitor Paredes,22000000.0
Athletic Bilbao,Yeray Álvarez,8000000.0
Athletic Bilbao,Unai Egiluz,100000.0
Athletic Bilbao,Yuri Berchiche,1800000.0
Athletic Bilbao,Imanol García de Albéniz,1200000.0
Athletic Bilbao,Iñigo Lekue,3000000.0
Athletic Bilbao,Óscar de Marcos,1500000.0
Athletic Bilbao,Hugo Rincón,250000.0
Athletic Bilbao,Mikel Vesga,4000000.0
Athletic Bilbao,Peru Nolaskoain,1000000.0
Athletic Bilbao,Beñat Prados,15000000.0
Athletic Bilbao,Iñigo Ruiz de Galarreta,5000000.0
Athletic Bilbao,Ander Herrera,2000000.0
Athletic Bilbao,Dani García,1800000.0
Athletic Bilbao,Mikel Jauregizar,800000.0
Athletic Bilbao,Oihan Sancet,35000000.0
Athletic Bilbao,Unai Gómez,6000000.0
Athletic Bilbao,Iker Muniain,5000000.0
Athletic Bilbao,Raúl García,1500000.0
Athletic Bilbao,Nico Williams,60000000.0
Athletic Bilbao,Álex Berenguer,12000000.0
Athletic Bilbao,Iñaki Williams,25000000.0
Athletic Bilbao,Adu Ares,2000000.0
Athletic Bilbao,Aingeru Olabarrieta,500000.0
Athletic Bilbao,Gorka Guruzeta,18000000.0
Athletic Bilbao,Asier Villalibre,2500000.0
Athletic Bilbao,Javi Martón,500000.0
Villarreal CF,Filip Jørgensen,20000000.0
Villarreal CF,Iker Álvarez,800000.0
Villarreal CF,Pepe Reina,600000.0
Villarreal CF,Matteo Gabbia,8000000.0
Villarreal CF,Yerson Mosquera,6000000.0
Villarreal CF,Jorge Cuenca,6000000.0
Villarreal CF,Eric Bailly,3000000.0
Villarreal CF,Stefan Leković,1800000.0
Villarreal CF,Aïssa Mandi,1800000.0
Villarreal CF,Raúl Albiol,1500000.0
Villarreal CF,Antonio Espigares,500000.0
Villarreal CF,Abraham del Moral,100000.0
Villarreal CF,Alfonso Pedraza,5000000.0
Villarreal CF,Alberto Moreno,1800000.0
Villarreal CF,Carlos Romero,1500000.0
Villarreal CF,Juan Foyth,15000000.0
Villarreal CF,Adrià Altimira,2000000.0
Villarreal CF,Kiko Femenía,1400000.0
Villarreal CF,Daniel Budesca,0.0
Villarreal CF,Ramón Terrats,4000000.0
Villarreal CF,Étienne Capoue,1500000.0
Villarreal CF,Francis Coquelin,1500000.0
Villarreal CF,Santi Comesaña,6000000.0
Villarreal CF,Dani Parejo,2500000.0
Villarreal CF,Manu Trigueros,1500000.0
Villarreal CF,Dani Requena,400000.0
Villarreal CF,Denis Suárez,1500000.0
Villarreal CF,Álex Baena,40000000.0
Villarreal CF,Gonçalo Guedes,15000000.0
Villarreal CF,Diego Collado,800000.0
Villarreal CF,Yéremy Pino,30000000.0
Villarreal CF,Ilias Akhomach,15000000.0
Villarreal CF,Bertrand Traoré,9000000.0
Villarreal CF,Alexander Sørloth,25000000.0
Villarreal CF,Gerard Moreno,10000000.0
Villarreal CF,Ben Brereton Díaz,8000000.0
Villarreal CF,Álex Forés,1500000.0
Villarreal CF,José Luis Morales,1500000.0
Villarreal CF,Jorge Pascual,1000000.0
Valencia CF,Giorgi Mamardashvili,35000000.0
Valencia CF,Jaume Doménech,800000.0
Valencia CF,Cristian Rivero,200000.0
Valencia CF,Vicent Abril,0.0
Valencia CF,Cristhian Mosquera,30000000.0
Valencia CF,Yarek Gasiorowski,15000000.0
Valencia CF,Cenk Özkacar,4000000.0
Valencia CF,Mouctar Diakhaby,2000000.0
Valencia CF,Gabriel Paulista,2000000.0
Valencia CF,César Tárrega,1500000.0
Valencia CF,Rubén Iranzo,300000.0
Valencia CF,José Gayà,25000000.0
Valencia CF,Jesús Vázquez,3000000.0
Valencia CF,Thierry Correia,6000000.0
Valencia CF,Dimitri Foulquier,2500000.0
Valencia CF,Pepelu,22000000.0
Valencia CF,Hugo Guillamón,8000000.0
Valencia CF,Javi Guerra,20000000.0
Valencia CF,Ali Fadal,100000.0
Valencia CF,Javi Navarro,25000.0
Valencia CF,André Almeida,15000000.0
Valencia CF,Selim Amallah,1500000.0
Valencia CF,Pablo Gozálbez,800000.0
Valencia CF,Martín Tejón,100000.0
Valencia CF,Sergi Canós,2500000.0
Valencia CF,Marco Camus,300000.0
Valencia CF,Diego López,14000000.0
Valencia CF,Fran Pérez,8000000.0
Valencia CF,Peter Federico,3000000.0
Valencia CF,David Otorbi,500000.0
Valencia CF,Hugo González,300000.0
Valencia CF,Hugo Duro,16000000.0
Valencia CF,Roman Yaremchuk,3500000.0
Valencia CF,Alberto Marí,1500000.0
Valencia CF,Mario Dominguez,200000.0
Valencia CF,Joselu Pérez,100000.0
Sevilla FC,Bono,9000000.0
Sevilla FC,Ørjan Nyland,1400000.0
Sevilla FC,Marko Dmitrovic,900000.0
Sevilla FC,Alberto Flores,300000.0
Sevilla FC,Matías Árbol,100000.0
Sevilla FC,Rafael Romero,0.0
Sevilla FC,Loïc Badé,14000000.0
Sevilla FC,Kike Salas,10000000.0
Sevilla FC,Marcão,4000000.0
Sevilla FC,Federico Gattoni,3500000.0
Sevilla FC,Tanguy Nianzou,3000000.0
Sevilla FC,Sergio Ramos,2500000.0
Sevilla FC,Adrià Pedrosa,6000000.0
Sevilla FC,Marcos Acuña,4000000.0
Sevilla FC,Diego Hormigo,200000.0
Sevilla FC,Oso,200000.0
Sevilla FC,Juanlu Sánchez,15000000.0
Sevilla FC,Gonzalo Montiel,10000000.0
Sevilla FC,Jesús Navas,2500000.0
Sevilla FC,Darío Benavides,150000.0
Sevilla FC,Boubakary Soumaré,14000000.0
Sevilla FC,Lucien Agoumé,6000000.0
Sevilla FC,Nemanja Gudelj,3500000.0
Sevilla FC,Fernando,2000000.0
Sevilla FC,Djibril Sow,9000000.0
Sevilla FC,Óliver Torres,6000000.0
Sevilla FC,Joan Jordán,3500000.0
Sevilla FC,Ivan Rakitic,3500000.0
Sevilla FC,Manu Bueno,300000.0
Sevilla FC,Xavi Sintes,200000.0
Sevilla FC,Lulo Dasilva,150000.0
Sevilla FC,Alberto Collado,0.0
Sevilla FC,Hannibal,9000000.0
Sevilla FC,Stanis Idumbo,800000.0
Sevilla FC,Miguel Capitas,200000.0
Sevilla FC,Lucas Ocampos,9000000.0
Sevilla FC,Isra Domínguez,150000.0
Sevilla FC,Papu Gómez,0.0
Sevilla FC,Dodi Lukébakio,12000000.0
Sevilla FC,Suso,4000000.0
Sevilla FC,Jesús Corona,3500000.0
Sevilla FC,Erik Lamela,2000000.0
Sevilla FC,Adnan Januzaj,2000000.0
Sevilla FC,Youssef En-Nesyri,20000000.0
Sevilla FC,Isaac Romero,18000000.0
Sevilla FC,Alejo Veliz,9000000.0
Sevilla FC,Rafa Mir,2500000.0
Sevilla FC,Mariano Díaz,1500000.0
Sevilla FC,Ibra Sow,200000.0
Real Betis Balompié,Rui Silva,8000000.0
Real Betis Balompié,Claudio Bravo,800000.0
Real Betis Balompié,Fran Vieites,500000.0
Real Betis Balompié,Guilherme Fernandes,150000.0
Real Betis Balompié,Germán García,25000.0
Real Betis Balompié,Chadi Riad,15000000.0
Real Betis Balompié,Luiz Felipe,13000000.0
Real Betis Balompié,Germán Pezzella,3000000.0
Real Betis Balompié,Nobel Mendy,1000000.0
Real Betis Balompié,Marc Bartra,1000000.0
Real Betis Balompié,Sokratis Papastathopoulos,700000.0
Real Betis Balompié,Ricardo Visus,150000.0
Real Betis Balompié,Juan Miranda,9000000.0
Real Betis Balompié,Abner,7000000.0
Real Betis Balompié,Xavi Pleguezuelo,100000.0
Real Betis Balompié,Héctor Bellerín,4000000.0
Real Betis Balompié,Aitor Ruibal,3500000.0
Real Betis Balompié,Youssouf Sabaly,2500000.0
Real Betis Balompié,Pablo Busto,500000.0
Real Betis Balompié,Johnny Cardoso,25000000.0
Real Betis Balompié,Guido Rodríguez,20000000.0
Real Betis Balompié,Marc Roca,9000000.0
Real Betis Balompié,William Carvalho,3000000.0
Real Betis Balompié,Paul Akouokou,1500000.0
Real Betis Balompié,Sergi Altimira,2500000.0
Real Betis Balompié,Andrés Guardado,1000000.0
Real Betis Balompié,Ginés Sorroche,300000.0
Real Betis Balompié,Quique Fernández,150000.0
Real Betis Balompié,Pablo Fornals,14000000.0
Real Betis Balompié,Nabil Fekir,10000000.0
Real Betis Balompié,Isco,8000000.0
Real Betis Balompié,Dani Pérez,500000.0
Real Betis Balompié,Abde Ezzalzouli,9000000.0
Real Betis Balompié,Juan Cruz,1500000.0
Real Betis Balompié,Luiz Henrique,12000000.0
Real Betis Balompié,Assane Diao,12000000.0
Real Betis Balompié,Rodri Sánchez,3000000.0
Real Betis Balompié,Ayoze Pérez,7000000.0
Real Betis Balompié,Borja Iglesias,5000000.0
Real Betis Balompié,Willian José,5000000.0
Real Betis Balompié,Chimy Ávila,3000000.0
Real Betis Balompié,Cédric Bakambu,2500000.0
Celta de Vigo,Iván Villar,1200000.0
Celta de Vigo,Agustín Marchesín,800000.0
Celta de Vigo,Vicente Guaita,800000.0
Celta de Vigo,Coke Carrillo,200000.0
Celta de Vigo,César Fernández,200000.0
Celta de Vigo,Ruly García,150000.0
Celta de Vigo,Unai Núñez,7000000.0
Celta de Vigo,Carl Starfelt,6000000.0
Celta de Vigo,Joseph Aidoo,4000000.0
Celta de Vigo,Carlos Domínguez,3000000.0
Celta de Vigo,Javi Rodríguez,250000.0
Celta de Vigo,Yoel Lago,200000.0
Celta de Vigo,Javi Domínguez,150000.0
Celta de Vigo,Manu Sánchez,8000000.0
Celta de Vigo,Mihailo Ristic,1000000.0
Celta de Vigo,Joel López,200000.0
Celta de Vigo,Óscar Mingueza,8000000.0
Celta de Vigo,Javier Manquillo,1800000.0
Celta de Vigo,Kevin Vázquez,800000.0
Celta de Vigo,Javi Rueda,250000.0
Celta de Vigo,Renato Tapia,5000000.0
Celta de Vigo,Jailson,1500000.0
Celta de Vigo,Damián Rodríguez,500000.0
Celta de Vigo,Fran Beltrán,6000000.0
Celta de Vigo,Luca de la Torre,3000000.0
Celta de Vigo,Hugo Sotelo,2500000.0
Celta de Vigo,Carlos Dotor,2000000.0
Celta de Vigo,Gabri Veiga,25000000.0
Celta de Vigo,Jonathan Bamba,9000000.0
Celta de Vigo,Williot Swedberg,5000000.0
Celta de Vigo,Hugo Álvarez,1500000.0
Celta de Vigo,Franco Cervi,1500000.0
Celta de Vigo,Tadeo Allende,4000000.0
Celta de Vigo,Carles Pérez,2500000.0
Celta de Vigo,Miguel Rodríguez,800000.0
Celta de Vigo,Jørgen Strand Larsen,25000000.0
Celta de Vigo,Anastasios Douvikas,6000000.0
Celta de Vigo,Iago Aspas,3000000.0
Celta de Vigo,Gonçalo Paciência,1500000.0
Granada CF,Augusto Batalla,5000000.0
Granada CF,André Ferreira,800000.0
Granada CF,Marc Martínez,300000.0
Granada CF,Adri López,200000.0
Granada CF,Raúl Fernández,200000.0
Granada CF,Pol Tristán,100000.0
Granada CF,Fran Árbol,0.0
Granada CF,Bruno Méndez,5000000.0
Granada CF,Raúl Torrente,3000000.0
Granada CF,Kamil Piatkowski,2500000.0
Granada CF,Miguel Rubio,1500000.0
Granada CF,Ignasi Miquel,1200000.0
Granada CF,Jesús Vallejo,1000000.0
Granada CF,Miki Bosch,100000.0
Granada CF,Álvaro Carreras,7000000.0
Granada CF,Faitout Maouassa,4000000.0
Granada CF,Carlos Neva,2500000.0
Granada CF,Miguel Ángel Brau,150000.0
Granada CF,Ricard Sánchez,2500000.0
Granada CF,Wilson Manafá,1300000.0
Granada CF,Víctor Díaz,400000.0
Granada CF,Gerard Gumbau,3000000.0
Granada CF,Martin Hongla,2500000.0
Granada CF,Njegos Petrovic,2500000.0
Granada CF,Gonzalo Villar,3000000.0
Granada CF,Sergio Ruiz,2000000.0
Granada CF,Lass Sangaré,150000.0
Granada CF,Óscar Melendo,2000000.0
Granada CF,Mario González,150000.0
Granada CF,Bryan Zaragoza,12000000.0
Granada CF,Myrto Uzuni,8000000.0
Granada CF,Kamil Jóźwiak,2000000.0
Granada CF,Alberto Perea,450000.0
Granada CF,Sergio Rodelas,200000.0
Granada CF,Facundo Pellistri,8000000.0
Granada CF,Antonio Puertas,2000000.0
Granada CF,Theo Corbeanu,1500000.0
Granada CF,José Callejón,800000.0
Granada CF,Alberto Soro,700000.0
Granada CF,Pablo Sáenz,150000.0
Granada CF,Samu Aghehowa,35000000.0
Granada CF,Lucas Boyé,7000000.0
Granada CF,Matías Arezo,7000000.0
Granada CF,Shon Weissman,1700000.0
Granada CF,Famara Diédhiou,500000.0
Granada CF,Eghosa Bello,50000.0
Getafe CF,David Soria,5000000.0
Getafe CF,Daniel Fuzato,900000.0
Getafe CF,Jorge Benito,25000.0
Getafe CF,Djordjije Medenica,0.0
Getafe CF,Gastón Álvarez,15000000.0
Getafe CF,Omar Alderete,5000000.0
Getafe CF,Djené,2500000.0
Getafe CF,Domingos Duarte,2000000.0
Getafe CF,Stefan Mitrovic,1300000.0
Getafe CF,Nabil Aberdin,100000.0
Getafe CF,Sergio Gimeno,50000.0
Getafe CF,Diego Rico,1500000.0
Getafe CF,Fabrizio Angileri,1000000.0
Getafe CF,Jordi Martín,600000.0
Getafe CF,Gorka Rivera,100000.0
Getafe CF,Alejandro Herranz,25000.0
Getafe CF,José Ángel Carmona,3500000.0
Getafe CF,Juan Iglesias,2500000.0
Getafe CF,Damián Suárez,650000.0
Getafe CF,Nemanja Maksimovic,6000000.0
Getafe CF,Mauro Arambarri,5000000.0
Getafe CF,Luis Milla,3500000.0
Getafe CF,Carles Aleñá,3000000.0
Getafe CF,Ilaix Moriba,3000000.0
Getafe CF,Yellu Santiago,1000000.0
Getafe CF,John Patrick,200000.0
Getafe CF,Facu Esnáider,100000.0
Getafe CF,Óscar Rodríguez,2500000.0
Getafe CF,Santi García,200000.0
Getafe CF,Diego López,100000.0
Getafe CF,Alberto Risco,0.0
Getafe CF,Jeremy Jorge,200000.0
Getafe CF,Yassin Tallal,50000.0
Getafe CF,Mason Greenwood,25000000.0
Getafe CF,Portu,3500000.0
Getafe CF,Enes Ünal,18000000.0
Getafe CF,Borja Mayoral,15000000.0
Getafe CF,Juanmi Latasa,2800000.0
Getafe CF,Choco Lozano,1200000.0
Getafe CF,Jaime Mata,900000.0
Deportivo Alavés,Antonio Sivera,6000000.0
Deportivo Alavés,Jesús Owono,1000000.0
Deportivo Alavés,Adrián Rodríguez,150000.0
Deportivo Alavés,Gaizka García,100000.0
Deportivo Alavés,Rubén Montero,0.0
Deportivo Alavés,Abdel Abqar,7500000.0
Deportivo Alavés,Rafa Marín,7500000.0
Deportivo Alavés,Nikola Maras,1200000.0
Deportivo Alavés,Aleksandar Sedlar,400000.0
Deportivo Alavés,Álvaro García,150000.0
Deportivo Alavés,Javi López,7500000.0
Deportivo Alavés,Rubén Duarte,3000000.0
Deportivo Alavés,Victor Parada,200000.0
Deportivo Alavés,Eneko Ortiz,150000.0
Deportivo Alavés,Andoni Gorosabel,5000000.0
Deportivo Alavés,Nahuel Tenaglia,2000000.0
Deportivo Alavés,Egoitz Muñoz,200000.0
Deportivo Alavés,Joseda Álvarez,100000.0
Deportivo Alavés,Antonio Blanco,7500000.0
Deportivo Alavés,Carlos Protesoni,1500000.0
Deportivo Alavés,Ander Guevara,5000000.0
Deportivo Alavés,Jon Guridi,4000000.0
Deportivo Alavés,Tomás Mendes,200000.0
Deportivo Alavés,Selu Diallo,200000.0
Deportivo Alavés,Ianis Hagi,2000000.0
Deportivo Alavés,Ander Sánchez,100000.0
Deportivo Alavés,Luis Rioja,4000000.0
Deportivo Alavés,Abde Rebbach,800000.0
Deportivo Alavés,José de León,200000.0
Deportivo Alavés,Álex Sola,4000000.0
Deportivo Alavés,Carlos Vicente,4000000.0
Deportivo Alavés,Giuliano Simeone,3000000.0
Deportivo Alavés,Xeber Alkain,1500000.0
Deportivo Alavés,Unai Ropero,500000.0
Deportivo Alavés,Samu Aghehowa,35000000.0
Deportivo Alavés,Miguel de la Fuente,2500000.0
Deportivo Alavés,Jon Karrikaburu,2500000.0
Deportivo Alavés,Mamadou Sylla,1500000.0
Deportivo Alavés,Kike García,1000000.0
Deportivo Alavés,Joaquín Panichelli,300000.0
Deportivo Alavés,Giorgi Gagua,250000.0
UD Las Palmas,Álvaro Valles,12000000.0
UD Las Palmas,Aarón Escandell,1000000.0
UD Las Palmas,Ale Gorrin,0.0
UD Las Palmas,Álvaro Killane,0.0
UD Las Palmas,Mika Mármol,15000000.0
UD Las Palmas,Saúl Coco,8000000.0
UD Las Palmas,Alex Suárez,1200000.0
UD Las Palmas,Juanma Herzog,1000000.0
UD Las Palmas,Eric Curbelo,800000.0
UD Las Palmas,Sergi Cardona,6000000.0
UD Las Palmas,Daley Sinkgraven,1000000.0
UD Las Palmas,Gabriel Palmero,0.0
UD Las Palmas,Julián Araujo,8000000.0
UD Las Palmas,Marvin Park,2000000.0
UD Las Palmas,Álvaro Lemos,700000.0
UD Las Palmas,Máximo Perrone,9000000.0
UD Las Palmas,Nuke Mfulu,700000.0
UD Las Palmas,Enzo Loiodice,4000000.0
UD Las Palmas,Javi Muñoz,3000000.0
UD Las Palmas,José Campaña,1500000.0
UD Las Palmas,Fabio González,500000.0
UD Las Palmas,Iñaki González,0.0
UD Las Palmas,Aboubacar Bassinga,0.0
UD Las Palmas,Alberto Moleiro,15000000.0
UD Las Palmas,Kirian Rodríguez,12000000.0
UD Las Palmas,Jonathan Viera,1000000.0
UD Las Palmas,Yadam Santana,0.0
UD Las Palmas,Benito Ramírez,600000.0
UD Las Palmas,Munir El Haddadi,2500000.0
UD Las Palmas,Pejiño,1200000.0
UD Las Palmas,Sandro Ramírez,1500000.0
UD Las Palmas,Sory Kaba,1500000.0
UD Las Palmas,Marc Cardona,1400000.0
UD Las Palmas,Cristian Herrera,300000.0
UD Las Palmas,Pau Ferrer,0.0
CA Osasuna,Sergio Herrera,6000000.0
CA Osasuna,Aitor Fernández,1800000.0
CA Osasuna,Pablo Valencia,200000.0
CA Osasuna,Dimitrios Stamatakis,200000.0
CA Osasuna,David García,10000000.0
CA Osasuna,Jorge Herrando,6000000.0
CA Osasuna,Alejandro Catena,4000000.0
CA Osasuna,Unai García,1200000.0
CA Osasuna,Jorge Moreno,500000.0
CA Osasuna,Juan Cruz,2200000.0
CA Osasuna,Johan Mojica,2200000.0
CA Osasuna,Jesús Areso,7500000.0
CA Osasuna,Rubén Peña,2200000.0
CA Osasuna,Nacho Vidal,2000000.0
CA Osasuna,Iker Muñoz,5000000.0
CA Osasuna,Lucas Torró,4000000.0
CA Osasuna,Jon Moncayola,7000000.0
CA Osasuna,Pablo Ibáñez,2500000.0
CA Osasuna,Darko Brasanac,1400000.0
CA Osasuna,Aimar Oroz,15000000.0
