Club,Player,Market Value (€)
RCD Espanyol Barcelona,Fernando Pacheco,2000000.0
RCD Espanyol Barcelona,Joan García,800000.0
RCD Espanyol Barcelona,Ángel Fortuño,300000.0
RCD Espanyol Barcelona,Iker Venteo,25000.0
RCD Espanyol Barcelona,Llorenç Serred,0.0
RCD Espanyol Barcelona,Fernando Calero,1800000.0
RCD Espanyol Barcelona,Leandro Cabrera,1200000.0
RCD Espanyol Barcelona,Sergi Gómez,1000000.0
RCD Espanyol Barcelona,Víctor Ruiz,500000.0
RCD Espanyol Barcelona,José Luis Català,150000.0
RCD Espanyol Barcelona,Ángel Gómez,150000.0
RCD Espanyol Barcelona,Alejandro Pérez,100000.0
RCD Espanyol Barcelona,Ramon,2500000.0
RCD Espanyol Barcelona,Brian Oliván,2500000.0
RCD Espanyol Barcelona,Joan Puig,150000.0
RCD Espanyol Barcelona,Ian Forns,150000.0
RCD Espanyol Barcelona,Omar El Hilali,2000000.0
RCD Espanyol Barcelona,Óscar Gil,800000.0
RCD Espanyol Barcelona,Rubén Sánchez,700000.0
RCD Espanyol Barcelona,Marc Jurado,150000.0
RCD Espanyol Barcelona,Pau Casadesús,100000.0
RCD Espanyol Barcelona,Keidi Bare,3000000.0
RCD Espanyol Barcelona,Álvaro Aguado,2800000.0
RCD Espanyol Barcelona,José Gragera,2500000.0
RCD Espanyol Barcelona,Edu Expósito,2500000.0
RCD Espanyol Barcelona,Pol Lozano,2000000.0
RCD Espanyol Barcelona,Roger Martínez,400000.0
RCD Espanyol Barcelona,Rafel Bauzà,150000.0
RCD Espanyol Barcelona,Nico Melamed,4000000.0
RCD Espanyol Barcelona,Javi Hernández,500000.0
RCD Espanyol Barcelona,Javi Puado,8000000.0
RCD Espanyol Barcelona,Pere Milla,2400000.0
RCD Espanyol Barcelona,Landry Dimata,1800000.0
RCD Espanyol Barcelona,José Carlos Lazo,1500000.0
RCD Espanyol Barcelona,Keita Baldé,1200000.0
RCD Espanyol Barcelona,Kenneth Soler,200000.0
RCD Espanyol Barcelona,Jofre Carreras,1800000.0
RCD Espanyol Barcelona,Salvi Sánchez,1200000.0
RCD Espanyol Barcelona,Antoniu Roca,200000.0
RCD Espanyol Barcelona,Martin Braithwaite,3200000.0
RCD Espanyol Barcelona,Gastón Valles,400000.0
RCD Espanyol Barcelona,Omar Sadik,300000.0
RCD Espanyol Barcelona,Nabil Touaizi,200000.0
RCD Espanyol Barcelona,Sergio Rivarés,100000.0
Real Valladolid CF,John Victor,1500000.0
Real Valladolid CF,André Ferreira,800000.0
Real Valladolid CF,Jordi Masip,700000.0
Real Valladolid CF,Álvaro Aceves,600000.0
Real Valladolid CF,Arnau Rafús,150000.0
Real Valladolid CF,Sergio Asenjo,0.0
Real Valladolid CF,Enzo Boyomo,3000000.0
Real Valladolid CF,Lucas Oliveira,2000000.0
Real Valladolid CF,Javi Sánchez,1500000.0
Real Valladolid CF,César Tárrega,1500000.0
Real Valladolid CF,David Torres,1000000.0
Real Valladolid CF,Gustavo Henrique,1000000.0
Real Valladolid CF,Víctor Rofino,200000.0
Real Valladolid CF,Sergio Escudero,800000.0
Real Valladolid CF,Iván Garriel,200000.0
Real Valladolid CF,Luis Pérez,1600000.0
Real Valladolid CF,Lucas Rosa,1200000.0
Real Valladolid CF,Koke Iglesias,200000.0
Real Valladolid CF,Stanko Juric,2200000.0
Real Valladolid CF,César de la Hoz,1000000.0
