Club,Player,Market Value (€)
CA River Plate,Conan Ledesma,4500000.0
CA River Plate,Franco Armani,900000.0
CA River Plate,Lucas Martínez Quarta,10000000.0
CA River Plate,Paulo Díaz,5500000.0
CA River Plate,Federico Gattoni,3000000.0
CA River Plate,Germán Pezzella,2700000.0
CA River Plate,Leandro González Pírez,800000.0
CA River Plate,Ramiro Funes Mori,200000.0
CA River Plate,Marcos Acuña,3500000.0
CA River Plate,Milton Casco,150000.0
CA River Plate,Fabricio Bustos,6500000.0
CA River Plate,Gonzalo Montiel,5000000.0
CA River Plate,Rodrigo Villagra,5500000.0
CA River Plate,Matías Kranevitter,1200000.0
CA River Plate,Enzo Pérez,450000.0
CA River Plate,Giuliano Galoppo,5000000.0
CA River Plate,Rodrigo Aliendro,1000000.0
CA River Plate,Santiago Simón,5500000.0
CA River Plate,Franco Mastantuono,15000000.0
CA River Plate,Sebastián Driussi,6000000.0
CA River Plate,Matías Rojas,4000000.0
CA River Plate,Gonzalo Martínez,2000000.0
CA River Plate,Manuel Lanzini,1800000.0
CA River Plate,Nacho Fernández,1300000.0
CA River Plate,Maximiliano Meza,4000000.0
CA River Plate,Gonzalo Tapia,2000000.0
CA River Plate,Ian Subiabre,1200000.0
CA River Plate,Facundo Colidio,6000000.0
CA River Plate,Miguel Borja,4500000.0
CA River Plate,Agustín Ruberto,3000000.0
CA Boca Juniors,Leandro Brey,2000000.0
CA Boca Juniors,Agustín Marchesín,700000.0
CA Boca Juniors,Sergio Romero,300000.0
CA Boca Juniors,Javier García,25000.0
CA Boca Juniors,Ayrton Costa,3000000.0
CA Boca Juniors,Nicolás Figal,1800000.0
CA Boca Juniors,Lautaro Di Lollo,1000000.0
CA Boca Juniors,Cristian Lema,700000.0
CA Boca Juniors,Marcos Rojo,500000.0
CA Boca Juniors,Lautaro Blanco,3800000.0
CA Boca Juniors,Marcelo Saracchi,1800000.0
CA Boca Juniors,Frank Fabra,250000.0
CA Boca Juniors,Juan Barinaga,4000000.0
CA Boca Juniors,Lucas Blondel,2200000.0
CA Boca Juniors,Luis Advíncula,500000.0
CA Boca Juniors,Tomás Belmonte,5000000.0
CA Boca Juniors,Ignacio Miramón,2500000.0
CA Boca Juniors,Rodrigo Battaglia,1000000.0
CA Boca Juniors,Esteban Rolón,750000.0
CA Boca Juniors,Milton Delgado,500000.0
CA Boca Juniors,Camilo Rey Domenech,0.0
CA Boca Juniors,Williams Alarcón,6500000.0
CA Boca Juniors,Ander Herrera,1500000.0
CA Boca Juniors,Simón Rivero,800000.0
CA Boca Juniors,Carlos Palacios,3000000.0
CA Boca Juniors,Agustín Martegani,1700000.0
CA Boca Juniors,Kevin Zenón,10000000.0
CA Boca Juniors,Exequiel Zeballos,6000000.0
CA Boca Juniors,Brian Aguirre,6000000.0
CA Boca Juniors,Alan Velasco,4000000.0
CA Boca Juniors,Lucas Janson,1000000.0
CA Boca Juniors,Miguel Merentiel,7000000.0
CA Boca Juniors,Milton Giménez,3500000.0
CA Boca Juniors,Edinson Cavani,1000000.0
CA Boca Juniors,Nicolás Orsini,700000.0
Racing Club,Facundo Cambeses,2200000.0
Racing Club,Gastón Gómez,1000000.0
Racing Club,Gabriel Arias,800000.0
Racing Club,Marco Di Césare,8000000.0
Racing Club,Santiago Sosa,7000000.0
Racing Club,Nazareno Colombo,2500000.0
Racing Club,Santiago Quirós,1300000.0
Racing Club,Agustín García Basso,1000000.0
Racing Club,Germán Conti,350000.0
Racing Club,Gabriel Rojas,3000000.0
Racing Club,Fabián Sánchez,200000.0
Racing Club,Fernando Prado,50000.0
Racing Club,Gastón Martirena,5000000.0
Racing Club,Facundo Mura,2000000.0
Racing Club,Bruno Zuculini,700000.0
Racing Club,Tiago Banega,125000.0
