Club,Player,Market Value (€)
Paris Saint-Germain,Gianluigi Donnarumma,40000000.0
Paris Saint-Germain,Arnau Tenas,5000000.0
Paris Saint-Germain,Keylor Navas,1500000.0
Paris Saint-Germain,Sergio Rico,1500000.0
Paris Saint-Germain,Alexandre Letellier,250000.0
Paris Saint-Germain,Louis Mouquet,0.0
Paris Saint-Germain,Marquinhos,50000000.0
Paris Saint-Germain,Lucas Beraldo,30000000.0
Paris Saint-Germain,Milan Skriniar,30000000.0
Paris Saint-Germain,Presnel Kimpembe,12000000.0
Paris Saint-Germain,Danilo Pereira,8000000.0
Paris Saint-Germain,Joane Gadou,500000.0
Paris Saint-Germain,Nuno Mendes,55000000.0
Paris Saint-Germain,Lucas Hernández,40000000.0
Paris Saint-Germain,Layvin Kurzawa,1800000.0
Paris Saint-Germain,Serif Nhaga,0.0
Paris Saint-Germain,Achraf Hakimi,60000000.0
Paris Saint-Germain,Nordi Mukiele,10000000.0
Paris Saint-Germain,Yoram Zague,2500000.0
Paris Saint-Germain,Manuel Ugarte,45000000.0
Paris Saint-Germain,Warren Zaïre-Emery,60000000.0
Paris Saint-Germain,Vitinha,50000000.0
Paris Saint-Germain,Fabián Ruiz,30000000.0
Paris Saint-Germain,Carlos Soler,20000000.0
Paris Saint-Germain,Senny Mayulu,5000000.0
Paris Saint-Germain,Cher Ndour,4000000.0
Paris Saint-Germain,Ethan Mbappé,1500000.0
Paris Saint-Germain,Bradley Barcola,50000000.0
Paris Saint-Germain,Ismaël Gharbi,7500000.0
Paris Saint-Germain,Ousmane Dembélé,60000000.0
Paris Saint-Germain,Kang-in Lee,25000000.0
Paris Saint-Germain,Marco Asensio,20000000.0
Paris Saint-Germain,Kylian Mbappé,180000000.0
Paris Saint-Germain,Gonçalo Ramos,50000000.0
Paris Saint-Germain,Randal Kolo Muani,45000000.0
Paris Saint-Germain,Hugo Ekitiké,20000000.0
AS Monaco,Radoslaw Majecki,5000000.0
AS Monaco,Philipp Köhn,5000000.0
AS Monaco,Yann Lienard,200000.0
AS Monaco,Wilfried Singo,25000000.0
AS Monaco,Mohammed Salisu,15000000.0
AS Monaco,Guillermo Maripán,10000000.0
AS Monaco,Thilo Kehrer,10000000.0
AS Monaco,Chrislain Matsima,7000000.0
AS Monaco,Ritchy Valme,200000.0
AS Monaco,Caio Henrique,20000000.0
AS Monaco,Ismail Jakobs,8000000.0
AS Monaco,Kassoum Ouattara,8000000.0
AS Monaco,Antonin Cartillier,200000.0
AS Monaco,Vanderson,20000000.0
AS Monaco,Ruben Aguilar,5000000.0
AS Monaco,Nazim Babaï,100000.0
AS Monaco,Aurélien Platret,100000.0
AS Monaco,Youssouf Fofana,30000000.0
AS Monaco,Denis Zakaria,25000000.0
AS Monaco,Mohamed Camara,20000000.0
AS Monaco,Soungoutou Magassa,8000000.0
AS Monaco,Eliot Matazo,5000000.0
AS Monaco,Edan Diop,2000000.0
AS Monaco,Mamadou Coulibaly,300000.0
AS Monaco,Mayssam Benama,150000.0
AS Monaco,Aleksandr Golovin,30000000.0
AS Monaco,Félix Lemaréchal,5000000.0
AS Monaco,Saïmon Bouabré,200000.0
AS Monaco,Takumi Minamino,20000000.0
AS Monaco,Eliesse Ben Seghir,15000000.0
AS Monaco,Lucas Michal,100000.0
AS Monaco,Maghnes Akliouche,25000000.0
AS Monaco,Krépin Diatta,12000000.0
AS Monaco,Gelson Martins,2500000.0
AS Monaco,Malamine Efekele,500000.0
AS Monaco,Folarin Balogun,30000000.0
AS Monaco,Breel Embolo,12000000.0
AS Monaco,Wissam Ben Yedder,8000000.0
AS Monaco,Myron Boadu,5000000.0
AS Monaco,Kevin Volland,4000000.0
Stade Rennais FC,Gauthier Gallon,1200000.0
Stade Rennais FC,Steve Mandanda,800000.0
Stade Rennais FC,Geoffrey Lembet,150000.0
Stade Rennais FC,Yann Batola,0.0
Stade Rennais FC,Arthur Theate,20000000.0
Stade Rennais FC,Jeanuël Belocian,10000000.0
Stade Rennais FC,Alidu Seidu,9000000.0
Stade Rennais FC,Warmed Omari,8000000.0
Stade Rennais FC,Christopher Wooh,6000000.0
Stade Rennais FC,Mohamed Jaouab,600000.0
Stade Rennais FC,Jérémy Jacquet,500000.0
Stade Rennais FC,Adrien Truffert,18000000.0
Stade Rennais FC,Birger Meling,3500000.0
Stade Rennais FC,Mahamadou Nagida,500000.0
Stade Rennais FC,Lorenz Assignon,10000000.0
Stade Rennais FC,Guéla Doué,7000000.0
Stade Rennais FC,Rayan Bamba,0.0
Stade Rennais FC,Azor Matusiwa,12000000.0
Stade Rennais FC,Baptiste Santamaria,10000000.0
Stade Rennais FC,Nemanja Matic,3000000.0
Stade Rennais FC,Benjamin Bourigeaud,18000000.0
Stade Rennais FC,Enzo Le Fée,18000000.0
Stade Rennais FC,Flavien Tait,2000000.0
Stade Rennais FC,Djaoui Cissé,100000.0
Stade Rennais FC,Lovro Majer,20000000.0
Stade Rennais FC,Jérémy Doku,65000000.0
Stade Rennais FC,Désiré Doué,30000000.0
Stade Rennais FC,Martin Terrier,20000000.0
Stade Rennais FC,Ibrahim Salah,4000000.0
Stade Rennais FC,Ludovic Blas,15000000.0
Stade Rennais FC,Fabian Rieder,8000000.0
Stade Rennais FC,Amine Gouiri,25000000.0
Stade Rennais FC,Arnaud Kalimuendo,20000000.0
Stade Rennais FC,Matthis Abline,6000000.0
Stade Rennais FC,Bertuğ Yıldırım,3500000.0
Stade Rennais FC,Mathis Lambourde,500000.0
LOSC Lille,Lucas Chevalier,25000000.0
LOSC Lille,Lisandru Olmeta,200000.0
LOSC Lille,Vito Mannone,200000.0
LOSC Lille,Adam Jakubech,200000.0
LOSC Lille,Tom Negrel,0.0
LOSC Lille,Mohamed-Amine Ezzarhouni,0.0
LOSC Lille,Leny Yoro,50000000.0
LOSC Lille,Bafodé Diakité,18000000.0
LOSC Lille,Tiago Djaló,12000000.0
LOSC Lille,Alexsandro,8000000.0
LOSC Lille,Samuel Umtiti,2500000.0
LOSC Lille,Rafael Fernandes,1500000.0
LOSC Lille,Ousmane Touré,50000.0
LOSC Lille,Gabriel Gudmundsson,5000000.0
LOSC Lille,Ismaily,1800000.0
LOSC Lille,Vincent Burlet,0.0
LOSC Lille,Tiago Santos,15000000.0
LOSC Lille,Akim Zedadka,2000000.0
LOSC Lille,Carlos Baleba,22000000.0
LOSC Lille,Nabil Bentaleb,10000000.0
LOSC Lille,Benjamin André,8000000.0
LOSC Lille,Ignacio Miramón,2500000.0
LOSC Lille,Lilian Baret,0.0
LOSC Lille,Ayyoub Bouaddi,6000000.0
LOSC Lille,Angel Gomes,25000000.0
LOSC Lille,Yusuf Yazıcı,10000000.0
LOSC Lille,Hákon Arnar Haraldsson,9000000.0
LOSC Lille,Rémy Cabella,3500000.0
LOSC Lille,Adame Faïz,0.0
LOSC Lille,Alan Virginius,3500000.0
LOSC Lille,Tiago Morais,3000000.0
LOSC Lille,Ivan Cavaleiro,2000000.0
LOSC Lille,Aaron Malouda,150000.0
LOSC Lille,Joffrey Bazié,100000.0
LOSC Lille,Edon Zhegrova,25000000.0
LOSC Lille,Adam Ounas,4000000.0
