Club,Player,Market Value (€)
SL Benfica,Anatoliy Trubin,25000000.0
SL Benfica,Odysseas Vlachodimos,7000000.0
SL Benfica,Samuel Soares,3000000.0
SL Benfica,André Gomes,2000000.0
SL Benfica,Leo Kokubo,750000.0
SL Benfica,António Silva,45000000.0
SL Benfica,Morato,15000000.0
SL Benfica,Tomás Araújo,7000000.0
SL Benfica,João Victor,5000000.0
SL Benfica,Adrian Bajrami,1500000.0
SL Benfica,Gustavo Marques,1400000.0
SL Benfica,Nicolás Otamendi,1000000.0
SL Benfica,David Jurásek,8000000.0
SL Benfica,Álvaro Carreras,7000000.0
SL Benfica,Juan Bernat,4000000.0
SL Benfica,Mihailo Ristic,1000000.0
SL Benfica,Alexander Bah,13000000.0
SL Benfica,Diogo Spencer,750000.0
SL Benfica,João Neves,55000000.0
SL Benfica,Florentino,20000000.0
SL Benfica,Orkun Kökçü,27000000.0
SL Benfica,Fredrik Aursnes,20000000.0
SL Benfica,João Mário,4000000.0
SL Benfica,Diogo Prioste,1200000.0
SL Benfica,Chiquinho,4000000.0
SL Benfica,Hugo Félix,1700000.0
SL Benfica,João Rego,1500000.0
SL Benfica,Gonçalo Guedes,15000000.0
SL Benfica,Andreas Schjelderup,10000000.0
SL Benfica,David Neres,25000000.0
SL Benfica,Gianluca Prestianni,10000000.0
SL Benfica,Benjamín Rollheiser,10000000.0
SL Benfica,Tiago Gouveia,5000000.0
SL Benfica,Ángel Di María,3000000.0
SL Benfica,Gerson Sousa,1300000.0
SL Benfica,Rafa,14000000.0
SL Benfica,Marcos Leonardo,25000000.0
SL Benfica,Arthur Cabral,14000000.0
SL Benfica,Petar Musa,8000000.0
SL Benfica,Casper Tengstedt,5000000.0
SL Benfica,Gustavo Varela,500000.0
Sporting CP,Franco Israel,3500000.0
Sporting CP,Diego Callai,1000000.0
Sporting CP,Antonio Adán,500000.0
Sporting CP,Diogo Pinto,500000.0
Sporting CP,Francisco Silva,0.0
Sporting CP,Gonçalo Inácio,45000000.0
Sporting CP,Ousmane Diomande,40000000.0
Sporting CP,Jerry St. Juste,8000000.0
Sporting CP,Eduardo Quaresma,8000000.0
Sporting CP,Sebastián Coates,3500000.0
Sporting CP,Rafael Pontelo,700000.0
Sporting CP,João Muniz,500000.0
Sporting CP,Chico Lamba,500000.0
Sporting CP,Luís Neto,100000.0
Sporting CP,Matheus Reis,8000000.0
Sporting CP,Iván Fresneda,9000000.0
Sporting CP,Ricardo Esgaio,3000000.0
Sporting CP,Travassos,0.0
Sporting CP,Morten Hjulmand,40000000.0
Sporting CP,Dário Essugo,3500000.0
Sporting CP,Hidemasa Morita,15000000.0
Sporting CP,Daniel Bragança,8000000.0
Sporting CP,Mateus Fernandes,8000000.0
Sporting CP,Koba Koindredi,3000000.0
Sporting CP,Miguel Menino,0.0
Sporting CP,Nuno Santos,14000000.0
Sporting CP,Pedro Gonçalves,32000000.0
Sporting CP,Jovane Cabral,2500000.0
Sporting CP,Afonso Moreira,400000.0
Sporting CP,Mamede,0.0
Sporting CP,Marcus Edwards,20000000.0
Sporting CP,Trincão,20000000.0
Sporting CP,Geny Catamo,10000000.0
Sporting CP,Rafael Camacho,1000000.0
Sporting CP,Geovany Quenda,0.0
Sporting CP,Viktor Gyökeres,65000000.0
Sporting CP,Paulinho,7000000.0
Sporting CP,Rodrigo Ribeiro,3000000.0
Sporting CP,Rafael Nel,0.0
FC Porto,Diogo Costa,40000000.0
FC Porto,Cláudio Ramos,1500000.0
FC Porto,Gonçalo Ribeiro,1500000.0
FC Porto,Samuel Portugal,1500000.0
FC Porto,Otávio,13000000.0
FC Porto,David Carmo,12000000.0
FC Porto,Fábio Cardoso,3500000.0
FC Porto,Zé Pedro,3000000.0
FC Porto,Gabriel Brás,1000000.0
FC Porto,Pepe,500000.0
FC Porto,Iván Marcano,250000.0
FC Porto,Wendell,7000000.0
FC Porto,Zaidu,3000000.0
FC Porto,João Mendes,1000000.0
FC Porto,João Mário,15000000.0
FC Porto,Martim Fernandes,4000000.0
FC Porto,Jorge Sánchez,3500000.0
FC Porto,Alan Varela,35000000.0
FC Porto,Marko Grujić,6000000.0
FC Porto,Nico González,15000000.0
FC Porto,Stephen Eustaquio,11000000.0
FC Porto,Romário Baró,1500000.0
FC Porto,Bernardo Folha,1000000.0
FC Porto,Otávio,25000000.0
FC Porto,Iván Jaime,8000000.0
FC Porto,André Franco,3000000.0
FC Porto,Galeno,25000000.0
FC Porto,Pepê,30000000.0
FC Porto,Francisco Conceição,22000000.0
FC Porto,Gabriel Veron,7000000.0
FC Porto,Gonçalo Borges,3000000.0
FC Porto,Gonçalo Sousa,1700000.0
FC Porto,Evanilson,35000000.0
FC Porto,Mehdi Taremi,10000000.0
FC Porto,Fran Navarro,8000000.0
FC Porto,Danny Namaso,5000000.0
FC Porto,Toni Martínez,5000000.0
FC Porto,Wendel Silva,1200000.0
SC Braga,Matheus,6000000.0
SC Braga,Lukas Hornicek,2000000.0
SC Braga,Tiago Sá,800000.0
SC Braga,Bernardo,0.0
SC Braga,Sikou Niakaté,6000000.0
SC Braga,Serdar Saatçı,5000000.0
SC Braga,Paulo Oliveira,1500000.0
SC Braga,Diogo Fonseca,300000.0
SC Braga,José Fonte,100000.0
SC Braga,Nuno Matos,0.0
SC Braga,Cristián Borja,2500000.0
SC Braga,Adrián Marín,1500000.0
SC Braga,Chissumba,0.0
SC Braga,Víctor Gómez,8000000.0
SC Braga,Joe Mendes,3000000.0
SC Braga,Moatasem Al-Musrati,14000000.0
SC Braga,Vítor Carvalho,5000000.0
SC Braga,Djibril Soumaré,200000.0
SC Braga,Rodrigo Zalazar,12000000.0
SC Braga,André Horta,5000000.0
SC Braga,Cher Ndour,4000000.0
SC Braga,João Moutinho,800000.0
SC Braga,Castro,200000.0
SC Braga,Lucas Piazón,1200000.0
SC Braga,Pizzi,800000.0
SC Braga,Álvaro Djaló,15000000.0
SC Braga,Ricardo Horta,15000000.0
SC Braga,Bruma,7000000.0
SC Braga,Roger,10000000.0
SC Braga,Rony Lopes,2500000.0
SC Braga,Kauan Kelvin,0.0
SC Braga,Simon Banza,18000000.0
SC Braga,Abel Ruiz,12000000.0
SC Braga,Yan Said,0.0
FC Famalicão,Luiz Júnior,6000000.0
FC Famalicão,Ivan Zlobin,300000.0
FC Famalicão,Hugo Cunha,100000.0
FC Famalicão,Otávio,13000000.0
FC Famalicão,Riccieli,3000000.0
FC Famalicão,Enea Mihaj,1500000.0
