Club,Player,Market Value (€)
Inter Milan,Yann Sommer,5000000.0
Inter Milan,Emil Audero,5000000.0
Inter Milan,Raffaele Di Gennaro,300000.0
Inter Milan,Alessandro Calligaris,150000.0
Inter Milan,Alessandro Bastoni,70000000.0
Inter Milan,Benjamin Pavard,50000000.0
Inter Milan,Yann Bisseck,16000000.0
Inter Milan,Stefan de Vrij,7000000.0
Inter Milan,Francesco Acerbi,3500000.0
Inter Milan,Giacomo Stabile,50000.0
Inter Milan,Federico Dimarco,50000000.0
Inter Milan,Carlos Augusto,22000000.0
Inter Milan,Matteo Motta,100000.0
Inter Milan,Denzel Dumfries,24000000.0
Inter Milan,Matteo Darmian,4000000.0
Inter Milan,Hakan Çalhanoğlu,45000000.0
Inter Milan,Kristjan Asllani,18000000.0
Inter Milan,Lucien Agoumé,6000000.0
Inter Milan,Aleksandar Stankovic,1000000.0
Inter Milan,Nicolò Barella,80000000.0
Inter Milan,Davide Frattesi,35000000.0
Inter Milan,Henrikh Mkhitaryan,6000000.0
Inter Milan,Davy Klaassen,4000000.0
Inter Milan,Stefano Sensi,3000000.0
Inter Milan,Ebenezer Akinsanmiro,1800000.0
Inter Milan,Tajon Buchanan,8000000.0
Inter Milan,Juan Cuadrado,1000000.0
Inter Milan,Tommaso Guercio,300000.0
Inter Milan,Issiaka Kamate,1000000.0
Inter Milan,Joaquín Correa,6000000.0
Inter Milan,Lautaro Martínez,110000000.0
Inter Milan,Marcus Thuram,65000000.0
Inter Milan,Marko Arnautovic,4000000.0
Inter Milan,Alexis Sánchez,2500000.0
Inter Milan,Amadou Sarr,150000.0
AC Milan,Mike Maignan,38000000.0
AC Milan,Marco Sportiello,1500000.0
AC Milan,Noah Raveyre,200000.0
AC Milan,Lapo Nava,150000.0
AC Milan,Antonio Mirante,100000.0
AC Milan,Andrea Bartoccioni,50000.0
AC Milan,Lorenzo Torriani,10000.0
AC Milan,Fikayo Tomori,40000000.0
AC Milan,Malick Thiaw,25000000.0
AC Milan,Pierre Kalulu,20000000.0
AC Milan,Matteo Gabbia,8000000.0
AC Milan,Jan-Carlo Simić,5000000.0
AC Milan,Marco Pellegrino,3500000.0
AC Milan,Simon Kjaer,1500000.0
AC Milan,Mattia Caldara,800000.0
AC Milan,Clinton Nsiala,200000.0
AC Milan,Theo Hernández,60000000.0
AC Milan,Davide Bartesaghi,1000000.0
AC Milan,Davide Calabria,13000000.0
AC Milan,Filippo Terracciano,4500000.0
AC Milan,Álex Jiménez,4000000.0
AC Milan,Alessandro Florenzi,2000000.0
AC Milan,Ismaël Bennacer,30000000.0
AC Milan,Yacine Adli,15000000.0
AC Milan,Rade Krunic,6000000.0
AC Milan,Victor Eletu,400000.0
AC Milan,Tijjani Reijnders,30000000.0
AC Milan,Ruben Loftus-Cheek,25000000.0
AC Milan,Yunus Musah,22000000.0
AC Milan,Tommaso Pobega,10000000.0
AC Milan,Kevin Zeroli,2000000.0
AC Milan,Rafael Leão,90000000.0
AC Milan,Noah Okafor,20000000.0
AC Milan,Chaka Traorè,1500000.0
AC Milan,Diego Sia,0.0
AC Milan,Christian Pulisic,40000000.0
AC Milan,Samuel Chukwueze,20000000.0
AC Milan,Luka Romero,5000000.0
AC Milan,Francesco Camarda,10000000.0
AC Milan,Luka Jović,7000000.0
AC Milan,Lorenzo Colombo,6000000.0
AC Milan,Olivier Giroud,3000000.0
SSC Napoli,Alex Meret,12000000.0
SSC Napoli,Pierluigi Gollini,4000000.0
SSC Napoli,Nikita Contini,400000.0
SSC Napoli,Hubert Idasiak,150000.0
SSC Napoli,Amir Rrahmani,15000000.0
SSC Napoli,Natan,12000000.0
SSC Napoli,Leo Østigård,8000000.0
SSC Napoli,Juan Jesus,2500000.0
SSC Napoli,Luigi D'Avino,125000.0
SSC Napoli,Mathías Olivera,15000000.0
SSC Napoli,Mário Rui,3500000.0
SSC Napoli,Giovanni Di Lorenzo,15000000.0
SSC Napoli,Alessandro Zanoli,5000000.0
SSC Napoli,Pasquale Mazzocchi,3000000.0
SSC Napoli,Stanislav Lobotka,28000000.0
SSC Napoli,Jens Cajuste,10000000.0
SSC Napoli,Leander Dendoncker,7000000.0
SSC Napoli,Diego Demme,800000.0
SSC Napoli,Francesco Gioielli,175000.0
SSC Napoli,Frank Anguissa,27000000.0
SSC Napoli,Piotr Zieliński,22000000.0
SSC Napoli,Lorenzo Russo,100000.0
SSC Napoli,Karim Zedadka,250000.0
SSC Napoli,Eljif Elmas,20000000.0
SSC Napoli,Hamed Junior Traoré,17000000.0
SSC Napoli,Gianluca Gaetano,6000000.0
SSC Napoli,Khvicha Kvaratskhelia,80000000.0
SSC Napoli,Hirving Lozano,15000000.0
SSC Napoli,Alessio Zerbin,4000000.0
SSC Napoli,Jesper Lindstrøm,22000000.0
SSC Napoli,Matteo Politano,13000000.0
SSC Napoli,Cyril Ngonge,12000000.0
