Club,Player,Market Value (€)
Parma Calcio 1913,Leandro Chichizola,400000.0
Parma Calcio 1913,Martin Turk,350000.0
Parma Calcio 1913,Edoardo Corvi,350000.0
Parma Calcio 1913,Filippo Rinaldi,150000.0
Parma Calcio 1913,Alessandro Circati,8500000.0
Parma Calcio 1913,Yordan Osorio,2200000.0
Parma Calcio 1913,Botond Balogh,1800000.0
Parma Calcio 1913,Lautaro Valenti,1800000.0
Parma Calcio 1913,Peter Amoran,150000.0
Parma Calcio 1913,Gianluca Di Chiara,700000.0
Parma Calcio 1913,Vasilios Zagaritis,400000.0
Parma Calcio 1913,Cristian Ansaldi,250000.0
Parma Calcio 1913,Enrico Delprato,4500000.0
Parma Calcio 1913,Woyo Coulibaly,2000000.0
Parma Calcio 1913,Antoine Hainaut,350000.0
Parma Calcio 1913,Federico Motti,100000.0
Parma Calcio 1913,Nahuel Estévez,3500000.0
Parma Calcio 1913,Adrián Bernabé,12000000.0
Parma Calcio 1913,Simon Sohm,2700000.0
Parma Calcio 1913,Hernani,2000000.0
Parma Calcio 1913,Wylan Cyprien,1500000.0
Parma Calcio 1913,Drissa Camara,1200000.0
Parma Calcio 1913,Adrian Benedyczak,6000000.0
Parma Calcio 1913,Valentin Mihăilă,2800000.0
Parma Calcio 1913,Tjas Begic,900000.0
Parma Calcio 1913,Dennis Man,9000000.0
Parma Calcio 1913,Anthony Partipilo,1200000.0
Parma Calcio 1913,Anas Haj Mohamed,200000.0
Parma Calcio 1913,Ange-Yoan Bonny,8000000.0
Parma Calcio 1913,Antonio Colak,2200000.0
Parma Calcio 1913,Gabriel Charpentier,1600000.0
Parma Calcio 1913,Roberto Inglese,250000.0
Parma Calcio 1913,Dario Sits,100000.0
UC Sampdoria,Filip Stankovic,3000000.0
UC Sampdoria,Elia Tantalocchi,100000.0
UC Sampdoria,Nicola Ravaglia,100000.0
UC Sampdoria,Giovanni Leoni,4500000.0
UC Sampdoria,Facundo González,2000000.0
UC Sampdoria,Daniele Ghilardi,1600000.0
UC Sampdoria,Cristiano Piccini,600000.0
UC Sampdoria,Alex Ferrari,500000.0
UC Sampdoria,Hugo Buyla,100000.0
UC Sampdoria,Luigi Aquino,50000.0
UC Sampdoria,Arttu Lötjönen,50000.0
UC Sampdoria,Lorenzo Costantino,0.0
UC Sampdoria,Fabiano D'Amore,0.0
UC Sampdoria,Simone Giordano,1200000.0
UC Sampdoria,Nicola Murru,800000.0
UC Sampdoria,Antonio Barreca,500000.0
UC Sampdoria,Matteo Langella,150000.0
UC Sampdoria,Fabio Depaoli,3000000.0
UC Sampdoria,Bartosz Bereszyński,1300000.0
UC Sampdoria,Petar Stojanović,1300000.0
UC Sampdoria,Andrea Conti,200000.0
UC Sampdoria,Gerard Yepes,2300000.0
UC Sampdoria,Ebrima Darboe,1500000.0
UC Sampdoria,Matteo Ricci,1000000.0
UC Sampdoria,Simone Panada,300000.0
UC Sampdoria,Leonardo Benedetti,1400000.0
UC Sampdoria,Valerio Verre,1200000.0
UC Sampdoria,Ronaldo Vieira,1000000.0
UC Sampdoria,Flavio Paoletti,900000.0
UC Sampdoria,Kristoffer Askildsen,750000.0
UC Sampdoria,Pajtim Kasami,700000.0
UC Sampdoria,Stefano Girelli,400000.0
UC Sampdoria,Francesco Conti,200000.0
UC Sampdoria,Nicolò Uberti,100000.0
UC Sampdoria,Mattia Vitale,100000.0
UC Sampdoria,Ilario Porzi,75000.0
UC Sampdoria,Ardijan Chilafi,50000.0
UC Sampdoria,Lorenzo Malagrida,250000.0
UC Sampdoria,Noha Lemina,500000.0
UC Sampdoria,Gabriele Alesi,200000.0
UC Sampdoria,Andrea Dacourt,200000.0
UC Sampdoria,Simone Pozzato,50000.0
UC Sampdoria,Estanis Pedrola,2000000.0
UC Sampdoria,Fabio Borini,2000000.0
UC Sampdoria,Samuel Ntanda,500000.0
UC Sampdoria,Mehdi Léris,2500000.0
UC Sampdoria,Sebastiano Esposito,5000000.0
UC Sampdoria,Marco Delle Monache,600000.0
UC Sampdoria,Matteo Stoppa,400000.0
UC Sampdoria,Agustín Álvarez,4500000.0
UC Sampdoria,Manuel De Luca,1500000.0
UC Sampdoria,Antonino La Gumina,500000.0
UC Sampdoria,Lorenzo Di Stefano,400000.0
UC Sampdoria,Daniele Montevago,200000.0
UC Sampdoria,Simone Leonardi,150000.0
Como 1907,Adrian Semper,2500000.0
Como 1907,Mauro Vigorito,150000.0
Como 1907,Matteo Piombino,50000.0
Como 1907,Pierre Bolchini,50000.0
Como 1907,Cas Odenthal,2500000.0
Como 1907,Marco Curto,1800000.0
Como 1907,Edoardo Goldaniga,1200000.0
Como 1907,Federico Barba,1200000.0
Como 1907,Matteo Solini,200000.0
Como 1907,Fellipe Jack,200000.0
Como 1907,Filippo Scaglia,200000.0
Como 1907,Diego Ronco,50000.0
Como 1907,Nikolas Ioannou,1200000.0
Como 1907,Marco Sala,1100000.0
Como 1907,Luca Vignali,650000.0
Como 1907,Tommaso Cassandro,600000.0
Como 1907,Oliver Abildgaard,2500000.0
Como 1907,Lucas Da Cunha,6500000.0
Como 1907,Alessandro Bellemo,2000000.0
Como 1907,Matthias Braunöder,2000000.0
Como 1907,Ben Lhassine Kone,800000.0
Como 1907,Daniele Baselli,400000.0
Como 1907,Tommaso Arrigoni,300000.0
Como 1907,Giuseppe Mazzaglia,250000.0
Como 1907,Fabio Rispoli,150000.0
Como 1907,Paolo Faragò,0.0
Como 1907,Alessio Iovine,250000.0
Como 1907,Simone Verdi,2500000.0
Como 1907,Moutir Chajia,450000.0
Como 1907,Naj Razi,300000.0
Como 1907,Álex Blanco,350000.0
Como 1907,Gabriel Strefezza,6000000.0
Como 1907,Samuel Ballet,1400000.0
Como 1907,Liam Kerrigan,175000.0
Como 1907,Patrick Cutrone,5000000.0
Como 1907,Jean-Pierre Nsame,2800000.0
Como 1907,Nicholas Gioacchini,2400000.0
Como 1907,Alberto Cerri,1700000.0
Como 1907,Alessandro Gabrielloni,1000000.0
Como 1907,Marlon Mustapha,900000.0
Como 1907,Tommaso Fumagalli,250000.0
Como 1907,Federico Chinetti,50000.0
Spezia Calcio,Bartlomiej Dragowski,2500000.0
Spezia Calcio,Jeroen Zoet,400000.0
Spezia Calcio,Diego Mascardi,200000.0
Spezia Calcio,Gian Marco Crespi,100000.0
Spezia Calcio,Petar Zovko,100000.0
Spezia Calcio,Przemysław Wiśniewski,2000000.0
Spezia Calcio,Dimitrios Nikolaou,2000000.0
Spezia Calcio,Lukas Mühl,800000.0
Spezia Calcio,Petko Hristov,750000.0
Spezia Calcio,Iva Gelashvili,450000.0
Spezia Calcio,Nicolò Bertola,300000.0
Spezia Calcio,Laurens Serpe,100000.0
Spezia Calcio,Gregorio Tanco,100000.0
Spezia Calcio,Arkadiusz Reca,1300000.0
Spezia Calcio,João Moutinho,700000.0
Spezia Calcio,Roko Jureskin,300000.0
Spezia Calcio,Christian Cugnata,25000.0
Spezia Calcio,Emil Holm,12000000.0
Spezia Calcio,Kelvin Amian,2500000.0
Spezia Calcio,Ales Mateju,1000000.0
Spezia Calcio,Luca Vignali,650000.0
Spezia Calcio,Salvatore Esposito,2800000.0
Spezia Calcio,Ádám Nagy,900000.0
Spezia Calcio,Albin Ekdal,300000.0
Spezia Calcio,Giovanni Corradini,200000.0
Spezia Calcio,Szymon Żurkowski,2500000.0
Spezia Calcio,Simone Bastoni,1500000.0
Spezia Calcio,Filippo Bandinelli,1500000.0
Spezia Calcio,Rachid Kouda,800000.0
Spezia Calcio,Tio Cipot,600000.0
Spezia Calcio,Francesco Cassata,600000.0
Spezia Calcio,Niccolò Pietra,150000.0
Spezia Calcio,Pietro Candelari,150000.0
Spezia Calcio,Mirko Antonucci,1400000.0
Spezia Calcio,Filip Jagiello,1100000.0
Spezia Calcio,Oskar Lachowicz,100000.0
Spezia Calcio,Daniele Verde,1300000.0
Spezia Calcio,Salvatore Elia,800000.0
Spezia Calcio,Francesco Pio Esposito,3000000.0
Spezia Calcio,Luca Moro,1800000.0
Spezia Calcio,Raimonds Krollis,1200000.0
Spezia Calcio,Giuseppe Di Serio,1200000.0
Spezia Calcio,Diego Falcinelli,500000.0
Venezia FC,Jesse Joronen,1000000.0
Venezia FC,Bruno Bertinato,300000.0
Venezia FC,Matteo Grandi,150000.0
Venezia FC,Gregor Pürg,75000.0
Venezia FC,Eryk Slowikowski,50000.0
Venezia FC,Jay Idzes,2500000.0
Venezia FC,Giorgio Altare,2000000.0
Venezia FC,Michael Svoboda,1500000.0
Venezia FC,Marin Šverko,1200000.0
Venezia FC,Marco Modolo,200000.0
Venezia FC,Lorenzo Busato,100000.0
Venezia FC,Maximilian Ullmann,300000.0
Venezia FC,Antonio Candela,2300000.0
Venezia FC,Francesco Zampano,900000.0
Venezia FC,Tanner Tessmann,7000000.0
Venezia FC,Luca Fiordilino,700000.0
Venezia FC,Mato Jajalo,200000.0
Venezia FC,Gianluca Busio,6500000.0
Venezia FC,Mikael Egill Ellertsson,2000000.0
Venezia FC,Magnus Kofod Andersen,1200000.0
Venezia FC,Nunzio Lella,750000.0
Venezia FC,Ali Dembélé,300000.0
Venezia FC,Lorenzo Da Pozzo,75000.0
Venezia FC,Bjarki Bjarkason,800000.0
Venezia FC,Federico Tavernaro,125000.0
Venezia FC,Dennis Johnsen,2700000.0
Venezia FC,Denis Cheryshev,500000.0
Venezia FC,Nicholas Pierini,1700000.0
Venezia FC,Joel Pohjanpalo,5500000.0
Venezia FC,Christian Gytkjaer,700000.0
Venezia FC,Hilmir Rafn Mikaelsson,600000.0
Venezia FC,Marco Olivieri,550000.0
Venezia FC,Andrija Novakovich,450000.0
US Cremonese,Andreas Jungdal,1500000.0
US Cremonese,Gianluca Saro,400000.0
US Cremonese,Mouhamadou Sarr,300000.0
US Cremonese,Alessandro Livieri,300000.0
US Cremonese,Thomas Brahja,100000.0
US Cremonese,Emanuel Aiwu,3000000.0
US Cremonese,Luca Ravanelli,2000000.0
US Cremonese,Valentin Antov,1500000.0
US Cremonese,Luka Lochoshvili,1100000.0
US Cremonese,Matteo Bianchetti,500000.0
US Cremonese,Alessandro Tuia,250000.0
US Cremonese,Maissa Ndiaye,150000.0
US Cremonese,Luca Marrone,100000.0
US Cremonese,Emanuele Valeri,2300000.0
US Cremonese,Giacomo Quagliata,1200000.0
US Cremonese,Yuri Rocchetti,100000.0
US Cremonese,Leonardo Sernicola,2000000.0
US Cremonese,Paolo Ghiglione,1000000.0
US Cremonese,Charles Pickel,3000000.0
US Cremonese,Michele Castagnetti,500000.0
US Cremonese,Alessio Brambilla,150000.0
US Cremonese,Michele Collocolo,2500000.0
US Cremonese,Gonzalo Abrego,2000000.0
US Cremonese,Tommaso Milanese,900000.0
US Cremonese,Zan Majer,800000.0
US Cremonese,Andrea Bertolacci,400000.0
US Cremonese,Luca Valzania,300000.0
US Cremonese,Franco Vázquez,1000000.0
US Cremonese,César Falletti,800000.0
US Cremonese,Nikola Sekulov,800000.0
US Cremonese,Guido Della Rovere,150000.0
US Cremonese,Dennis Johnsen,2700000.0
US Cremonese,Cristian Buonaiuto,650000.0
US Cremonese,Luca Zanimacchia,1500000.0
US Cremonese,Felix Afena-Gyan,2500000.0
US Cremonese,David Okereke,2400000.0
US Cremonese,Massimo Coda,1000000.0
US Cremonese,Frank Tsadjout,850000.0
US Cremonese,Cedric Gondo,700000.0
US Cremonese,Daniel Ciofani,150000.0
Palermo FC,Sebastiano Desplanches,1300000.0
Palermo FC,Mirko Pigliacelli,800000.0
Palermo FC,Adnan Kanuric,150000.0
Palermo FC,Manfredi Nespola,50000.0
Palermo FC,Pietro Ceccaroni,1600000.0
Palermo FC,Ionuț Nedelcearu,1000000.0
Palermo FC,Simon Graves,750000.0
Palermo FC,Fabio Lucioni,300000.0
Palermo FC,Ivan Marconi,250000.0
Palermo FC,Kristoffer Lund,3500000.0
Palermo FC,Giuseppe Aurelio,700000.0
Palermo FC,Salim Diakité,2500000.0
Palermo FC,Ales Mateju,1000000.0
Palermo FC,Alessio Buttaro,750000.0
Palermo FC,Claudio Gomes,2900000.0
Palermo FC,Leo Stulac,1000000.0
Palermo FC,Samuele Damiani,200000.0
Palermo FC,Filippo Ranocchia,4000000.0
Palermo FC,Jacopo Segre,2700000.0
Palermo FC,Dario Saric,1800000.0
Palermo FC,Aljosa Vasic,1500000.0
Palermo FC,Liam Henderson,1400000.0
Palermo FC,Mamadou Coulibaly,1300000.0
Palermo FC,Chaka Traorè,1500000.0
Palermo FC,Federico Di Francesco,1400000.0
Palermo FC,Francesco Di Mariano,1200000.0
Palermo FC,Roberto Insigne,1300000.0
Palermo FC,Nicola Valente,350000.0
Palermo FC,Matteo Luigi Brunori,4000000.0
Palermo FC,Leonardo Mancuso,1000000.0
Palermo FC,Edoardo Soleri,500000.0
Pisa Sporting Club,Nícolas,250000.0
Pisa Sporting Club,Leonardo Loria,250000.0
Pisa Sporting Club,Ante Vukovic,125000.0
Pisa Sporting Club,Matteo Campani,25000.0
Pisa Sporting Club,Simone Canestrelli,1800000.0
Pisa Sporting Club,Hjörtur Hermannsson,700000.0
Pisa Sporting Club,Maxime Leverbe,600000.0
Pisa Sporting Club,Antonio Caracciolo,250000.0
Pisa Sporting Club,Francesco Coppola,125000.0
Pisa Sporting Club,Alessandro De Vitis,100000.0
Pisa Sporting Club,Pietro Beruatto,2700000.0
Pisa Sporting Club,Roko Jureskin,300000.0
Pisa Sporting Club,Tomás Esteves,3000000.0
Pisa Sporting Club,Tommaso Barbieri,2000000.0
Pisa Sporting Club,Arturo Calabresi,900000.0
Pisa Sporting Club,Andrea Biagini,50000.0
Pisa Sporting Club,Marius Marin,1600000.0
Pisa Sporting Club,Ádám Nagy,900000.0
Pisa Sporting Club,Miguel Veloso,250000.0
Pisa Sporting Club,Andrea Barberis,150000.0
Pisa Sporting Club,Idrissa Touré,2000000.0
Pisa Sporting Club,Mattia Valoti,1500000.0
Pisa Sporting Club,Gabriele Piccinini,500000.0
Pisa Sporting Club,Miha Trdan,75000.0
Pisa Sporting Club,Andrea Beghetto,200000.0
Pisa Sporting Club,Mattia Sala,125000.0
Pisa Sporting Club,Jan Mlakar,2500000.0
Pisa Sporting Club,Matteo Tramoni,1500000.0
Pisa Sporting Club,Emanuel Vignato,1100000.0
Pisa Sporting Club,Alessandro Arena,900000.0
Pisa Sporting Club,Lisandru Tramoni,800000.0
Pisa Sporting Club,Marco D'Alessandro,500000.0
Pisa Sporting Club,Assane Seck,75000.0
Pisa Sporting Club,Adrian Raychev,0.0
Pisa Sporting Club,Ettore Gliozzi,1000000.0
Pisa Sporting Club,Nicholas Bonfanti,900000.0
Pisa Sporting Club,Stefano Moreo,800000.0
Pisa Sporting Club,Ernesto Torregrossa,500000.0
Pisa Sporting Club,Gaetano Masucci,100000.0
Ternana Calcio,Gabriel Brazão,300000.0
Ternana Calcio,Antony Iannarilli,250000.0
Ternana Calcio,Denis Franchi,250000.0
Ternana Calcio,Tommaso Vitali,150000.0
Ternana Calcio,Alessandro Morlupo,125000.0
Ternana Calcio,Robert Matei,100000.0
Ternana Calcio,Filippo Novelli,0.0
Ternana Calcio,Christian Dalle Mura,850000.0
Ternana Calcio,Lorenzo Lucchesi,700000.0
Ternana Calcio,Luka Bogdan,400000.0
Ternana Calcio,Valerio Mantovani,400000.0
Ternana Calcio,Filippo Sgarbi,350000.0
Ternana Calcio,Frederik Sørensen,250000.0
Ternana Calcio,Marco Capuano,200000.0
Ternana Calcio,Ange Caumenan N'Guessan,200000.0
Ternana Calcio,Gabriele Boloca,150000.0
Ternana Calcio,Marco Bonugli,125000.0
Ternana Calcio,Niccolò Corrado,1100000.0
Ternana Calcio,Franco Carboni,900000.0
Ternana Calcio,Alessandro Celli,300000.0
Ternana Calcio,Riccardo Zoia,200000.0
Ternana Calcio,Christian Travaglini,125000.0
Ternana Calcio,Salim Diakité,2500000.0
Ternana Calcio,Tiago Casasola,800000.0
Ternana Calcio,Lorenzo Amatucci,1000000.0
Ternana Calcio,Giacomo Faticanti,800000.0
Ternana Calcio,Mattia Proietti,275000.0
Ternana Calcio,Fabrizio Paghera,200000.0
Ternana Calcio,Jakub Labojko,200000.0
Ternana Calcio,Andrei Mărginean,200000.0
Ternana Calcio,Federico Viviani,100000.0
Ternana Calcio,Niklas Pyyhtiä,1200000.0
Ternana Calcio,Kees de Boer,450000.0
Ternana Calcio,Filippo Damian,300000.0
Ternana Calcio,Txus Alba,200000.0
Ternana Calcio,Carmelo Ferrara,100000.0
Ternana Calcio,Mirco Ferrante,50000.0
Ternana Calcio,Costantino Favasuli,450000.0
Ternana Calcio,Gastón Pereiro,1000000.0
Ternana Calcio,César Falletti,800000.0
Ternana Calcio,Gregorio Luperini,350000.0
Ternana Calcio,Gabriele Capanni,150000.0
Ternana Calcio,Federico Furlan,75000.0
Ternana Calcio,Ottavio Garau,25000.0
Ternana Calcio,Filippo Distefano,1800000.0
Ternana Calcio,Antonio Raimondo,4500000.0
Ternana Calcio,Andrea Favilli,400000.0
Ternana Calcio,Alexis Ferrante,200000.0
Ternana Calcio,Pietro Rovaglia,100000.0
Ternana Calcio,Jan Żuberek,100000.0
Ternana Calcio,Federico Dionisi,100000.0
Ternana Calcio,Edoardo Della Salandra,25000.0
SSC Bari,Brenno,1700000.0
SSC Bari,Marco Pissardo,400000.0
SSC Bari,Alessandro Farroni,175000.0
SSC Bari,Pierluigi Frattali,100000.0
SSC Bari,Emanuele Polverino,25000.0
SSC Bari,Luigi Pellegrini,25000.0
SSC Bari,Francesco Vicari,1500000.0
SSC Bari,Daniele Celiento,200000.0
SSC Bari,Emmanuele Matino,200000.0
SSC Bari,Valerio Di Cesare,200000.0
SSC Bari,Zan Zuzek,200000.0
SSC Bari,Marco Perrotta,175000.0
SSC Bari,Domenico Dachille,125000.0
SSC Bari,Raffaele Natuzzi,125000.0
SSC Bari,Gianluca Frabotta,1200000.0
SSC Bari,Raffaele Pucino,250000.0
SSC Bari,Raffaele Maiello,400000.0
SSC Bari,Andrea Astrologo,50000.0
SSC Bari,Ilias Koutsoupias,1300000.0
SSC Bari,Mattia Maita,750000.0
SSC Bari,Malcom Edjouma,550000.0
SSC Bari,Karlo Lulic,450000.0
SSC Bari,Gennaro Acampora,450000.0
SSC Bari,Ahmad Benali,400000.0
SSC Bari,Andrea D'Errico,250000.0
SSC Bari,Vincenzo Colangiuli,150000.0
SSC Bari,Filippo Faggi,100000.0
SSC Bari,Francesco Lops,100000.0
SSC Bari,Mehdi Dorval,1400000.0
SSC Bari,Giacomo Ricci,500000.0
SSC Bari,Abdoul Guiebre,300000.0
SSC Bari,Giuseppe Sibilli,1300000.0
SSC Bari,Mattia Aramu,1300000.0
SSC Bari,Nicola Bellomo,200000.0
SSC Bari,Gregorio Morachioli,500000.0
SSC Bari,Yayah Kallon,1000000.0
SSC Bari,Ismail Achik,400000.0
SSC Bari,Marco Nasti,2500000.0
SSC Bari,George Pușcaș,1500000.0
SSC Bari,Aurélien Scheidler,1000000.0
SSC Bari,Davide Diaw,900000.0
SSC Bari,Hemsley Akpa-Chukwu,400000.0
SSC Bari,Jérémy Ménez,200000.0
SSC Bari,Emanuele Zanaboni,50000.0
SSC Bari,Matteo Ahmetaj,0.0
US Catanzaro,Andrea Fulignati,700000.0
US Catanzaro,Andrea Sala,100000.0
US Catanzaro,Edoardo Borrelli,50000.0
US Catanzaro,Vincenzo Grimaldi,0.0
US Catanzaro,Davide Veroli,1700000.0
US Catanzaro,Matias Antonini,800000.0
US Catanzaro,Stefano Scognamillo,800000.0
US Catanzaro,Luka Krajnc,400000.0
US Catanzaro,Kevin Miranda,350000.0
US Catanzaro,Nicolò Brighenti,300000.0
US Catanzaro,Dimo Krastev,150000.0
US Catanzaro,Panos Katseris,2500000.0
US Catanzaro,Mario Situm,400000.0
US Catanzaro,Andrea Ghion,800000.0
US Catanzaro,Marco Pompetti,650000.0
US Catanzaro,Jacopo Petriccione,600000.0
US Catanzaro,Simone Pontisso,400000.0
US Catanzaro,Dimitrios Sounas,500000.0
US Catanzaro,Luca Verna,400000.0
US Catanzaro,Nana Welbeck,200000.0
US Catanzaro,Cristiano Belpanno,25000.0
US Catanzaro,Andrea Oliveri,600000.0
US Catanzaro,Francesco Bombagi,150000.0
US Catanzaro,Jari Vandeputte,3500000.0
US Catanzaro,Alessio Curcio,450000.0
US Catanzaro,Luca D'Andrea,1800000.0
US Catanzaro,Enrico Brignola,350000.0
US Catanzaro,Moussa Bamba,50000.0
US Catanzaro,Tommaso Biasci,900000.0
US Catanzaro,Matteo Stoppa,400000.0
US Catanzaro,Gabriel Rafele,0.0
US Catanzaro,Giuseppe Ambrosino,2200000.0
US Catanzaro,Pietro Iemmello,1000000.0
US Catanzaro,Alfredo Donnarumma,400000.0
US Catanzaro,Alessandro Viotti,0.0
AC Reggiana 1919,Giacomo Satalino,300000.0
AC Reggiana 1919,Francesco Bardi,300000.0
AC Reggiana 1919,Alex Sposito,150000.0
AC Reggiana 1919,Edoardo Motta,100000.0
AC Reggiana 1919,Alessandro Marcandalli,2000000.0
AC Reggiana 1919,André Duarte,1500000.0
AC Reggiana 1919,Przemyslaw Szyminski,700000.0
AC Reggiana 1919,Paolo Rozzio,400000.0
AC Reggiana 1919,Filippo Romagna,400000.0
AC Reggiana 1919,Edoardo Pieragnolo,2400000.0
AC Reggiana 1919,Marko Pajac,350000.0
AC Reggiana 1919,Giacomo Cavallini,100000.0
AC Reggiana 1919,Mario Sampirisi,600000.0
AC Reggiana 1919,Riccardo Fiamozzi,300000.0
AC Reggiana 1919,Lorenzo Libutti,250000.0
AC Reggiana 1919,Tobías Reinhart,300000.0
AC Reggiana 1919,Luca Cigarini,200000.0
AC Reggiana 1919,Alessandro Bianco,2500000.0
AC Reggiana 1919,Filippo Melegoni,1200000.0
AC Reggiana 1919,Domen Crnigoj,900000.0
AC Reggiana 1919,Jacopo Da Riva,600000.0
AC Reggiana 1919,Filippo Nardi,550000.0
AC Reggiana 1919,Manolo Portanova,500000.0
AC Reggiana 1919,Elvis Kabashi,400000.0
AC Reggiana 1919,Nuhu Shaibu,50000.0
AC Reggiana 1919,Bryan Blanco,50000.0
AC Reggiana 1919,Davide Guglielmotti,200000.0
AC Reggiana 1919,Natan Girma,750000.0
AC Reggiana 1919,Antonio Vergara,300000.0
AC Reggiana 1919,Eric Lanini,400000.0
AC Reggiana 1919,Álex Blanco,350000.0
AC Reggiana 1919,Muhamed Varela Djamanca,200000.0
AC Reggiana 1919,Orji Okwonkwo,100000.0
AC Reggiana 1919,Janis Antiste,1900000.0
AC Reggiana 1919,Cedric Gondo,700000.0
AC Reggiana 1919,Luca Vido,500000.0
AC Reggiana 1919,Stefano Pettinari,250000.0
Brescia Calcio,Luca Lezzerini,400000.0
Brescia Calcio,Lorenzo Andrenacci,250000.0
Brescia Calcio,Michele Avella,250000.0
Brescia Calcio,Simone Cortese,50000.0
Brescia Calcio,Andrea Papetti,2500000.0
Brescia Calcio,Andrea Cistana,2000000.0
Brescia Calcio,Massimiliano Mangraviti,1600000.0
Brescia Calcio,Davide Adorni,500000.0
Brescia Calcio,Jacopo Pandini,100000.0
Brescia Calcio,Raffaele Cartano,50000.0
Brescia Calcio,Elia Maccherini Tonini,50000.0
Brescia Calcio,Mohamed Salim Fares,600000.0
Brescia Calcio,Matthieu Huard,350000.0
Brescia Calcio,Corrado Riviera,100000.0
Brescia Calcio,Lorenzo Dickmann,1200000.0
Brescia Calcio,Alexander Jallow,750000.0
Brescia Calcio,Zylyf Muça,50000.0
Brescia Calcio,Tom van de Looi,750000.0
Brescia Calcio,Fabrizio Paghera,200000.0
Brescia Calcio,Dimitri Bisoli,1500000.0
Brescia Calcio,Massimo Bertagnoli,750000.0
Brescia Calcio,Michele Besaggio,600000.0
Brescia Calcio,Emanuele Ndoj,450000.0
Brescia Calcio,Riccardo Fogliata,400000.0
Brescia Calcio,Birkir Bjarnason,300000.0
Brescia Calcio,Vincenzo Garofalo,50000.0
Brescia Calcio,Carlo Ghidini,0.0
Brescia Calcio,Nicolas Galazzi,1100000.0
Brescia Calcio,Giacomo Olzer,450000.0
Brescia Calcio,Patrick Nuamah,450000.0
Brescia Calcio,Matteo Ferro,200000.0
Brescia Calcio,Gennaro Borrelli,1400000.0
Brescia Calcio,Gabriele Moncini,1100000.0
Brescia Calcio,Flavio Bianchi,650000.0
Cosenza Calcio,Alessandro Micai,500000.0
Cosenza Calcio,Leonardo Marson,250000.0
Cosenza Calcio,Alessandro Lai,50000.0
