Club,Player,Market Value (€)
Southampton FC,Gavin Bazunu,15000000.0
Southampton FC,Joe Lumley,600000.0
Southampton FC,Alex McCarthy,500000.0
Southampton FC,Taylor Harwood-Bellis,22000000.0
Southampton FC,Armel Bella-Kotchap,12000000.0
Southampton FC,Jan Bednarek,11000000.0
Southampton FC,Mason Holgate,5000000.0
Southampton FC,Lyanco,3000000.0
Southampton FC,Jack Stephens,2000000.0
Southampton FC,Nico Lawrence,75000.0
Southampton FC,Romain Perraud,5000000.0
Southampton FC,Juan Larios,4500000.0
Southampton FC,Ryan Manning,3000000.0
Southampton FC,Jayden Meghoma,0.0
Southampton FC,Kyle Walker-Peters,20000000.0
Southampton FC,James Bree,2200000.0
Southampton FC,Roméo Lavia,35000000.0
Southampton FC,Shea Charles,10000000.0
Southampton FC,Flynn Downes,9000000.0
Southampton FC,James Ward-Prowse,30000000.0
Southampton FC,Carlos Alcaraz,15000000.0
Southampton FC,Joe Aribo,5000000.0
Southampton FC,Will Smallbone,5000000.0
Southampton FC,Joe Rothwell,2500000.0
Southampton FC,Stuart Armstrong,2000000.0
Southampton FC,Cameron Bragg,0.0
Southampton FC,Nathan Tella,23000000.0
Southampton FC,Kamari Doyle,0.0
Southampton FC,Kamaldeen Sulemana,13000000.0
Southampton FC,Samuel Edozie,8000000.0
Southampton FC,Moussa Djenepo,3000000.0
Southampton FC,Ryan Fraser,3000000.0
Southampton FC,David Brooks,8000000.0
Southampton FC,Samuel Amo-Ameyaw,300000.0
Southampton FC,Tyler Dibling,0.0
Southampton FC,Adam Armstrong,16000000.0
Southampton FC,Ché Adams,15000000.0
Southampton FC,Paul Onuachu,13000000.0
Southampton FC,Sékou Mara,6000000.0
Southampton FC,Ross Stewart,4500000.0
Southampton FC,Dom Ballard,300000.0
Leeds United,Illan Meslier,18000000.0
Leeds United,Kristoffer Klaesson,1800000.0
Leeds United,Karl Darlow,300000.0
Leeds United,Dani van den Heuvel,0.0
Leeds United,Harry Christy,0.0
Leeds United,Pascal Struijk,15000000.0
Leeds United,Joe Rodon,8000000.0
Leeds United,Charlie Cresswell,4000000.0
Leeds United,Liam Cooper,1000000.0
Leeds United,Kris Moore,0.0
Leeds United,Junior Firpo,5000000.0
Leeds United,Leo Fuhr Hjelde,1500000.0
Leeds United,Archie Gray,18000000.0
Leeds United,Djed Spence,8000000.0
Leeds United,Connor Roberts,7000000.0
Leeds United,Cody Drameh,3000000.0
Leeds United,Jamie Shackleton,1500000.0
Leeds United,Luke Ayling,1000000.0
