Club,Player,Market Value (€)
PSV Eindhoven,Walter Benítez,13000000.0
PSV Eindhoven,Joël Drommel,2500000.0
PSV Eindhoven,Kjell Peersman,300000.0
PSV Eindhoven,Niek Schiks,250000.0
PSV Eindhoven,Boy Waterman,50000.0
PSV Eindhoven,Olivier Boscagli,27000000.0
PSV Eindhoven,Armel Bella-Kotchap,12000000.0
PSV Eindhoven,Armando Obispo,3500000.0
PSV Eindhoven,André Ramalho,2500000.0
PSV Eindhoven,Mauro Júnior,7000000.0
PSV Eindhoven,Shurandy Sambo,2000000.0
PSV Eindhoven,Patrick van Aanholt,2000000.0
PSV Eindhoven,Phillipp Mwene,1800000.0
PSV Eindhoven,Fredrik Oppegård,600000.0
PSV Eindhoven,Sergiño Dest,22000000.0
PSV Eindhoven,Jordan Teze,18000000.0
PSV Eindhoven,Richard Ledezma,900000.0
PSV Eindhoven,Ibrahim Sangaré,30000000.0
PSV Eindhoven,Jerdy Schouten,28000000.0
PSV Eindhoven,Joey Veerman,40000000.0
PSV Eindhoven,Ismael Saibari,16000000.0
PSV Eindhoven,Tygo Land,3000000.0
PSV Eindhoven,Livano Comenencia,800000.0
PSV Eindhoven,Malik Tillman,20000000.0
PSV Eindhoven,Guus Til,12000000.0
PSV Eindhoven,Isaac Babadi,6000000.0
PSV Eindhoven,Noa Lang,18000000.0
PSV Eindhoven,Hirving Lozano,15000000.0
PSV Eindhoven,Johan Bakayoko,45000000.0
PSV Eindhoven,Anwar El Ghazi,2500000.0
PSV Eindhoven,Ricardo Pepi,12000000.0
PSV Eindhoven,Yorbe Vertessen,5000000.0
PSV Eindhoven,Luuk de Jong,3500000.0
PSV Eindhoven,Jason van Duiven,1000000.0
PSV Eindhoven,Jesper Uneken,500000.0
Feyenoord Rotterdam,Justin Bijlow,13000000.0
Feyenoord Rotterdam,Timon Wellenreuther,7000000.0
Feyenoord Rotterdam,Mikki van Sas,400000.0
Feyenoord Rotterdam,Kostas Lamprou,300000.0
Feyenoord Rotterdam,Mannou Berger,0.0
Feyenoord Rotterdam,Dávid Hancko,35000000.0
Feyenoord Rotterdam,Thomas Beelen,12000000.0
Feyenoord Rotterdam,Gernot Trauner,3500000.0
Feyenoord Rotterdam,Djomar Giersthove,0.0
Feyenoord Rotterdam,Quilindschy Hartman,23000000.0
Feyenoord Rotterdam,Marcos López,3000000.0
Feyenoord Rotterdam,Ramon Hendriks,800000.0
Feyenoord Rotterdam,Lutsharel Geertruida,32000000.0
Feyenoord Rotterdam,Bart Nieuwkoop,4000000.0
Feyenoord Rotterdam,Neraysho Kasanwirjo,1800000.0
Feyenoord Rotterdam,Givairo Read,800000.0
Feyenoord Rotterdam,Mats Wieffer,30000000.0
Feyenoord Rotterdam,Ramiz Zerrouki,9000000.0
Feyenoord Rotterdam,Thomas van den Belt,1800000.0
Feyenoord Rotterdam,Gjivai Zechiël,600000.0
Feyenoord Rotterdam,Quinten Timber,28000000.0
Feyenoord Rotterdam,Marcus Pedersen,5500000.0
Feyenoord Rotterdam,Calvin Stengs,15000000.0
Feyenoord Rotterdam,Antoni Milambo,6000000.0
Feyenoord Rotterdam,Ondrej Lingr,3500000.0
Feyenoord Rotterdam,Igor Paixão,14000000.0
Feyenoord Rotterdam,Luka Ivanusec,12000000.0
Feyenoord Rotterdam,Leo Sauer,5000000.0
Feyenoord Rotterdam,Javairô Dilrosun,4000000.0
Feyenoord Rotterdam,Yankuba Minteh,16000000.0
Feyenoord Rotterdam,Alireza Jahanbakhsh,3000000.0
Feyenoord Rotterdam,Jaden Slory,0.0
Feyenoord Rotterdam,Santiago Gimenez,40000000.0
Feyenoord Rotterdam,Ayase Ueda,8000000.0
Ajax Amsterdam,Diant Ramaj,18000000.0
Ajax Amsterdam,Gerónimo Rulli,5000000.0
Ajax Amsterdam,Jay Gorter,1500000.0
Ajax Amsterdam,Charlie Setford,600000.0
Ajax Amsterdam,Tom de Graaff,400000.0
Ajax Amsterdam,Remko Pasveer,150000.0
Ajax Amsterdam,Josip Sutalo,15000000.0
Ajax Amsterdam,Ahmetcan Kaplan,10000000.0
Ajax Amsterdam,Gastón Ávila,5000000.0
Ajax Amsterdam,Jakov Medic,2000000.0
Ajax Amsterdam,Olivier Aertssen,600000.0
Ajax Amsterdam,Jorrel Hato,30000000.0
Ajax Amsterdam,Owen Wijndal,5500000.0
Ajax Amsterdam,Anass Salah-Eddine,1200000.0
Ajax Amsterdam,Ar'jany Martha,1200000.0
Ajax Amsterdam,Devyne Rensch,10000000.0
Ajax Amsterdam,Jorge Sánchez,3500000.0
Ajax Amsterdam,Anton Gaaei,3000000.0
Ajax Amsterdam,Tristan Gooijer,2000000.0
Ajax Amsterdam,Sivert Mannsverk,6000000.0
Ajax Amsterdam,Benjamin Tahirovic,5000000.0
Ajax Amsterdam,Silvano Vos,2500000.0
Ajax Amsterdam,Julian Brandes,400000.0
Ajax Amsterdam,Kenneth Taylor,15000000.0
Ajax Amsterdam,Branco van den Boomen,6000000.0
Ajax Amsterdam,Davy Klaassen,4000000.0
Ajax Amsterdam,Jordan Henderson,4000000.0
Ajax Amsterdam,Kian Fitz-Jim,1000000.0
Ajax Amsterdam,Borna Sosa,7500000.0
Ajax Amsterdam,Kristian Hlynsson,7000000.0
Ajax Amsterdam,Gabriel Misehouy,1000000.0
Ajax Amsterdam,Steven Bergwijn,18000000.0
Ajax Amsterdam,Carlos Forbs,8000000.0
Ajax Amsterdam,Mika Godts,4000000.0
Ajax Amsterdam,Jaydon Banel,1200000.0
Ajax Amsterdam,Amourricho Van Axel-Dongen,600000.0
Ajax Amsterdam,David Kalokoh,300000.0
Ajax Amsterdam,Mohammed Kudus,50000000.0
Ajax Amsterdam,Steven Berghuis,6000000.0
Ajax Amsterdam,Christian Rasmussen,2000000.0
Ajax Amsterdam,Brian Brobbey,35000000.0
Ajax Amsterdam,Georges Mikautadze,15000000.0
Ajax Amsterdam,Chuba Akpom,12000000.0
Ajax Amsterdam,Julian Rijkhoff,1500000.0
