Player,Season,Gls_Contribution,Sh_Contribution,SoT_Contribution,xG_Contribution,G-xG_Contribution,Total_Player_Contribution_att,Pos_x,Team_Att_Score,xAG_Contribution,Ast_Contribution,KP_Contribution,PPA_Contribution,PrgP_Contribution,Total_Player_Contribution_mid,Pos_y,Team_Mid_Score,Age,Tkl_Contribution,TklW_Contribution,Int_Contribution,Squad,Blocks_Contribution,Clr_Contribution,Def 3rd_Contribution,Mid 3rd_Contribution,Att 3rd_Contribution,Total_Player_Contribution_def,Pos,Team_Def_Score,MarketValue,MarketValue
Aaron Cresswell,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,"DF,FW",54.85845513274525,22.46305418719212,20.0,23.831160449206138,24.465116279069747,27.0088207482266,23.50495874781756,"DF,FW",40.95243603659901,33.0,21.481744902797534,21.58379998868712,22.678274633953297,West Ham,24.23122394374958,22.22744427828809,20.96857142857141,21.10963052695335,23.61111111111111,22.88228627821151,"DF,FW",27.722007722007724,900000.0,900000.0
Aaron Hickey,2023-2024,20.0,23.586944413501147,21.367369589345167,20.581493675896425,66.31095811818703,65.25693095980252,DF,56.70680145086171,20.5018400802944,20.0,20.70391803434208,21.50848522941546,25.32563641421248,21.4460660312174,DF,52.576169235920986,21.0,27.98435067268152,27.609384908053265,22.557823129251688,Brentford,26.08617823807694,23.192634893417218,28.742120343839524,23.382153846153848,34.814814814814795,28.91061004562053,DF,31.42857142857129,28000000.0,28000000.0
Aaron Malouda,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,FW,48.04283905307664,20.0,20.0,20.0,20.0,20.0,20.0,FW,48.41711716839077,17.0,20.0,20.0,20.0,Lille,20.0,20.0,20.0,20.0,20.0,20.0,FW,59.215686274509714,150000.0,150000.0
Aaron Ramsdale,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,GK,86.07172751271649,20.0,20.0,20.0,20.0,20.308994325484285,20.04952715302248,GK,90.5306089166052,25.0,20.0,20.0,20.0,Arsenal,20.0,21.679387946848017,20.0,20.0,20.0,20.307068494348734,GK,69.26108374384226,25000000.0,25000000.0
Aaron Ramsey,2023-2024,20.0,23.360525995373184,23.17389437526836,21.25035462822066,66.74698795180723,65.70443429761544,"MF,FW",37.2343485072865,22.88600288600287,20.0,20.716873580986405,22.325581395348824,22.20403742411503,21.69852468507131,"MF,FW",38.9915710116252,20.0,29.461685738456723,33.80962446276331,21.15102040816324,Burnley,29.50384346610761,23.444383881428625,28.41489361702125,25.7053877296792,38.51851851851852,31.422476932667657,"MF,FW",26.349206349206334,15000000.0,15000000.0
Aaron Seydel,2023-2024,25.454545454545453,28.34586076408687,31.85882352941176,25.23884395312272,66.26506024096385,65.36536936028618,FW,25.145837357542973,26.57894736842105,20.0,26.96459300203368,21.111339781848105,23.004349258864075,23.867675711412414,FW,33.79837371614545,27.0,21.80984555984554,22.088850759073416,21.01667417755745,Darmstadt 98,28.24242424242424,23.669949615106333,20.0,22.86138227254976,24.814814814814795,23.91410161859247,FW,23.986710963455007,500000.0,500000.0
Aaron Wan-Bissaka,2023-2024,20.0,21.330595007376115,21.194570135746588,20.29949497289532,66.0722891566265,65.00728557991222,DF,57.16867340587641,28.015675097969343,31.555555555555543,26.46177292354584,31.88936287326268,36.93953272791997,31.474049130449075,DF,59.89820927770548,25.0,40.98992483607868,40.62037882581672,62.21633957097215,Manchester Utd,42.38111451594597,42.17653314427507,38.26946107784429,43.48717948717948,31.32897603485839,49.62055455827063,DF,35.10673234811163,20000000.0,20000000.0
Aarón Escandell,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,GK,28.44762088725773,20.0,20.0,20.0,20.0,20.0,20.0,GK,43.130597818370376,27.0,20.0,20.0,20.0,Las Palmas,20.0,20.37883696567092,20.0,20.0,20.0,20.069268626627064,GK,43.1003039513677,1000000.0,1000000.0
Aarón Martín,2023-2024,20.0,23.033220356864955,20.0,20.94798128675553,66.23865324310941,65.18180703017222,DF,35.52593737256669,35.97744360902255,27.70370370370369,40.2540682414698,38.02064865992283,30.55420376804852,35.77347474978444,DF,33.4792084366575,26.0,31.351351351351347,29.58378970427163,28.736660929432,Genoa,30.704447068083404,25.43269342102215,27.533333333333324,31.41077545935844,38.342151675484985,33.71265355454364,DF,44.97354497354495,5000000.0,5000000.0
Abakar Sylla,2023-2024,28.48484848484848,27.298112010153893,29.1349480968858,26.46165764910219,66.19971411068,65.31783835376444,DF,35.9629128839096,23.379900856241537,20.0,24.17322834645668,24.608491572434392,40.3356890459364,25.970300443490345,DF,37.10481617957295,20.0,49.42458587619875,40.25858001195381,44.148209139563605,Strasbourg,60.6030750858337,49.5903887995459,52.08201892744479,42.312820512820494,42.927689594356245,55.65574965984629,DF,40.57142857142859,12000000.0,12000000.0
