Player,Season,Gls_Contribution,Sh_Contribution,SoT_Contribution,xG_Contribution,G-xG_Contribution,Total_Player_Contribution_att,Pos_x,Team_Att_Score,xAG_Contribution,Ast_Contribution,KP_Contribution,PPA_Contribution,PrgP_Contribution,Total_Player_Contribution_mid,Pos_y,Team_Mid_Score,Age,Tkl_Contribution,TklW_Contribution,Int_Contribution,Squad,Blocks_Contribution,Clr_Contribution,Def 3rd_Contribution,Mid 3rd_Contribution,Att 3rd_Contribution,Total_Player_Contribution_def,Pos,Team_Def_Score,MarketValue,MarketValue.1,Has_DF,Role_Label,Role_Similarity,Role_Name
Aaron Cresswell,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,"DF,FW",54.85845513274525,22.46305418719212,20.0,23.831160449206138,24.465116279069747,27.0088207482266,23.50495874781756,"DF,FW",40.95243603659901,33.0,21.481744902797534,21.58379998868712,22.678274633953297,West Ham,24.23122394374958,22.22744427828809,20.96857142857141,21.10963052695335,23.61111111111111,22.88228627821151,"DF,FW",27.722007722007724,900000.0,900000.0,True,DF_3,0.9953696357632003,Progressive Defender
Aaron Hickey,2023-2024,20.0,23.586944413501147,21.367369589345167,20.581493675896425,66.31095811818703,65.25693095980252,DF,56.70680145086171,20.5018400802944,20.0,20.70391803434208,21.50848522941546,25.32563641421248,21.4460660312174,DF,52.576169235920986,21.0,27.98435067268152,27.609384908053265,22.557823129251688,Brentford,26.08617823807694,23.192634893417218,28.742120343839524,23.382153846153848,34.814814814814795,28.91061004562053,DF,31.42857142857129,28000000.0,28000000.0,True,DF_3,0.9889423823343837,Progressive Defender
Aaron Wan-Bissaka,2023-2024,20.0,21.330595007376115,21.194570135746588,20.29949497289532,66.0722891566265,65.00728557991222,DF,57.16867340587641,28.015675097969343,31.555555555555543,26.46177292354584,31.88936287326268,36.93953272791997,31.474049130449075,DF,59.89820927770548,25.0,40.98992483607868,40.62037882581672,62.21633957097215,Manchester Utd,42.38111451594597,42.17653314427507,38.26946107784429,43.48717948717948,31.32897603485839,49.62055455827063,DF,35.10673234811163,20000000.0,20000000.0,True,DF_1,0.9857042087106836,Traditional Balanced Defender
Aarón Martín,2023-2024,20.0,23.033220356864955,20.0,20.94798128675553,66.23865324310941,65.18180703017222,DF,35.52593737256669,35.97744360902255,27.70370370370369,40.2540682414698,38.02064865992283,30.55420376804852,35.77347474978444,DF,33.4792084366575,26.0,31.351351351351347,29.58378970427163,28.736660929432,Genoa,30.704447068083404,25.43269342102215,27.533333333333324,31.41077545935844,38.342151675484985,33.71265355454364,DF,44.97354497354495,5000000.0,5000000.0,True,DF_3,0.9857337261367435,Progressive Defender
Abakar Sylla,2023-2024,28.48484848484848,27.298112010153893,29.1349480968858,26.46165764910219,66.19971411068,65.31783835376444,DF,35.9629128839096,23.379900856241537,20.0,24.17322834645668,24.608491572434392,40.3356890459364,25.970300443490345,DF,37.10481617957295,20.0,49.42458587619875,40.25858001195381,44.148209139563605,Strasbourg,60.6030750858337,49.5903887995459,52.08201892744479,42.312820512820494,42.927689594356245,55.65574965984629,DF,40.57142857142859,12000000.0,12000000.0,True,DF_1,0.9898996948900544,Traditional Balanced Defender
Abdel Abqar,2023-2024,20.0,25.25846498548205,24.79584775086504,21.831327485777745,66.30156991602774,65.28472932035478,DF,37.26439593930418,21.32275132275132,20.0,22.05601865749184,21.8400204446716,32.65331762858262,23.1909460797658,DF,45.05744129232279,24.0,40.45730851959223,38.471580847887225,46.56835637480796,Alavés,55.19492445112277,60.93076179097684,53.42253521126759,26.2080650626906,28.62354892205638,50.341290559993325,DF,44.01656314699793,7500000.0,7500000.0,True,DF_2,0.9946124463022481,Ball Winning Defender
Abdoul Koné,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,DF,39.87938102290043,24.5045045045045,20.0,21.469816272965872,21.042169256006925,21.14165271836833,21.82367932396102,DF,44.85584676841248,18.0,23.69510135135135,26.02409638554215,21.8847117794486,Reims,22.07096086493071,23.866847060924265,25.594059405940595,22.29143214509068,20.0,24.09647989816066,DF,43.1003039513677,0.0,0.0,True,DF_3,0.9954461316222936,Progressive Defender
Abdukodir Khusanov,2023-2024,20.0,22.47266628680777,22.60373370905248,20.625562512701887,66.28624387660531,65.23417769471018,DF,49.081621702830894,20.57603686635944,20.0,20.635056487504272,20.71966415672684,24.608087172970784,21.16995158263215,DF,57.657551563097925,19.0,32.806127427066045,31.941571596118965,34.05944391179291,Lens,33.667285095856506,36.80407611660916,40.6901408450704,28.476576055523424,20.0,35.78701928582006,DF,54.49163449163446,2500000.0,2500000.0,True,DF_1,0.9932376730662695,Traditional Balanced Defender
Abdul Mumin,2023-2024,25.26645768025077,22.967199544169333,21.358823529411765,21.60013862587105,66.22157804148925,65.21121789272144,DF,32.4662502951087,22.613240418118465,20.0,22.97708009428757,23.939808481532143,29.26149733328039,23.6029100455833,DF,40.25958740397104,25.0,30.18876018876017,29.06853219328928,43.0204081632653,Rayo Vallecano,47.13968957871394,49.69872403492114,35.79569892473117,23.997817785051808,28.37359098228664,40.40550605551189,DF,42.22222222222218,2500000.0,2500000.0,True,DF_2,0.9935611968853424,Ball Winning Defender
Abner,2023-2024,20.0,21.97004250580841,20.0,20.385454805662555,66.21916236374067,65.15119263881635,DF,42.70212263644753,26.553079947575345,26.70967741935484,25.08045190003424,25.37657350117344,27.451244841259133,26.7216602513998,DF,51.97035996833424,23.0,32.20512419934385,34.567360350492855,34.01242236024844,Betis,42.46158265115609,42.31496343855892,36.672131147540966,28.455384615384617,23.32056194125159,38.20550075860355,DF,44.97354497354495,7000000.0,7000000.0,True,DF_1,0.9925094157998793,Traditional Balanced Defender
Achraf Dari,2023-2024,20.0,20.50070207138268,21.31764705882352,20.0,66.26506024096385,65.19221950315551,"DF,FW",48.37765329555941,20.0,20.0,20.0,20.0,21.856610697489195,20.297586830999585,"DF,FW",48.57444837788167,24.0,20.497552043943784,20.790045427612068,25.02002670226968,Brest,22.135343067985527,24.028966425279787,21.149152542372857,20.0,20.0,22.21066036511065,"DF,FW",59.215686274509714,2000000.0,2000000.0,True,DF_3,0.9944607999458324,Progressive Defender
Achraf Hakimi,2023-2024,27.83216783216782,40.0698080279232,33.951557093425606,30.3299646901254,66.24410686223153,65.47732011929588,DF,76.81454295709655,41.59468438538206,37.04918032786883,43.64502084298286,50.96527556546671,57.03962579228519,47.173569574518936,DF,71.98834475948064,24.0,36.74751674751673,37.80455153949127,34.430703624733454,Paris S-G,53.35084953582061,35.85905317193738,38.68503937007871,31.47789766794289,35.757575757575744,42.84856928064431,DF,60.98124098124099,60000000.0,60000000.0,True,DF_3,0.9862837979729268,Progressive Defender
