Squad,Season,standard_Gls,shooting_Sh,shooting_SoT,shooting_xG,shooting_G-xG,Team_Att_Score,passing_xAG,passing_Ast,passing_KP,passing_PPA,passing_PrgP,Team_Mid_Score,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl,defense_Int,Team_Def_Score
Alavés,2023-2024,34.177215189873415,49.92248062015504,44.04371584699453,45.39074960127592,26.839378238341965,37.26439593930418,44.56565656565657,40.31746031746032,49.607843137254896,47.867298578199055,40.991105463786525,45.05744129232279,44.34782608695652,48.67383512544802,54.33476394849785,54.66666666666666,44.97560975609757,43.91752577319588,71.18012422360249,48.75305623471883,32.836676217765046,44.01656314699793
Almería,2023-2024,43.291139240506325,53.02325581395349,55.84699453551913,48.58054226475279,40.31088082901554,43.80443414246775,47.474747474747474,36.507936507936506,51.1764705882353,36.30331753554502,32.70648030495553,40.843445339401285,56.73043478260868,67.8853046594982,62.91845493562231,75.4074074074074,43.024390243902445,35.670103092783506,76.89440993788821,59.51100244498777,40.63037249283668,27.365079365079325
Arsenal,2023-2024,87.84810126582279,79.2248062015504,75.95628415300546,83.54066985645932,74.71502590673575,86.07172751271649,81.57575757575758,83.49206349206348,83.33333333333334,100.0,83.98983481575603,90.5306089166052,50.60869565217391,62.72401433691756,54.678111587982826,46.66666666666666,52.39024390243903,76.90721649484536,34.53416149068323,55.012224938875306,35.81661891117479,69.26108374384226
Aston Villa,2023-2024,73.67088607594937,58.13953488372093,64.15300546448087,67.20893141945774,72.22797927461139,69.85469920374305,70.74747474747475,74.6031746031746,60.784313725490186,64.92890995260663,50.69885641677256,62.63831657962497,34.052173913043475,56.12903225806451,41.974248927038616,50.22222222222221,38.34146341463415,44.74226804123711,44.72049689440994,42.68948655256723,22.979942693409747,33.42701014832161
Atalanta,2023-2024,73.67088607594937,62.48062015503876,70.7103825136612,60.19138755980861,83.62694300518133,66.12452514326185,63.15151515151516,77.14285714285714,68.43137254901961,68.34123222748815,66.09911054637865,67.80987554166101,57.70434782608695,83.08243727598567,61.88841201716738,51.407407407407405,53.5609756097561,63.711340206185554,46.83229813664597,55.59902200488997,46.81948424068768,48.11791383219955
Athletic Club,2023-2024,60.50632911392405,49.92248062015504,55.84699453551913,53.68421052631579,67.25388601036269,55.66801880110746,52.0,56.82539682539682,52.35294117647059,61.13744075829384,58.78017789072426,56.363198748916886,44.62608695652173,64.73118279569891,59.48497854077253,34.81481481481481,59.41463414634147,71.13402061855669,48.944099378882,49.339853300733495,32.607449856733524,54.49163449163446
Atlético Madrid,2023-2024,69.62025316455696,52.55813953488372,70.7103825136612,66.06060606060606,65.80310880829015,67.09119395617367,68.80808080808082,65.71428571428571,53.13725490196078,68.15165876777252,58.11944091486657,62.92806499284545,51.721739130434784,76.4874551971326,72.18884120171674,61.77777777777777,59.024390243902445,57.11340206185567,69.06832298136646,63.61858190709046,27.56446991404012,47.02104097452922
Augsburg,2023-2024,50.37974683544304,45.42635658914728,38.36065573770492,45.26315789473684,60.20725388601036,45.80902710707616,36.96969696969697,49.2063492063492,41.37254901960784,49.95260663507109,34.73951715374841,39.575030121684776,39.61739130434782,70.46594982078852,44.72103004291844,39.85185185185185,43.024390243902445,48.04123711340206,60.869565217391305,38.97310513447432,36.50429799426934,33.96825396825386
Barcelona,2023-2024,77.72151898734178,70.07751937984497,80.32786885245902,85.45454545454544,50.88082901554404,81.70626488957568,84.96969696969697,74.6031746031746,72.35294117647058,72.8909952606635,74.79034307496823,78.49661710218801,40.31304347826087,48.67383512544802,59.82832618025751,50.81481481481481,43.41463414634147,52.16494845360825,41.739130434782616,47.38386308068459,27.79369627507164,45.97402597402594
Bayern Munich,2023-2024,94.9367088607595,77.05426356589146,84.69945355191257,95.15151515151516,70.36269430051813,96.0114180241667,98.70707070707071,94.92063492063492,81.9607843137255,82.93838862559241,75.60355781448538,87.8742932335431,37.53043478260869,52.97491039426522,46.09442060085837,37.77777777777777,30.926829268292693,72.78350515463917,29.316770186335404,37.4083129584352,34.89971346704872,44.97354497354495
