Squad,Season,standard_Gls,shooting_Sh,shooting_SoT,shooting_xG,shooting_G-xG,Team_Att_Score,passing_xAG,passing_Ast,passing_KP,passing_PPA,passing_PrgP,Team_Mid_Score,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl,defense_Int,Team_Def_Score
Alavés,2023-2024,90.72463768115944,76.79120879120879,84.81012658227847,77.87826086956522,97.88079470198674,86.31938555472101,81.60919540229885,78.30508474576271,76.4835164835165,75.55555555555554,75.46492659053834,76.87620184680927,67.36596736596736,79.22077922077924,69.52380952380955,68.18897637795277,70.07194244604318,77.28395061728395,51.72649572649573,70.9090909090909,74.11764705882356,72.93743372216326
Almería,2023-2024,80.28985507246378,73.27472527472527,71.13924050632909,74.4,80.66225165562912,78.93635064085478,78.29885057471265,82.37288135593221,74.72527472527472,87.87878787878788,86.10114192495921,81.51774490317842,50.76923076923079,56.01731601731605,58.94179894179898,46.14173228346456,72.9496402877698,87.16049382716051,45.43589743589742,57.57575757575758,58.117647058823565,91.70081300813011
Arsenal,2023-2024,29.27536231884058,43.56043956043955,47.84810126582278,36.27826086956523,36.688741721854285,31.220895016112223,39.49425287356323,32.2033898305085,38.68131868131867,20.0,20.2610114192496,26.789379791066807,58.97435897435898,62.251082251082266,69.10052910052913,76.69291338582678,59.13669064748203,37.777777777777786,92.06837606837607,63.15151515151514,68.00000000000003,44.49116904962155
Aston Villa,2023-2024,45.50724637681161,67.47252747252747,61.518987341772146,54.086956521739125,39.86754966887416,49.52826302909891,51.816091954022994,41.6949152542373,63.95604395604397,57.37373737373737,63.0016313213703,57.51159150395986,81.16550116550118,70.21645021645024,84.76190476190479,72.91338582677167,79.8561151079137,76.2962962962963,80.85470085470085,78.42424242424241,94.35294117647061,84.87005197920831
Atalanta,2023-2024,45.50724637681161,62.549450549450555,53.924050632911374,61.73913043478261,25.298013245033104,53.739248419063316,60.45977011494253,38.98305084745763,55.38461538461537,53.73737373737373,43.230016313213696,51.81533221491132,49.46386946386947,37.66233766233768,60.211640211640244,71.65354330708661,57.410071942446066,53.58024691358027,78.52991452991452,62.42424242424242,45.41176470588239,68.31591173054582
Athletic Club,2023-2024,60.579710144927546,76.79120879120879,71.13924050632909,68.83478260869566,46.22516556291389,65.54357570324424,73.14942528735634,60.67796610169493,73.4065934065934,61.41414141414141,52.62642740619903,64.42337545449462,66.993006993007,59.82683982683986,63.174603174603206,89.29133858267716,48.77697841726621,44.69135802469137,76.20512820512819,70.18181818181817,74.58823529411768,61.133816743572815
Atlético Madrid,2023-2024,50.144927536231904,73.8021978021978,53.924050632911374,55.339130434782604,48.07947019867548,52.64797809706103,54.02298850574712,51.18644067796612,72.52747252747253,53.93939393939394,53.474714518760194,57.19244555543442,57.48251748251748,45.627705627705666,47.513227513227534,60.62992125984252,49.35251798561153,61.48148148148148,54.051282051282044,52.484848484848484,84.94117647058826,69.55190017016459
Augsburg,2023-2024,72.17391304347827,81.8901098901099,91.39240506329112,78.01739130434783,55.23178807947018,76.67336999975771,90.2528735632184,68.81355932203391,85.71428571428572,73.33333333333333,83.4910277324633,82.91485204617493,73.70629370629372,52.90043290043293,81.37566137566141,83.93700787401575,72.9496402877698,72.34567901234568,63.07692307692308,83.03030303030303,66.58823529411768,84.2601626016261
Barcelona,2023-2024,40.8695652173913,53.93406593406591,42.78481012658226,34.191304347826105,67.15231788079468,36.14905628376904,35.63218390804599,41.6949152542373,50.98901098901099,48.888888888888886,32.07177814029363,40.04432634788229,72.77389277389277,79.22077922077924,62.751322751322775,72.28346456692913,72.37410071942448,67.40740740740742,84.13675213675214,72.6060606060606,84.47058823529414,70.73170731707316
Bayern Munich,2023-2024,21.159420289855078,46.02197802197803,37.72151898734175,23.617391304347805,42.25165562913905,20.0,20.000000000000014,20.0,40.219780219780205,38.18181818181819,31.027732463295266,29.715202158241496,76.50349650349652,74.02597402597405,79.6825396825397,86.14173228346456,90.79136690647482,42.71604938271605,97.81196581196582,84.96969696969697,69.88235294117649,71.85907859078588
Betis,2023-2024,75.65217391304348,71.34065934065934,77.72151898734177,81.07826086956523,57.350993377483434,80.18074770431032,81.05747126436782,74.23728813559323,70.54945054945055,64.64646464646464,63.65415986949428,69.2619065227617,33.79953379953379,58.787878787878824,30.158730158730194,61.574803149606296,28.057553956834553,57.530864197530875,52.95726495726497,43.27272727272725,43.0588235294118,71.85907859078588
Bochum,2023-2024,81.44927536231884,65.18681318681318,80.25316455696202,80.24347826086958,72.18543046357615,82.75967339422867,85.2873563218391,75.59322033898306,69.8901098901099,77.17171717171718,82.57748776508971,78.20685669962454,57.2960372960373,45.627705627705666,61.481481481481495,71.96850393700788,55.10791366906477,66.41975308641976,57.47008547008548,64.84848484848484,60.47058823529416,91.29861568885957
Bologna,2023-2024,68.69565217391306,74.32967032967034,73.1645569620253,75.51304347826088,52.052980132450315,73.47224577811158,82.16091954022988,72.8813559322034,73.1868131868132,78.98989898989899,62.87112561174551,74.14549490351432,61.025641025641036,57.402597402597436,53.43915343915347,63.464566929133866,47.05035971223023,77.28395061728395,69.91452991452991,57.57575757575758,84.00000000000001,51.70731707317064
Bournemouth,2023-2024,68.69565217391306,62.549450549450555,65.0632911392405,64.38260869565218,73.24503311258277,67.34717611998158,66.71264367816092,63.389830508474596,60.43956043956045,59.5959595959596,71.94127243066883,63.249654826247536,31.375291375291383,30.389610389610425,42.85714285714289,62.83464566929134,38.99280575539571,33.827160493827165,50.76923076923076,43.03030303030303,37.41176470588236,88.14706953039688
Brentford,2023-2024,66.3768115942029,74.68131868131869,73.1645569620253,61.18260869565218,74.03973509933775,64.37089622755796,62.66666666666667,64.74576271186442,78.46153846153847,63.43434343434343,73.96411092985318,68.59463255504423,30.44289044289043,40.77922077922081,47.513227513227534,47.71653543307086,56.834532374100746,66.41975308641976,39.00854700854701,46.90909090909092,27.529411764705912,87.12195121951234
Brest,2023-2024,69.85507246376812,72.74725274725276,70.126582278481,74.95652173913045,55.7615894039735,73.77365347806071,77.93103448275863,71.52542372881356,72.96703296703298,76.36363636363637,66.19902120717781,73.00236333354268,40.69930069930071,71.25541125541127,35.661375661375715,64.7244094488189,28.633093525179873,59.50617283950619,74.42735042735043,46.42424242424241,54.35294117647064,55.81061692969874
Brighton,2023-2024,71.0144927536232,59.73626373626372,53.41772151898732,63.1304347826087,80.92715231788078,67.8734281491532,64.68965517241378,67.45762711864408,57.14285714285717,53.13131313131312,41.533442088091334,52.84070213610947,53.379953379953406,53.59307359307361,61.481481481481495,65.66929133858267,55.68345323741009,44.69135802469137,80.03418803418803,54.90909090909089,69.88235294117649,85.46026750590084
Burnley,2023-2024,82.60869565217392,81.71428571428571,84.30379746835442,85.66956521739132,64.50331125827812,86.35330603542266,86.57471264367817,75.59322033898306,79.7802197802198,87.07070707070707,80.61990212071777,83.55750823550868,61.77156177156178,39.74025974025976,71.64021164021166,68.81889763779526,58.56115107913671,66.41975308641976,48.034188034188034,63.87878787878786,73.64705882352945,92.84552845528455
Cagliari,2023-2024,81.44927536231884,79.60439560439562,89.36708860759492,82.46956521739132,67.94701986754966,83.98468732585468,87.67816091954023,75.59322033898306,78.9010989010989,78.18181818181819,85.31810766721044,82.1997367190858,77.06293706293707,75.75757575757578,83.06878306878309,71.96850393700788,83.88489208633095,79.25925925925927,50.905982905982896,80.12121212121211,80.70588235294122,88.63701578192266
Celta Vigo,2023-2024,76.81159420289856,75.20879120879121,77.2151898734177,71.61739130434783,78.01324503311257,75.58209967775542,70.94252873563218,68.81355932203391,70.76923076923077,71.5151515151515,69.91843393148451,70.05668352216412,54.87179487179489,54.632034632034646,54.70899470899474,62.519685039370074,60.863309352518016,62.46913580246914,48.717948717948715,59.03030303030303,65.64705882352943,82.30209670517755
Chelsea,2023-2024,40.8695652173913,62.901098901098905,55.44303797468352,38.50434782608697,58.94039735099335,38.522520776294414,46.66666666666667,47.11864406779662,59.34065934065933,59.5959595959596,52.30016313213703,53.0143432503056,47.97202797202799,49.783549783549816,57.248677248677296,55.27559055118111,65.4676258992806,41.728395061728406,55.14529914529915,50.30303030303028,65.17647058823535,86.03174603174614
Clermont Foot,2023-2024,98.84057971014494,90.15384615384616,92.91139240506328,92.06956521739133,89.40397350993376,98.38247764882611,98.71264367816092,91.86440677966102,89.45054945054946,88.68686868686868,76.31321370309949,88.82875081568542,54.12587412587415,72.64069264069266,64.86772486772489,69.76377952755905,61.438848920863336,84.19753086419755,71.28205128205127,70.18181818181817,42.11764705882355,84.2601626016261
Crystal Palace,2023-2024,64.05797101449276,77.84615384615384,71.64556962025314,74.5391304347826,43.31125827814569,70.50565745160273,70.02298850574712,57.96610169491526,73.84615384615384,75.55555555555554,80.94616639477977,74.38030657296837,20.0,47.01298701298704,20.000000000000014,40.15748031496062,27.48201438848922,30.864197530864203,35.72649572649571,19.999999999999986,53.411764705882376,82.97729184188394
